"price" "dimension" "weight" "processing"
"104" 108.01 5 18.65 "ultrasonic"
"105" 91.54 3.12 18.49 "ultrasonic"
"106" 169.11 4.88 39.71 "ultrasonic"
"107" 167.28 5.57 32.34 "ultrasonic"
"108" 99.37 3.06 17.32 "ultrasonic"
"109" 202.47 4.55 44.66 "handmade"
"110" 118.58 3.55 28.01 "ultrasonic"
"111" 94.53 3.51 12.63 "handmade"
"112" 136.83 5.44 23.46 "ultrasonic"
"113" 89.12 4.01 16.16 "ultrasonic"
"114" 177.57 5.81 29.91 "handmade"
"115" 113.95 2.89 24.99 "ultrasonic"
"116" 155.14 4.32 28.23 "handmade"
"117" 191.73 3.13 44.37 "handmade"
"118" 135.42 6.13 20.75 "ultrasonic"
"119" 153.19 6.4 27.21 "ultrasonic"
"120" 210.24 4.16 42.93 "handmade"
"121" 96.34 3.62 16.85 "ultrasonic"
"122" 166.98 4.73 32.97 "handmade"
"123" 139.86 5.71 18.74 "handmade"
"124" 115.9 6.28 15.14 "ultrasonic"
"125" 138.29 5.33 17.58 "handmade"
"126" 140 4.52 31.09 "ultrasonic"
"127" 95.77 2.78 17.51 "ultrasonic"
"128" 150.03 4.01 28.08 "handmade"
"129" 134.23 3.12 27.31 "handmade"
"130" 165.7 6.52 31.78 "ultrasonic"
"131" 213.52 6.74 42.25 "ultrasonic"
"132" 170.21 7.03 32 "ultrasonic"
"133" 111.83 2.37 28.21 "ultrasonic"
"134" 228.02 7.98 35.97 "handmade"
"135" 186.51 7.92 29.27 "ultrasonic"
"136" 88.52 2.7 18.86 "ultrasonic"
"137" 172.88 4.41 35.33 "handmade"
"138" 75.97 2.26 15.27 "ultrasonic"
"139" 157.17 7.47 15.79 "handmade"
"140" 169.71 3.37 32.51 "handmade"
"141" 113.6 2.34 23.3 "handmade"
"142" 128.11 6.6 15.77 "ultrasonic"
"143" 145.49 5.98 20.44 "handmade"
"144" 232.66 6.13 44.05 "handmade"
"145" 204.42 6.8 43.23 "ultrasonic"
"146" 207.88 6.79 35.87 "handmade"
"147" 190.74 4.45 42.02 "handmade"
"148" 107.83 4.12 22.12 "ultrasonic"
"149" 157.73 3.89 37.45 "ultrasonic"
"150" 187.57 6.29 28.28 "handmade"
"151" 132.7 3.45 28.77 "handmade"
"152" 162.35 6.51 31.16 "ultrasonic"
"153" 187.09 6.53 31.45 "handmade"
"154" 125.97 2.12 34.91 "ultrasonic"
"155" 228.2 7.42 37.56 "handmade"
"156" 88.79 4.07 14.92 "ultrasonic"
"157" 170.83 7.31 24.45 "ultrasonic"
"158" 132.93 5.64 21.55 "ultrasonic"
"159" 124.25 2.02 28.77 "handmade"
"160" 154.34 7.69 15.08 "handmade"
"161" 181.15 6.13 27.46 "handmade"
"162" 149.85 4.76 26.1 "ultrasonic"
"163" 147.11 5.67 26.25 "ultrasonic"
"164" 171.54 7.68 24.64 "ultrasonic"
"165" 161.87 7.93 13.18 "handmade"
"166" 106.61 5.66 13.29 "ultrasonic"
"167" 150.48 2.33 32.79 "handmade"
"168" 110.69 4.26 17.38 "ultrasonic"
"169" 148.32 4.95 31.19 "ultrasonic"
"170" 184.53 3.93 39.2 "handmade"
"171" 163.36 7.4 18.26 "handmade"
"172" 177.15 7.4 21.17 "handmade"
"173" 176.81 7.34 32.71 "ultrasonic"
"174" 100.45 3.51 18.76 "ultrasonic"
"175" 104.04 3.93 20.97 "ultrasonic"
"176" 209.21 5.99 37.97 "handmade"
"177" 132.93 3.56 23.11 "handmade"
"178" 99.98 2.63 21.75 "ultrasonic"
"179" 120.49 3.77 26.85 "ultrasonic"
"180" 121.74 4.94 24.85 "ultrasonic"
"181" 129.98 3.29 26.88 "handmade"
"182" 159.49 2.37 44.6 "ultrasonic"
"183" 135.66 4.94 23.06 "ultrasonic"
"184" 138 4.51 25.27 "ultrasonic"
"185" 129.64 2.83 24.26 "handmade"
"186" 145.23 2.15 36.27 "ultrasonic"
"187" 173.6 5.06 35.7 "ultrasonic"
"188" 91.96 2.29 22.46 "ultrasonic"
"189" 205.43 7.46 40.79 "ultrasonic"
"190" 215.36 7.8 35 "handmade"
"191" 178.19 7.47 28.96 "ultrasonic"
"192" 112.57 4.24 15 "handmade"
"193" 130.6 5.37 19.64 "handmade"
"194" 138.37 4.87 18.23 "handmade"
"195" 102.28 3.2 20.96 "ultrasonic"
"196" 93.84 3.77 16.21 "handmade"
"197" 120.73 2.87 19.03 "handmade"
"198" 178.46 4.8 39.9 "ultrasonic"
"199" 99.54 2.97 24.06 "ultrasonic"
"200" 144.61 2.09 38.49 "ultrasonic"
"201" 98.77 3.1 13.35 "handmade"
"202" 176.44 4.81 34.75 "handmade"
"203" 181.55 5.14 34.85 "handmade"
"204" 170.78 3.49 36.9 "handmade"
"205" 174.19 6.58 27.33 "ultrasonic"
"206" 189.65 5.72 34.44 "handmade"
"207" 176.97 7.34 29.84 "ultrasonic"
"208" 85.83 3.3 14.98 "ultrasonic"
"209" 238.84 7.18 42.72 "handmade"
"210" 100.89 3.27 22.2 "ultrasonic"
"211" 176.68 5.47 30.36 "handmade"
"212" 94.65 3.94 15.78 "ultrasonic"
"213" 107.97 3.24 15.3 "handmade"
"214" 131.57 6.07 17.89 "ultrasonic"
"215" 222.59 6.92 40.13 "handmade"
"216" 197.86 6.14 44.67 "ultrasonic"
"217" 118.75 2.26 25.17 "handmade"
"218" 166.9 7.65 27.72 "ultrasonic"
"219" 94.47 2.01 21.92 "ultrasonic"
"220" 156.27 5.26 32.03 "ultrasonic"
"221" 165.46 3.48 40.49 "ultrasonic"
"222" 175.15 4.27 37.05 "handmade"
"223" 112.04 3.44 15.88 "handmade"
"224" 174.42 4.41 43.17 "ultrasonic"
"225" 139.34 5.46 18.45 "handmade"
