"name" "diet" "period" "length"
"baryonyx" "carnivorous" "Cretaceous" 10
"becklespinax" "carnivorous" "Cretaceous" 5
"beipiaosaurus" "omnivorous" "Cretaceous" 2
"bellusaurus" "herbivorous" "Jurassic" 5
"borogovia" "carnivorous" "Cretaceous" 1.5
"brachiosaurus" "herbivorous" "Jurassic" 30
"brachylophosaurus" "herbivorous" "Cretaceous" 7
"brachytrachelopan" "herbivorous" "Jurassic" 10
"buitreraptor" "carnivorous" "Cretaceous" 1.3
"camarasaurus" "herbivorous" "Jurassic" 23
"camptosaurus" "herbivorous" "Jurassic" 5
"carcharodontosaurus" "carnivorous" "Cretaceous" 15
"carnotaurus" "carnivorous" "Cretaceous" 7.6
"caudipteryx" "omnivorous" "Cretaceous" 1
"cedarpelta" "herbivorous" "Cretaceous" 10
"centrosaurus" "herbivorous" "Cretaceous" 6
"ceratosaurus" "carnivorous" "Jurassic" 6
"cetiosauriscus" "herbivorous" "Jurassic" 15
"cetiosaurus" "herbivorous" "Jurassic" 18
"chaoyangsaurus" "herbivorous" "Jurassic" 1.1
"chasmosaurus" "herbivorous" "Cretaceous" 5
"chinshakiangosaurus" "herbivorous" "Jurassic" 11
"chirostenotes" "omnivorous" "Jurassic" 1.7
"chubutisaurus" "herbivorous" "Cretaceous" 23
"chungkingosaurus" "herbivorous" "Jurassic" 4
"citipati" "omnivorous" "Cretaceous" 2.1
"coelurus" "carnivorous" "Jurassic" 1.8
"compsognathus" "carnivorous" "Jurassic" 0.65
"conchoraptor" "carnivorous" "Cretaceous" 1.5
"confuciusornis" "carnivorous" "Cretaceous" 0.25
"corythosaurus" "herbivorous" "Cretaceous" 10
"cryolophosaurus" "carnivorous" "Jurassic" 8
"dacentrurus" "herbivorous" "Jurassic" 6
"daspletosaurus" "carnivorous" "Cretaceous" 9
"datousaurus" "herbivorous" "Jurassic" 15
"deinocheirus" "omnivorous" "Cretaceous" 10
"deinonychus" "carnivorous" "Cretaceous" 3
"deltadromeus" "carnivorous" "Cretaceous" 8.1
"dicraeosaurus" "herbivorous" "Jurassic" 20
"dilophosaurus" "carnivorous" "Jurassic" 6
"diplodocus" "herbivorous" "Jurassic" 26
"dromaeosaurus" "carnivorous" "Cretaceous" 1.8
"dromiceiomimus" "omnivorous" "Cretaceous" 3.5
"dryosaurus" "herbivorous" "Jurassic" 4
"dryptosaurus" "carnivorous" "Cretaceous" 6.4
"edmontonia" "herbivorous" "Cretaceous" 4
"edmontosaurus" "herbivorous" "Cretaceous" 13
"einiosaurus" "herbivorous" "Cretaceous" 6
"elaphrosaurus" "carnivorous" "Jurassic" 6.2
"emausaurus" "herbivorous" "Jurassic" 2
"eotyrannus" "carnivorous" "Cretaceous" 5
"erketu" "herbivorous" "Cretaceous" 15
"erlikosaurus" "omnivorous" "Cretaceous" 3.4
"euhelopus" "herbivorous" "Jurassic" 10
"euoplocephalus" "herbivorous" "Cretaceous" 7
"europasaurus" "herbivorous" "Jurassic" 6.2
"eustreptospondylus" "carnivorous" "Jurassic" 7
"fukuiraptor" "carnivorous" "Cretaceous" 4.2
"fukuisaurus" "herbivorous" "Cretaceous" 4.7
"gallimimus" "omnivorous" "Cretaceous" 6
"gargoyleosaurus" "herbivorous" "Jurassic" 4
"garudimimus" "omnivorous" "Cretaceous" 4.7
"gasosaurus" "carnivorous" "Jurassic" 4
"gasparinisaura" "herbivorous" "Cretaceous" 0.8
"gastonia" "herbivorous" "Cretaceous" 4.6
"giganotosaurus" "carnivorous" "Cretaceous" 12.5
"gilmoreosaurus" "herbivorous" "Cretaceous" 6
"giraffatitan" "herbivorous" "Jurassic" 23
"gobisaurus" "herbivorous" "Cretaceous" 5
"gorgosaurus" "carnivorous" "Cretaceous" 8.6
"goyocephale" "herbivorous" "Cretaceous" 2
"gryposaurus" "herbivorous" "Cretaceous" 10
"guanlong" "carnivorous" "Jurassic" 3
"hadrosaurus" "herbivorous" "Cretaceous" 9
"haplocanthosaurus" "herbivorous" "Jurassic" 21.5
"harpymimus" "omnivorous" "Cretaceous" 2
"hesperosaurus" "herbivorous" "Jurassic" 6
"heterodontosaurus" "herbivorous" "Jurassic" 1.2
"heyuannia" "omnivorous" "Cretaceous" 2
"homalocephale" "herbivorous" "Cretaceous" 1.5
"huayangosaurus" "herbivorous" "Jurassic" 4.5
"hylaeosaurus" "herbivorous" "Cretaceous" 5
"hypacrosaurus" "herbivorous" "Cretaceous" 9
"hypsilophodon" "herbivorous" "Cretaceous" 2.3
"iguanodon" "herbivorous" "Cretaceous" 10
"indosuchus" "carnivorous" "Cretaceous" 7
"irritator" "carnivorous" "Cretaceous" 6.5
"janenschia" "herbivorous" "Jurassic" 20
"jaxartosaurus" "herbivorous" "Cretaceous" 9
"jingshanosaurus" "herbivorous" "Jurassic" 5
"jobaria" "herbivorous" "Cretaceous" 21
"juravenator" "carnivorous" "Jurassic" 0.8
"kentrosaurus" "herbivorous" "Jurassic" 5
"khaan" "omnivorous" "Cretaceous" 1.8
"kotasaurus" "herbivorous" "Jurassic" 9
"kritosaurus" "herbivorous" "Cretaceous" 8
"lambeosaurus" "herbivorous" "Cretaceous" 9
"leaellynasaura" "herbivorous" "Cretaceous" 2
"leptoceratops" "herbivorous" "Cretaceous" 3
"ligabuesaurus" "herbivorous" "Cretaceous" 24
"lophorhothon" "herbivorous" "Cretaceous" 4.5
"lophostropheus" "carnivorous" "Jurassic" 6.2
"lufengosaurus" "herbivorous" "Jurassic" 6
"lurdusaurus" "herbivorous" "Cretaceous" 9
"magyarosaurus" "herbivorous" "Cretaceous" 5
"maiasaura" "herbivorous" "Cretaceous" 9
"majungasaurus" "carnivorous" "Cretaceous" 6
"malawisaurus" "herbivorous" "Cretaceous" 9
"mamenchisaurus" "herbivorous" "Jurassic" 22
"mapusaurus" "carnivorous" "Cretaceous" 13
"marshosaurus" "carnivorous" "Jurassic" 6
"masiakasaurus" "carnivorous" "Cretaceous" 2
"massospondylus" "omnivorous" "Jurassic" 4
"maxakalisaurus" "herbivorous" "Cretaceous" 13
"megalosaurus" "carnivorous" "Jurassic" 9
"metriacanthosaurus" "carnivorous" "Jurassic" 8.2
"microceratus" "herbivorous" "Cretaceous" 0.5
"micropachycephalosaurus" "herbivorous" "Cretaceous" 0.6
"microraptor" "carnivorous" "Cretaceous" 0.8
"minmi" "herbivorous" "Cretaceous" 3
"monolophosaurus" "carnivorous" "Jurassic" 5.7
"muttaburrasaurus" "herbivorous" "Cretaceous" 7
"nanshiungosaurus" "omnivorous" "Cretaceous" 4.4
"nedoceratops" "herbivorous" "Cretaceous" 7
"nemegtosaurus" "herbivorous" "Cretaceous" 13
"neovenator" "carnivorous" "Cretaceous" 7.4
"neuquenosaurus" "herbivorous" "Cretaceous" 10
"nigersaurus" "herbivorous" "Cretaceous" 15
"noasaurus" "carnivorous" "Cretaceous" 1
"nodosaurus" "herbivorous" "Cretaceous" 5
"nomingia" "omnivorous" "Cretaceous" 1.6
"nothronychus" "omnivorous" "Cretaceous" 5.3
"nqwebasaurus" "carnivorous" "Jurassic" 1
"omeisaurus" "herbivorous" "Jurassic" 20
"opisthocoelicaudia" "herbivorous" "Cretaceous" 12
"ornitholestes" "carnivorous" "Jurassic" 2
"ornithomimus" "omnivorous" "Cretaceous" 4
"orodromeus" "herbivorous" "Cretaceous" 2
"oryctodromeus" "herbivorous" "Cretaceous" 2.1
"othnielia" "herbivorous" "Jurassic" 1.4
"ouranosaurus" "herbivorous" "Cretaceous" 7
"oviraptor" "omnivorous" "Cretaceous" 2
"pachycephalosaurus" "herbivorous" "Cretaceous" 8
"pachyrhinosaurus" "herbivorous" "Cretaceous" 6
"panoplosaurus" "herbivorous" "Cretaceous" 7
"pantydraco" "herbivorous" "Jurassic" 3
"paralititan" "herbivorous" "Cretaceous" 28
"parasaurolophus" "herbivorous" "Cretaceous" 11
"parksosaurus" "herbivorous" "Cretaceous" 3
"patagosaurus" "herbivorous" "Jurassic" 18
"pelicanimimus" "carnivorous" "Cretaceous" 2
"pelorosaurus" "herbivorous" "Cretaceous" 25
"pentaceratops" "herbivorous" "Cretaceous" 6.8
"piatnitzkysaurus" "carnivorous" "Jurassic" 4.2
"pinacosaurus" "herbivorous" "Cretaceous" 5
"podokesaurus" "carnivorous" "Jurassic" 0.9
"poekilopleuron" "carnivorous" "Jurassic" 9
"polacanthus" "herbivorous" "Cretaceous" 5
"prenocephale" "herbivorous" "Cretaceous" 2.4
"probactrosaurus" "herbivorous" "Cretaceous" 6
"proceratosaurus" "carnivorous" "Jurassic" 4.1
"prosaurolophus" "herbivorous" "Cretaceous" 7.6
"protarchaeopteryx" "carnivorous" "Cretaceous" 2
"protoceratops" "herbivorous" "Cretaceous" 1.8
"protohadros" "herbivorous" "Cretaceous" 6
"psittacosaurus" "herbivorous" "Cretaceous" 2
"quaesitosaurus" "herbivorous" "Cretaceous" 23
"rebbachisaurus" "herbivorous" "Cretaceous" 20
"rhabdodon" "herbivorous" "Cretaceous" 4
"rhoetosaurus" "herbivorous" "Jurassic" 15
"rinchenia" "omnivorous" "Cretaceous" 2.5
"rugops" "carnivorous" "Cretaceous" 7
"saichania" "herbivorous" "Cretaceous" 6.6
"saltasaurus" "herbivorous" "Cretaceous" 12
"sarcosaurus" "carnivorous" "Jurassic" 3
"saurolophus" "herbivorous" "Cretaceous" 9
"sauropelta" "herbivorous" "Cretaceous" 6.5
"saurophaganax" "carnivorous" "Jurassic" 12
"saurornithoides" "carnivorous" "Cretaceous" 3
"scelidosaurus" "herbivorous" "Jurassic" 4
"scutellosaurus" "herbivorous" "Jurassic" 1.2
"secernosaurus" "herbivorous" "Cretaceous" 3
"segisaurus" "carnivorous" "Jurassic" 1.5
"segnosaurus" "carnivorous" "Cretaceous" 4
"shanag" "carnivorous" "Cretaceous" 0.45
"shantungosaurus" "herbivorous" "Cretaceous" 15
"shunosaurus" "herbivorous" "Jurassic" 10
"shuvuuia" "omnivorous" "Cretaceous" 0.6
"silvisaurus" "herbivorous" "Cretaceous" 4
"sinocalliopteryx" "carnivorous" "Cretaceous" 2.37
"sinornithosaurus" "carnivorous" "Cretaceous" 2
"sinosauropteryx" "carnivorous" "Cretaceous" 1
"sinovenator" "carnivorous" "Cretaceous" 1
"sinraptor" "carnivorous" "Jurassic" 7.6
"sonidosaurus" "herbivorous" "Cretaceous" 9
"spinosaurus" "carnivorous" "Cretaceous" 18
"stegoceras" "herbivorous" "Cretaceous" 2.4
"stegosaurus" "herbivorous" "Jurassic" 9
"stenopelix" "herbivorous" "Cretaceous" 1.5
"struthiomimus" "omnivorous" "Cretaceous" 4
"struthiosaurus" "herbivorous" "Cretaceous" 2.5
"styracosaurus" "herbivorous" "Cretaceous" 5.5
"suchomimus" "carnivorous" "Cretaceous" 11
"supersaurus" "herbivorous" "Cretaceous" 35
"talarurus" "herbivorous" "Cretaceous" 6
"tarbosaurus" "carnivorous" "Cretaceous" 10
"tarchia" "herbivorous" "Cretaceous" 8.5
"telmatosaurus" "herbivorous" "Cretaceous" 5
"tenontosaurus" "herbivorous" "Cretaceous" 7
"thescelosaurus" "herbivorous" "Cretaceous" 3.5
"torosaurus" "herbivorous" "Cretaceous" 7.5
"torvosaurus" "carnivorous" "Jurassic" 10
"triceratops" "herbivorous" "Cretaceous" 9
"troodon" "carnivorous" "Cretaceous" 2
"tsintaosaurus" "herbivorous" "Cretaceous" 12
"tuojiangosaurus" "herbivorous" "Jurassic" 7
"tylocephale" "herbivorous" "Cretaceous" 1.4
"tyrannosaurus" "carnivorous" "Cretaceous" 12
"unenlagia" "carnivorous" "Cretaceous" 2.4
"urbacodon" "carnivorous" "Cretaceous" 1
"utahraptor" "carnivorous" "Cretaceous" 6
"valdosaurus" "herbivorous" "Cretaceous" 3
"velociraptor" "carnivorous" "Cretaceous" 1.8
"vulcanodon" "herbivorous" "Jurassic" 6.5
"yandusaurus" "herbivorous" "Jurassic" 3
"yangchuanosaurus" "carnivorous" "Jurassic" 10
"yimenosaurus" "herbivorous" "Jurassic" 9
"yinlong" "herbivorous" "Jurassic" 1.2
"yuanmousaurus" "herbivorous" "Jurassic" 17
"yunnanosaurus" "omnivorous" "Jurassic" 7
"zalmoxes" "herbivorous" "Cretaceous" 3
"zephyrosaurus" "herbivorous" "Cretaceous" 1.8
