"Hour1" "Hour2" "Hour3" "Hour4" "Hour5" "Hour6" "Hour7" "Hour8" "Hour9" "Hour10" "Hour11" "Hour12" "Hour13" "Hour14" "Hour15" "Hour16" "Hour17" "Hour18" "Hour19" "Hour20" "Hour21" "Hour22" "Hour23" "Hour24"
"Day11" 553.205571705579 378.721541996404 187.657094607084 190.565380775977 961.375313398548 2919.93281334334 5295.5520583882 6599.35857518182 6299.66949877239 5339.26568550233 4724.09438366351 4702.83468987596 4907.50422635155 5088.65100487011 5414.62234535024 5926.41843582176 6146.83563887901 5511.18239097919 4172.04329665368 3002.57192794319 2552.62937718363 2390.81769601238 2043.29339995061 1452.29282410562
"Day12" 727.501390584171 486.666588141114 253.851779521665 227.75930542837 973.013502513524 2919.16123456317 5269.74788308604 6512.58335621144 6189.02052069582 5338.23880947225 4889.18367766437 4967.78096052666 5171.4993948485 5273.65097577289 5464.73681866831 5888.32647495575 6285.59301480898 6017.79925462215 4950.74958615244 3760.82905867632 3039.82748623368 2556.00989225506 1948.61301279158 1198.7347551138
"Day13" 1156.90840836504 764.37116225201 512.587659180974 370.222616665647 396.498717000236 657.084798380403 1219.77135132718 2145.14156515358 3292.01662798776 4202.40548519736 4541.63551599685 4575.14868624164 4574.37445883208 4516.08769288452 4405.45017652952 4357.36408551311 4337.34622614145 4223.25462113588 3903.08662959632 3385.48271154514 2883.2935744331 2619.29700347478 2429.59500004005 2000.5865984968
"Day14" 1551.33349317648 821.216087642051 474.46227729339 371.574866882021 373.887909294912 466.185943255254 665.158201248942 1032.45211949806 1653.49658317347 2442.40279972945 3175.45881037024 3704.36716596147 3950.43021504511 3984.50901690309 4053.69334184751 4281.69207323516 4450.19144025764 4323.51571166118 3878.26986991812 3290.65842052328 2728.6759598918 2180.03874475856 1608.67267880334 1052.02275665435
"Day15" 622.747677304254 468.65970851721 264.53057154776 217.468439021569 887.170030407272 2703.85092340186 4945.3484975996 6191.54624669749 5973.52850655269 5248.6194578684 4930.10935810662 5108.90832748998 5361.55543366005 5503.56423297776 5739.89946469229 6101.42531586649 6260.00532520873 5861.92738904719 4885.13791292022 3760.20807850008 3055.27683163088 2862.68881249402 2612.09648762376 1758.9293734688
"Day16" 781.809281902037 421.534877978734 196.677305060893 227.065722776334 1016.20443437822 2962.99698513932 5309.01903944953 6625.37504780143 6401.04894846341 5489.43813965186 4908.17472030622 4914.47663726539 5078.39801335529 5160.56452486673 5440.62519834196 6017.59641332156 6423.84015454355 5987.33857257945 4778.11544812949 3632.41785709288 3064.00301094127 2674.0757541055 2051.97014165365 1161.06584141439
"Day17" 655.327506787745 471.600148440062 254.242372354722 192.503757771559 886.995237114825 2827.3247944585 5228.77565738112 6515.43870977715 6169.66311581395 5283.21357455317 4896.60187123046 5109.78589112413 5433.88136160939 5602.18603252881 5785.49437815434 6108.50275214394 6377.24650956892 6113.01079268632 5113.4713456645 3895.1774229259 3154.99149300977 2852.07037636584 2484.2675718275 1733.44511268237
"Day18" 543.164984708938 360.171176546485 178.062658739444 199.232023526048 990.969223277051 2978.16097792123 5347.67676454265 6598.91031426503 6270.31535815062 5381.97784032864 5016.28291582966 5264.44227138277 5608.01275973383 5810.54653627527 6108.54221064909 6649.6847529065 7089.68406141671 6667.56530341392 5290.28575948316 3812.15595726448 2952.49260865074 2515.4324385378 2149.42225873487 1819.87093101567
"Day19" 670.209517645395 474.90667467607 254.287281375113 211.468201365662 932.977892401633 2854.40167931299 5107.63890398354 6180.57021800393 5788.27721804117 5075.65847554885 4809.17080120173 5009.56228360279 5296.44496773251 5431.90531783884 5584.38151563603 5964.02739750498 6307.17489239828 6033.48455907797 4973.57171846741 3690.43823292798 2916.02944076401 2728.9150731036 2539.32635279925 1825.1881029675
"Day20" 1086.86240241572 752.60343532001 511.715539770895 371.324677758676 407.035717956342 700.49596733866 1262.42743162746 2032.11279786612 2846.46373498599 3486.71032027562 3965.47794877267 4368.7256982019 4561.71580119094 4487.13705216107 4403.60929884286 4494.2752188124 4636.3693721216 4522.96521107564 3970.26827048765 3254.34084797584 2902.17810684072 2996.86165518745 3030.53467953476 2340.29739485095
"Day21" 1285.30848128799 892.838354164849 594.486836987543 384.664060775096 331.565416115845 456.634088591754 709.993011913337 1114.54208061236 1748.2433043486 2520.64951065635 3208.30085113205 3694.15063200685 3960.07920839369 4030.46027833532 4029.50419249826 4129.77219701223 4262.92516294836 4165.92524117712 3825.57414663516 3355.11962701731 2743.48818426046 2066.69682258253 1465.29096069686 963.975707473354
"Day22" 482.19939616622 347.281695835913 189.608866963214 210.610531202473 975.487917988473 2912.96482136511 5252.35727727107 6494.85608362143 6139.02011101397 5180.48638141994 4583.01115804106 4559.92218864048 4755.74704236938 4902.79502924766 5160.9292208223 5692.18291196546 6100.09899920947 5662.09877739366 4420.46485099213 3201.37406208841 2516.33976860401 2086.71695461064 1591.54170778591 962.091179012668
"Day23" 510.783887091972 357.701143106111 179.20781294717 189.567640960247 963.680433691037 2929.31929573743 5284.12826375513 6540.2922438696 6261.15489479132 5432.23696424812 4923.82254570558 4895.11296731417 5071.3307073538 5258.89534466225 5542.89059827483 5997.0967898439 6303.47878763194 5841.16485753888 4665.75047808394 3538.03205248025 2928.87710364507 2576.02035557277 2067.97583255914 1220.73804573559
"Day24" 466.208262545582 333.390665278452 168.60243058395 189.712099583747 972.089262816051 2933.92349328112 5289.61727428211 6570.95337274691 6259.86195299435 5227.03754843237 4494.83045513491 4416.2994276534 4662.73709822474 4912.62715701596 5277.76000026593 5868.19566715079 6280.51712220404 5814.66023879058 4538.01564819754 3282.68728922108 2559.84757802877 2104.08543844797 1586.36644881778 938.46497454393
"Day25" 519.347835642327 368.448520128315 176.525586615903 175.697607084645 969.443672375935 3008.26816822662 5446.64403310125 6703.77791380873 6299.78756199045 5297.43529093685 4699.23425093047 4645.75524995684 4774.61378828608 4929.82079430043 5266.5531628432 5762.68345881175 6047.08933429917 5584.43234779534 4426.35216814538 3274.20318786751 2609.06144101792 2178.14672721386 1655.82272104067 1003.23005274743
"Day26" 541.803725774547 378.287387071656 203.192202361905 221.859231303114 987.69603819892 2911.37922252739 5254.02062934323 6594.23409692034 6380.55803934769 5430.16872782939 4801.9897309467 4796.06133345822 5009.52240035065 5175.40325482747 5506.48455808394 6119.05777335804 6609.07922663731 6172.54831570425 4830.10194945854 3573.44267979631 3069.74226958325 2874.75977288405 2287.26649382318 1175.47250754507
"Day27" 1214.5376381834 769.431756210491 508.665774052992 393.99099711092 434.23674778371 644.133284612302 988.53159945909 1478.3892151365 2182.68243971823 3021.47167670593 3730.36797449608 4156.24719556269 4309.72906372593 4296.28220478202 4295.24386504566 4439.5297673437 4558.55116850644 4315.85295409677 3719.64170937225 3108.39975233649 2739.39517423022 2588.02539435022 2357.62234201424 1736.63218196246
"Day28" 915.597109996873 634.931742832872 416.660597102488 276.264127230279 271.724773856041 476.173591388546 782.939543152594 1006.26351708466 1218.89581100708 1716.52720132538 2489.15253551488 3164.69129918513 3411.97458017183 3289.23454393355 3118.22085761382 3069.71975016045 3079.48858864557 3075.59322809087 3072.46772332624 3061.00599709982 2923.4393987639 2548.07558600658 1994.48428321085 1371.8486739139
"Day29" 539.824091367093 328.207441052202 164.92670388855 177.430688214577 756.297013839587 2100.70968593958 3511.25285544045 4087.9921196029 3874.78247806882 3620.93998091448 3739.39816905711 4101.36494329921 4438.45987809615 4688.3753633428 4968.76449687248 5297.04757824285 5405.20403270026 4917.77934101252 3902.20031346257 2888.62356338273 2293.14627089466 2036.19469141843 1769.46806726753 1181.15511054675
"Day30" 1160.27792759177 846.108509022104 599.67304010907 433.249707917901 449.870832959161 760.457990242645 1383.64888494136 2224.29284332355 3120.66553067586 3985.8627662739 4909.27407811788 5716.3075381629 5905.00008361026 5389.42843501027 4742.45623041847 4409.94880407802 4374.00388862555 4347.75147198099 4063.16444655779 3554.65137955306 3137.17932754828 2975.28375188925 2813.05480428157 2291.88808056462
