"Atlantica" "Iberica"
"93" 9.65 8.57
"94" 9.81 7.93
"95" 9.74 8.99
"96" 10.07 8.81
"97" 9.73 8.26
"98" 10.41 9.34
"99" 10.23 8.92
"100" 10.63 7.96
"101" 9.69 8.49
"102" 9.91 8.44
"103" 9.74 8.95
"104" 10.34 8.49
"105" 11.02 8.23
"106" 10 9.05
"107" 10.89 9.17
"108" 10.52 7.88
"109" 10.11 7.56
"110" 9.58 8.69
"111" 9.13 8.39
"112" 10.66 8.25
"113" 10.25 8.81
"114" 10.4 8.64
"115" 9.35 8.78
"116" 10.18 8.63
"117" 9.58 8.23
"118" 9.3 8.12
"119" 10.45 8.37
"120" 10.56 8.46
"121" 10.07 8.16
"122" 10.45 7.74
"123" 9.69 7.88
"124" 9.98 8
"125" 10.59 8.15
"126" 9.99 8.25
"127" 8.9 8.98
"128" 10.33 8.92
"129" 9.29 8.24
"130" 9.71 7.66
"131" 10.65 8.74
"132" 10.17 8.54
"133" 11.12 8.15
"134" 10.53 8.51
"135" 10.17 8.82
"136" 10.17 8.33
"137" 10.14 8.62
"138" 10.83 8.83
"139" 8.96 8.46
"140" 10.57 8.06
"141" 10.43 8.24
"142" 10.62 9.06
"143" 9.49 8.78
"144" 10.02 8.46
"145" 10.08 8.71
"146" 9.73 8.06
"147" 10.2 8.65
"148" 9.58 8.39
"149" 9.64 9.05
"150" 10.47 9.14
"151" 9.41 7.97
"152" 9.79 8.53
"153" 9.86 8.64
"154" 9.61 8.16
"155" 10.25 8.48
"156" 10.8 8.01
"157" 10.64 8.12
"158" 9.6 9.92
"159" 9.33 8.78
"160" 10.06 7.94
"161" 10.11 8.24
"162" 9.15 8.42
"163" 10.81 8.37
"164" 9.44 7.88
"165" 9.79 8.82
"166" 9.66 8.68
"167" 9.12 7.96
"168" 9.36 8.39
"169" 9.83 8.62
"170" 11.01 9.09
"171" 9.86 8.15
"172" 9.81 8.95
"173" 10.1 9.04
"174" 9.9 8.32
"175" 10.26 8.73
"176" 9.64 8.25
"177" 10.59 8.8
"178" 9.88 7.98
"179" 10.41 8.81
"180" 9.94 8.8
"181" 9.9 8.35
"182" 9.85 8.67
"183" 10.94 8.46
"184" 10.09 8.45
"185" 10.13 8.21
"186" 10.25 8.78
"187" 9.95 8.29
"188" 9.82 8.1
"189" 9.99 7.68
"190" 10.76 9.02
"191" 10.26 8.36
"192" 9.38 8.28
"193" 9.21 7.58
"194" 9.79 7.61
"195" 9.84 9.65
"196" 10.03 8.38
"197" 10.11 8.82
"198" 9.99 8.32
"199" 9.43 8.3
"200" 9.78 8.15
"201" 9.07 9.41
"202" 10.55 7.82
"203" 10.04 7.74
"204" 10.77 8.65
"205" 10.19 8.45
"206" 10.1 8.72
"207" 9.17 7.78
"208" 10.04 8.21
"209" 9.94 9.53
"210" 10.47 8.14
"211" 10 8.57
"212" 10.61 7.86
"213" 11.36 7.49
"214" 10.45 8.75
"215" 9.54 7.82
"216" 10.23 8.4
"217" 9.65 8.02
"218" 10.42 8.22
"219" 10.63 8.3
"220" 9.61 8.66
"221" 9.93 8.45
"222" 10.24 7.67
"223" 10.38 8.56
"224" 10.17 8
"225" 9.62 9.05
"226" 9.43 8.73
"227" 8.81 8.82
"228" 10.19 8.15
"229" 10.23 8.63
"230" 9.73 8.18
"231" 9.04 8.74
"232" 10.52 7.28
"233" 10.13 8.25
"234" 8.38 8.97
"235" 9.87 8.81
"236" 9.34 8.69
"237" 10.26 8.62
"238" 10.05 8.67
"239" 9.13 7.61
"240" 10.36 8.26
"241" 10.57 8.01
"242" 10 8.31
"243" 10.02 8.42
"244" 10.27 8.66
"245" 10.52 7.73
"246" 9.21 8.58
"247" 9.03 9.41
"248" 9.77 7.91
"249" 9.73 9.36
"250" 9.13 8.82
"251" 10.84 8.26
"252" 10.81 7.78
"253" 9.54 8.4
"254" 9.71 8.06
"255" 10.34 8.18
"256" 10.11 8.99
"257" 10.99 8.95
"258" 9.6 8.44
"259" 10.43 8.64
"260" 9.65 8.61
"261" 9.96 8.71
"262" 10.18 8.45
"263" 10.89 8.78
"264" 10.24 7.62
"265" 9.71 8.79
"266" 10.14 8.3
"267" 8.53 9.04
"268" 10.09 7.83
"269" 9.91 8.23
"270" 11.26 9.17
"271" 10.8 8.58
"272" 10.49 8.6
"273" 9.28 8.66
"274" 9.95 8.44
"275" 9.96 8.98
"276" 9.69 8.42
"277" 9.99 8.85
"278" 9.59 8.41
"279" 10.23 9.62
"280" 9.92 8.91
"281" 10.28 8.57
"282" 10.12 8.23
"283" 10.4 9.36
"284" 10.11 9.16
"285" 9.94 8.14
"286" 10.34 8.76
"287" 9.9 8.21
"288" 9.41 8.38
"289" 10.1 7.45
"290" 9.53 8.11
"291" 9.54 8.03
"292" 9.93 8.91
"293" 9.66 8.23
"294" 10.25 9.04
"295" 10.21 8.3
"296" 10.33 8.15
"297" 9.95 8.81
"298" 10.16 8.99
"299" 10.43 8.54
"300" 9.74 8.87
"301" 9.3 8.75
"302" 9.64 9.18
"303" 9.89 8.01
"304" 10.41 8.66
"305" 11.01 9.03
"306" 9.91 8.15
"307" 10.18 8.61
"308" 10.14 7.5
"309" 8.82 8.93
"310" 9.57 8.15
"311" 10.18 7.93
"312" 10.14 8.11
"313" 8.38 7.99
"314" 10.41 8.18
"315" 9.52 8.06
"316" 10.41 7.94
"317" 9.34 8.84
"318" 9.83 8.39
"319" 10.46 8.58
"320" 9.25 8.02
"321" 9.83 8.94
"322" 10.29 8.65
"323" 9.53 9.02
"324" 9.96 9.2
"325" 9.9 8.34
"326" 10.06 8.71
"327" 9.78 8.32
"328" 8.78 8.36
"329" 10.15 8.39
"330" 9.6 7.95
"331" 10.21 8.71
"332" 9.93 9.25
"333" 10.69 9.48
"334" 9.71 9.28
"335" 9.64 8.11
"336" 10.99 8.29
"337" 10.21 6.94
"338" 9.55 7.71
"339" 10.3 9.51
"340" 9.65 8.15
"341" 10.1 7.29
"342" 10.76 8.98
"343" 9.52 8.14
"344" 10.71 8.09
"345" 10.58 8.45
"346" 10.32 8.36
"347" 10.37 8.8
"348" 10.08 8.71
"349" 11.15 8.79
"350" 9.46 7.74
"351" 10.36 7.96
"352" 9.79 8.36
"353" 9.64 8.53
"354" 11.23 7.08
"355" 10 8.48
"356" 10.76 8.78
"357" 10.37 8.5
"358" 9.64 9.21
"359" 10.17 8.42
"360" 10.8 8.43
"361" 9.88 8.42
"362" 9.73 8.48
"363" 10.73 9.13
"364" 9.72 8.77
"365" 9.6 8.28
"366" 8.91 8.07
"367" 9.64 8.07
"368" 10.16 7.94
"369" 11.05 8.5
"370" 10.43 9.3
"371" 10.26 8.65
"372" 10.35 8.03
"373" 10.67 7.59
"374" 10.35 8.74
"375" 9.57 8.4
"376" 10.05 9.9
"377" 9.32 8.85
"378" 9.97 9.81
"379" 10.72 8.49
"380" 9.83 8.23
"381" 9.94 8.65
"382" 9.71 8.23
"383" 10.76 7.76
"384" 9.2 8.85
"385" 10.37 8.12
"386" 9.63 8.4
"387" 10.51 8.83
"388" 10.08 7.88
"389" 10.47 8.44
"390" 9.69 8.25
"391" 9.98 7.64
"392" 10.12 8.97
"393" 9.77 7.97
"394" 9.73 9.68
"395" 10.15 8.12
"396" 9.96 8.88
"397" 9.03 9.31
"398" 10.21 8.26
"399" 9.64 8.63
"400" 10.13 9.38
"401" 9.91 7.79
"402" 10.61 8
"403" 10.26 8.73
"404" 10.17 8.27
"405" 10.64 8.48
"406" 10.32 7.9
"407" 10.03 8.78
"408" 9.61 9.09
"409" 10.44 7.85
"410" 10.88 7.92
"411" 10.24 8.05
"412" 9.74 8.92
"413" 10.21 8.22
"414" 8.97 8.64
"415" 10.28 8.64
"416" 9.99 9.28
"417" 8.58 8.16
"418" 10.33 8.56
"419" 10.03 8.28
"420" 9.6 8.53
"421" 10.32 8.22
"422" 10.02 9.21
"423" 9.79 7.58
"424" 9.83 8.51
"425" 10.11 8.26
"426" 10.56 7.43
"427" 10.01 8.29
"428" 9.3 8.4
"429" 9.77 8.23
"430" 10.9 7.24
"431" 10.66 8.51
"432" 10.22 8.93
"433" 10.64 8.49
"434" 10.32 8.7
"435" 10.36 8.79
"436" 10.35 9.26
"437" 10.14 8.17
"438" 10.94 7.77
"439" 10.38 8.39
"440" 10.82 8.75
"441" 10.01 8.01
"442" 9.86 7.82
"443" 9.91 7.91
"444" 9.85 8.59
"445" 10.25 9.6
"446" 9.63 9.35
"447" 10.41 8.16
"448" 10.26 8.87
"449" 9.88 8.16
"450" 11.26 9.19
"451" 10.21 8.11
"452" 10.08 7.65
"453" 9.91 7.74
"454" 10.09 9.5
"455" 10.72 8.24
"456" 10.04 8.88
"457" 10.2 8.29
"458" 10.17 8.65
"459" 10.97 8.39
"460" 10.22 8.79
"461" 9.7 8.77
"462" 9.77 8.05
"463" 9.11 8.28
"464" 9.73 7.95
"465" 11.21 8.59
"466" 10.59 8.09
"467" 10.42 8.48
"468" 9.64 8.65
"469" 9.66 8.9
"470" 10.37 7.5
"471" 10.58 8.31
"472" 9.77 8.1
"473" 9.67 7.8
"474" 9.86 8.96
"475" 9.7 9.35
"476" 9.78 8.9
"477" 9.31 8.56
"478" 9.62 8.27
"479" 9.95 8.52
"480" 9.98 8.67
"481" 10.32 8.75
"482" 9.42 8.26
"483" 10.38 7.86
"484" 10.14 8.69
"485" 9.79 8.65
"486" 10.39 8.28
"487" 9.4 8.57
"488" 10.09 8.11
"489" 10.09 8.8
"490" 9.91 7.67
"491" 9.26 8.82
"492" 10.01 7.77
"493" 10.04 8.79
"494" 10.15 7.73
"495" 9.64 9.22
"496" 9.68 7.73
"497" 10.34 9.2
"498" 9.69 8.71
"499" 10.28 8.62
"500" 10.64 9.32
