"V1" "V2" "V3" "V4"
"91" 15.37 8.07 13.37 13.57
"92" 11.66 10.78 5.34 13.57
"93" 14.68 10.71 13.81 12.21
"94" 13.73 8.26 8.09 9.75
"95" 8.74 7.54 8.25 12.89
"96" 14.44 12.51 11.95 9.8
"97" 12.67 9.86 8.6 11.76
"98" 12.13 11.04 8.81 11.12
"99" 10.49 6.74 10.09 11.53
"100" 12.15 9.49 9.28 10.73
"101" 9.1 8.89 5.17 9.74
"102" 11.98 9.16 9.9 11.95
"103" 15.61 9.81 11.03 13.52
"104" 12.15 8.85 11.57 11.75
"105" 15.34 15.03 12 12.06
"106" 14.15 8.38 12.68 10.86
"107" 8.95 9.77 9.33 14.03
"108" 11.79 10.91 7.71 8.82
"109" 12.08 8.89 8.57 8.93
"110" 11.98 10.46 8.21 9.81
"111" 12.81 9.48 9.16 11.08
"112" 14.43 11.97 13.95 14.41
"113" 10.71 8 10.6 14.03
"114" 13.6 8.85 9.73 11.55
"115" 10.82 9.95 9.84 15.4
"116" 13.25 9.24 9.43 14.68
"117" 12.24 8.23 9.63 10.49
"118" 16.31 11.53 12.03 11.9
"119" 13.49 10.84 12.65 12.36
"120" 12.99 9.16 14.27 13.05
"121" 11.95 11.89 9.75 14.25
"122" 13.46 10.64 12.67 9.22
"123" 12.48 12.21 10.69 8.32
"124" 12.16 8.33 12.81 13.11
"125" 12.13 8.48 8.88 18.31
"126" 15.98 11.21 11.37 11.92
"127" 11.88 11.84 10.17 9.06
"128" 12.23 10.42 8.14 11.64
"129" 13.12 11.45 10.8 9.09
"130" 15.18 11.63 11.77 12.21
"131" 11.09 9.66 7.7 12.22
"132" 11.08 11.07 8.19 12.38
"133" 10.95 12.22 11.53 11.78
"134" 16.23 11.48 11.85 11.9
"135" 12.65 11.25 8.65 12.63
"136" 12.16 11.07 10.07 8.58
"137" 10.24 11.34 10.92 15.12
"138" 10.74 7.33 6.75 11.87
"139" 12.68 11.55 11.1 12.24
"140" 12.94 11.09 10.69 12.19
"141" 10.36 7.57 9.59 12.7
"142" 10.25 8.15 8.7 15.28
"143" 10.87 12.28 10.9 14.03
"144" 10.83 6.44 7.59 10.93
"145" 10.83 5.89 9.32 8.83
"146" 9.67 10.12 9.35 13.41
"147" 12.87 11.02 9 11.63
"148" 10.04 10.12 8.69 12.33
"149" 8.86 6.56 7.52 13.81
"150" 9.42 5.49 7.94 11.54
"151" 10.59 11.75 8.62 15.17
"152" 11.92 10.66 9.13 10.47
"153" 12.39 11.06 13.24 10.31
"154" 13.52 8.29 6.78 10.04
"155" 12.71 10.91 11.87 10.05
"156" 13.65 12.47 11.25 10.78
"157" 11.68 9.57 10.69 13.85
"158" 8.15 8.08 9.23 10.08
"159" 10.81 6.42 9.97 15.63
"160" 12.11 8.66 9.23 13.13
"161" 13.72 10.61 11.3 11.83
"162" 8.63 8 7.54 9.75
"163" 11.92 11.67 11.41 10.88
"164" 10.18 10.13 10.71 8.54
"165" 8.4 8.91 10.16 10.82
"166" 14.46 10.38 11.64 12.28
"167" 11.75 13.51 12.1 11.44
"168" 10.4 8.64 7.05 12.79
"169" 14.93 10.21 11.66 13.92
"170" 7.99 7.39 8.85 17.37
"171" 8.43 9.75 9.18 13.07
"172" 16.71 15.88 12.32 12.59
"173" 12.92 12.89 10.92 13.47
"174" 12.18 7.86 8.63 10.28
"175" 12.32 10.93 8.03 7.37
"176" 10.76 9.23 10.94 15.41
"177" 12.4 12.52 11.66 12.62
"178" 11.77 8.97 7.79 11.76
"179" 11.37 11.86 9.58 7.63
"180" 13.04 9.68 11.44 10.09
"181" 8.66 8.23 9.48 10.43
"182" 11.26 9.1 12.41 10.34
"183" 12.36 11.87 9.54 10.66
"184" 9.97 9.34 3.84 10.37
"185" 14.49 10.94 12.36 13.99
"186" 12.76 11.95 8.76 11.53
"187" 7.26 6.28 7.63 12.24
"188" 11.72 10.16 7.29 11.32
"189" 10.14 8.81 9.18 9.2
"190" 9.8 8.15 8.36 12.49
"191" 11.49 11.03 6.45 10.12
"192" 9.79 9.88 12.35 12.04
"193" 12.96 8.86 9.21 8.55
"194" 9.49 10.95 6 13.43
"195" 15.64 13.92 13.97 13.62
"196" 10.72 10.36 11.14 13.25
"197" 9.69 12.72 13.43 14.24
"198" 11.86 12.29 11.63 9.73
"199" 13.67 10.32 9.11 9.5
"200" 9.77 5.72 7.94 12.93
"201" 11.47 7.96 8.44 10.78
"202" 12.02 8.35 10.66 12.29
"203" 15.83 10.54 8.38 16.8
"204" 12.73 10.17 11.13 11.55
"205" 11.34 9.65 11.44 13.16
"206" 10.94 9.93 7.61 12.5
"207" 14.54 14.16 13.21 9.84
"208" 11.67 5.9 8.58 13.38
"209" 15.16 11.58 11.56 10.14
"210" 13.32 8.39 6.76 16.9
"211" 13.54 10.22 11.02 10.78
"212" 14.17 10.19 10.49 15.79
"213" 12.49 10.05 8.64 12.02
"214" 11.26 11.05 9.55 12.75
"215" 14.32 10.28 13.11 13.52
"216" 9.45 7.32 9.65 8.99
"217" 18.17 14.79 15.39 11.82
"218" 12.45 7.62 6.86 9.6
"219" 12.97 9.91 10.3 12.23
"220" 11.21 10.01 9.42 12.89
"221" 14.47 10.71 12.74 11.97
"222" 12.89 9.62 11.27 9.24
"223" 14.2 11.58 11.03 14.36
"224" 15.15 9.27 10.84 13.19
"225" 15.55 10.97 9.11 14.24
"226" 12.6 9.92 12.3 11.08
"227" 13.58 10.08 10.63 12.08
"228" 11.03 6.72 7.77 11.64
"229" 14.95 10.57 12.69 13.26
"230" 11.5 11.58 14.47 12.1
"231" 12.07 12.34 11.56 12.84
"232" 12.85 11.92 8.88 12.86
"233" 11.08 9.8 11.32 13.26
"234" 16.63 13.81 11.47 12.93
"235" 12.37 11.86 9.14 8.8
"236" 12.63 10.61 9.02 13.23
"237" 12.53 9.93 7.15 16.05
"238" 15.25 14.84 7.99 10.62
"239" 6.58 8.02 5.67 14.12
"240" 10.57 11.03 10.93 11.09
"241" 11.09 10.6 9.57 10.56
"242" 12.4 10.92 10.89 12.6
"243" 10.39 9.36 10.83 10.06
"244" 12.48 8.12 9.43 14.56
"245" 12.49 13.7 11.27 11.96
"246" 9.77 14.94 10.49 14.23
"247" 11.68 12.46 11.62 12.17
"248" 13.71 10.4 11.49 11.33
"249" 12.11 11.64 11.98 10.99
"250" 14.67 15.1 9.96 10.75
"251" 11.13 7.38 9.8 7.65
"252" 13.99 10.44 11.28 13.59
"253" 11.63 11.56 10.13 12.83
"254" 11.86 8.19 9.36 15.16
"255" 10.15 9.98 8.41 9.77
"256" 13.46 12.34 13.67 7.63
"257" 12.77 10.22 7.74 11.92
"258" 9.56 9.12 9.45 11.73
"259" 10.9 8.05 8.2 11
"260" 11.88 7.99 10.05 13.24
"261" 12.21 14.51 10.87 11.91
"262" 12.73 8.62 9.18 11.65
"263" 13.09 8.25 7.51 14.19
"264" 14 10.72 14.41 14.06
"265" 12.31 9.6 8.53 12.33
"266" 15.13 10.87 10.93 14.99
"267" 13.29 11.41 8.52 12.04
"268" 15.33 11.06 10.7 15.26
"269" 8.85 5.75 8.92 9.31
"270" 13 10.27 11.7 8.53
"271" 13.58 11.9 9.16 13.96
"272" 13.5 11.12 11.35 13.58
"273" 13.41 9.82 12.76 10.21
"274" 11.7 11.67 9.44 11.79
"275" 11.26 6.88 9.75 10.84
"276" 12.32 9.1 8.04 15.33
"277" 10.03 10.74 10.76 12.83
"278" 10.5 8.66 9.32 13.05
"279" 13.37 11.67 8.87 10.73
"280" 12.83 10.55 9.21 12.62
"281" 10.41 6.96 9.13 15.67
"282" 13.13 12.17 10.25 8.61
"283" 11.27 6.87 10.59 11.56
"284" 13.74 9.51 12.11 11.41
"285" 15.74 11.49 10.74 10.21
"286" 14.95 12.04 12.39 11.87
"287" 11.53 10.24 8.65 10.71
"288" 8.66 11.57 8.32 10.91
"289" 10.76 11.35 10.58 8.29
"290" 11.14 7.41 9.95 14.82
"291" 16.53 13.56 11.78 15.33
"292" 14.57 8.98 8.31 9.47
"293" 11.05 8.57 11.04 11.61
"294" 11.07 10.15 12.69 10.24
"295" 10.61 9.79 10.45 14.34
"296" 14.15 14.21 9.52 13.7
"297" 12.17 9.91 8.79 7.7
"298" 12.52 12.34 11.9 13.12
"299" 5.38 8.13 6.91 13.07
"300" 12.69 10.8 9.2 10.33
"301" 12.27 7.66 8.92 13.11
"302" 10.97 9.97 9.75 13.19
"303" 10.76 9.99 9.36 13.28
"304" 11.09 8.28 8.12 9.67
"305" 12.69 10.49 8.41 9.64
"306" 10.42 7.65 7.1 12.49
"307" 11.42 10.29 6.45 10.77
"308" 15.42 11.6 10.21 17.69
"309" 10.84 11.66 9.42 12.25
"310" 14.05 9.87 10.89 13.15
"311" 11.21 14.83 13.56 14.59
"312" 10.44 12.76 12.72 13.29
"313" 14.73 14.07 11.15 12.96
"314" 12.35 12.11 12.12 11.16
"315" 10.74 9.23 6.97 13.4
"316" 13.15 8.89 10.67 11.03
"317" 10.98 6.92 9.33 10.12
"318" 10.71 9.98 8.74 13.57
"319" 10.87 10.2 8.84 10.96
"320" 14.67 11.61 12.37 13.35
"321" 13.2 11.21 11.49 13.58
"322" 12.46 11.02 8.41 10.76
"323" 12.51 9.23 9.76 15.17
"324" 11.8 7.4 9.9 9.84
"325" 10.67 5.77 10.55 11.65
"326" 11.43 11.06 10.3 9.07
"327" 10.95 7.84 9.06 12.08
"328" 9.19 10.34 9.53 12.22
"329" 11.92 8.29 10.41 11.5
"330" 12.51 9.78 8.81 11.83
"331" 8.45 6.87 7.23 11.55
"332" 13.69 11.71 11.29 12.5
"333" 11.41 9.94 10.36 15.42
"334" 12.97 13.72 11.04 14.66
"335" 11.69 11.96 13.45 12.12
"336" 9.42 8.27 7.17 12.75
"337" 7.45 8.36 8.13 14.76
"338" 9.93 10.69 10.18 11.98
"339" 12.8 7.93 8.66 12.66
"340" 10.51 7.19 9.61 12.31
"341" 11.95 11.15 8.28 10.72
"342" 14.58 12.71 11.59 12.96
"343" 11.29 10.01 5.11 12.16
"344" 9.93 9.37 9.16 10.68
"345" 13.11 10.99 12.64 10.21
"346" 15.3 12.96 15.12 11.61
"347" 12.62 9.97 11.76 9.93
"348" 9.7 12.28 10.94 13.79
"349" 12.51 8.93 9.41 8.66
"350" 10.25 9.06 6.24 9.94
"351" 10.45 7.75 9.35 12.98
"352" 14.28 10.49 11.06 14.68
"353" 12.78 10.16 10.35 8.36
"354" 10.3 9.98 9.71 12.1
"355" 11.97 9.6 8.41 12.27
"356" 11.09 10.11 10.45 12.98
"357" 13.14 8.96 9.94 12.39
"358" 13.68 9.3 9.23 10.59
"359" 7.93 7.96 8.08 11.64
"360" 14.35 11.25 12.21 9.46
"361" 13.89 14.18 14.64 11.43
"362" 9.53 10.49 8.4 13.04
"363" 9.29 11.94 8.3 9.37
"364" 13.09 8.01 9.6 11.79
"365" 14.61 9.83 8.64 11.24
