"height" "diameter"
"241" 70.98 7.44
"242" 53.08 5.6
"243" 59.98 6.05
"244" 61.96 7.61
"245" 83.49 8.66
"246" 54.22 6.98
"247" 53.73 5.42
"248" 73.65 6.94
"249" 53.89 7.13
"250" 63.89 7.35
"251" 82.68 8.06
"252" 62.32 7.68
"253" 91.54 11.83
"254" 63.46 7.63
"255" 72.3 7.46
"256" 71.21 7.45
"257" 52.95 3.97
"258" 86.56 8.51
"259" 85.68 8.26
"260" 52.68 5.42
"261" 70.68 6.09
"262" 83.91 7.8
"263" 54.68 6.25
"264" 52.09 6.22
"265" 59.19 5.64
"266" 72.75 8.36
"267" 72.62 8.11
"268" 62.2 7.54
"269" 53.17 6.45
"270" 92.17 11.67
"271" 54.63 6.37
"272" 62.9 5.87
"273" 69.69 6.9
"274" 72.54 8.53
"275" 58.89 7.34
"276" 83.82 8.02
"277" 72.11 6.92
"278" 63.14 6.59
"279" 61.92 6.61
"280" 62.44 6.42
"281" 54.66 5.8
"282" 72.42 7.51
"283" 82.81 8.48
"284" 60.52 6.58
"285" 87.01 8.83
"286" 54.03 5.71
"287" 51.8 5.47
"288" 54.65 6.23
"289" 50.95 5.23
"290" 92.04 11.55
"291" 61.55 7.73
"292" 74.12 7.7
"293" 62.47 5.88
"294" 51.21 4.72
