"x" "y" "risk"
"110" 3.647 -2.129 "H"
"111" 3.352 0.841 "H"
"112" 0.404 -6.941 "H"
"113" 2.671 -2.789 "H"
"114" 2.722 1.704 "H"
"115" 3.363 0.141 "H"
"116" 0.779 -3.421 "H"
"117" 1.458 -0.176 "H"
"118" 4.048 -0.912 "H"
"119" 1.07 -3.032 "H"
"120" 0.853 -2.905 "H"
"121" 1.029 -2.507 "H"
"122" 1.798 -3.274 "H"
"123" 3.173 -2.909 "H"
"124" 2.725 -1.915 "H"
"125" 2.83 -1.785 "H"
"126" 2.478 -1.373 "H"
"127" 2.885 -3.276 "H"
"128" 3.23 -2.788 "H"
"129" 3.417 -1.876 "H"
"130" 2.838 2.272 "H"
"131" 3.427 -9.828 "L"
"132" 1.821 0.344 "L"
"133" 0.74 -0.505 "L"
"134" -0.363 -0.712 "L"
"135" -0.262 -6.457 "L"
"136" 1.373 -0.591 "L"
"137" 0.774 1.68 "L"
"138" 1.388 0.585 "L"
"139" 2.396 -3.021 "L"
"140" 1.139 1.414 "L"
"141" 0.966 -2.413 "L"
"142" -1.902 -8.032 "L"
"143" 0.101 -3.03 "L"
"144" 0.658 -2.565 "L"
"145" 2.816 -2.584 "L"
"146" -0.236 -0.733 "L"
"147" 0.586 -0.35 "L"
"148" 3.193 -10.658 "L"
"149" 0.695 -1.508 "L"
"150" 0.937 -1.617 "L"
"151" 1.793 -0.507 "L"
"152" 1.159 -2.173 "L"
"153" -0.902 -4.822 "L"
"154" 1.225 -2.063 "L"
"155" -1.685 -6.904 "L"
"156" -0.195 -0.975 "L"
"157" -0.002 1.35 "L"
"158" 1.062 0.954 "L"
"159" 0.314 0.901 "L"
"160" 0.802 2.501 "L"
"161" -4.035 -21.43 "L"
"162" 0.683 1.368 "L"
"163" -1.218 -4.38 "L"
"164" 0.288 0.775 "L"
"165" -1.119 -5.468 "L"
"166" 0.881 -5.149 "L"
"167" -0.047 -7.194 "L"
"168" -0.372 2.244 "L"
"169" -0.122 -0.228 "L"
"170" 1.653 -0.425 "L"
"171" 2.067 -6.95 "L"
"172" 0.148 -1.141 "L"
"173" -1.896 -8.161 "L"
"174" -2.049 -8.059 "L"
"175" -0.438 -2.689 "L"
"176" 1.97 -4.342 "L"
"177" 1.115 -4.688 "L"
"178" -1.472 -6.254 "L"
"179" -0.686 -6.624 "L"
"180" 1.194 0.569 "L"
"181" 0.627 -1.452 "L"
"182" 2.725 -4.519 "L"
"183" -2.351 -8.9 "L"
"184" 2.219 -5.285 "L"
"185" 0.626 -0.514 "L"
"186" 0.646 0.344 "L"
"187" 0.907 1.158 "L"
"188" 0.154 -2.478 "L"
"189" 2.931 -8.986 "L"
"190" 0.804 1.525 "L"
"191" 0.756 3.215 "L"
"192" -0.39 -0.781 "L"
"193" -1.092 -2.313 "L"
"194" 3.553 -10.206 "L"
"195" 1.6 -2.201 "L"
"196" 0.282 0.94 "L"
"197" -0.77 -3.722 "L"
"198" 0.776 -1.222 "L"
"199" 1.026 -0.766 "L"
"200" -1.074 -4.276 "L"
"201" -0.52 -2.058 "L"
"202" -1.351 -4.69 "L"
"203" 0.729 -4.856 "L"
"204" 0.87 -0.917 "L"
"205" 0.12 -1.207 "L"
"206" 0.681 -0.633 "L"
"207" -0.25 -0.994 "L"
"208" 3.426 -10.133 "L"
"209" 0.078 -2.39 "L"
"210" -0.869 -0.748 "L"
"211" 2.107 -4.516 "L"
"212" -1.613 -2.098 "L"
"213" -1.537 -5.899 "L"
"214" 0.35 2.696 "L"
"215" -0.258 2.825 "L"
"216" -1.152 -0.968 "L"
"217" 4.282 -13.72 "L"
"218" -1.673 -5.112 "L"
"219" 2.41 -4.079 "L"
"220" 1.702 -0.642 "L"
"221" 0.793 -0.323 "L"
"222" -0.261 -4.861 "L"
"223" 0.762 -2.034 "L"
"224" 1.498 0.054 "L"
"225" 1.065 -0.528 "L"
"226" 0.797 -0.675 "L"
"227" 1.128 -2.306 "L"
"228" 1.381 -0.107 "L"
"229" 0.45 -4.045 "L"
"230" -0.975 -3.17 "L"
"231" -1.606 -5.647 "L"
"232" 2.485 -3.183 "L"
"233" -2.505 -12.275 "L"
"234" 1.855 0.192 "L"
"235" 0.69 -2.297 "L"
"236" -0.045 1.067 "L"
"237" 2.104 -3.65 "L"
"238" -0.181 -3.488 "L"
"239" 3.086 -7.084 "L"
"240" 0.79 0.119 "L"
"241" -1.685 -9.123 "L"
"242" -2.886 -15.84 "L"
"243" 1.338 -4.14 "L"
"244" -0.193 -2.055 "L"
"245" -0.608 -2.772 "L"
"246" 0.425 0.772 "L"
"247" 1.947 -3.098 "L"
"248" 3.234 -7.777 "L"
"249" 2.485 -5.014 "L"
"250" 0.672 -1.36 "L"
"251" 0.955 -2.069 "L"
"252" 4.775 -19.138 "L"
"253" -1.326 -5.233 "L"
"254" 2.016 -2.155 "L"
"255" -0.314 -2.847 "L"
"256" 0.603 -3.078 "L"
"257" 3.015 -9.138 "L"
"258" -0.492 -1.336 "L"
"259" -0.979 -1.729 "L"
"260" -0.626 -2.405 "L"
"261" 0.622 0.779 "L"
"262" -1.458 -7.254 "L"
"263" 0.309 0.275 "L"
"264" 2.037 -3.156 "L"
"265" 3.48 -7.344 "L"
"266" 2.908 -5.058 "L"
"267" 1.927 -0.217 "L"
"268" 0.145 -2.839 "L"
"269" 0.734 -1.692 "L"
"270" 1.621 -0.407 "L"
"271" -1.415 -2.123 "L"
"272" 1.389 -0.228 "L"
"273" 0.341 1.543 "L"
"274" 0.229 -1.193 "L"
"275" 0.582 0.494 "L"
"276" 1.946 -2.522 "L"
"277" 0.4 0.28 "L"
"278" -0.548 -0.195 "L"
"279" 0.515 1.189 "L"
"280" -0.289 1.223 "L"
"281" 0.77 2.047 "L"
"282" -2.5 -12.445 "L"
"283" 1.971 -0.794 "L"
"284" 1.764 -0.125 "L"
"285" 0.011 -1.62 "L"
"286" 0.616 1.51 "L"
"287" 0.209 0.799 "L"
"288" 1.723 -0.966 "L"
"289" 3.065 -8.948 "L"
"290" -0.334 -2.175 "L"
"291" 1.358 -1.809 "L"
"292" 0.13 -4.392 "L"
"293" -1.168 -4.051 "L"
"294" 2.925 -4.142 "L"
"295" 0.494 2.691 "L"
"296" 1.936 -2.82 "L"
"297" -0.434 -0.009 "L"
"298" 2.323 -3.581 "L"
"299" 0.406 0.049 "L"
"300" -1.483 -4.444 "L"
