"waiting.time" "day" "day.of.the.week"
"177" 24.41 268 "weekdays"
"178" 29.55 270 "weekdays"
"179" 6.27 271 "weekdays"
"180" 13.82 275 "weekdays"
"181" 21.73 276 "weekdays"
"182" 20.4 276 "weekdays"
"183" 8.29 277 "weekdays"
"184" 28.08 279 "weekend"
"185" 12 281 "weekdays"
"186" 25.58 283 "weekdays"
"187" 28.56 283 "weekdays"
"188" 19.54 284 "weekdays"
"189" 29.92 285 "weekdays"
"190" 29.73 285 "weekdays"
"191" 35.84 287 "weekend"
"192" 17.95 288 "weekdays"
"193" 13.22 290 "weekdays"
"194" 27.38 292 "weekdays"
"195" 17.68 296 "weekdays"
"196" 30 296 "weekdays"
"197" 10.79 296 "weekdays"
"198" 19.31 297 "weekdays"
"199" 37.38 298 "weekdays"
"200" 24.29 299 "weekdays"
"201" 43.59 301 "weekend"
"202" 42.62 301 "weekend"
"203" 13.51 303 "weekdays"
"204" 36.77 304 "weekdays"
"205" 22.65 304 "weekdays"
"206" 22.63 306 "weekdays"
"207" 51.32 307 "weekend"
"208" 40.22 308 "weekend"
"209" 15.87 309 "weekdays"
"210" 33.63 311 "weekdays"
"211" 23.35 311 "weekdays"
"212" 45.67 314 "weekend"
"213" 41 322 "weekend"
"214" 40.19 324 "weekdays"
"215" 55.27 328 "weekend"
"216" 58.01 329 "weekend"
"217" 54.07 330 "weekdays"
"218" 32.76 331 "weekdays"
"219" 48.77 333 "weekdays"
"220" 65.21 335 "weekend"
"221" 58.03 336 "weekend"
"222" 48.92 336 "weekend"
"223" 30.85 339 "weekdays"
"224" 31.67 344 "weekdays"
"225" 42.03 345 "weekdays"
"226" 27.79 345 "weekdays"
"227" 47.74 346 "weekdays"
"228" 54.82 349 "weekend"
"229" 54.17 349 "weekend"
"230" 57.21 350 "weekend"
"231" 63.27 351 "weekdays"
"232" 26.72 351 "weekdays"
"233" 59.23 351 "weekdays"
"234" 46.43 353 "weekdays"
"235" 58.68 356 "weekend"
"236" 53.76 357 "weekend"
"237" 59.55 357 "weekend"
"238" 48.75 358 "weekdays"
"239" 50.31 358 "weekdays"
"240" 47.15 360 "weekdays"
"241" 56.23 360 "weekdays"
"242" 48.7 361 "weekdays"
"243" 51.44 361 "weekdays"
"244" 55.96 363 "weekend"
"245" 71.46 364 "weekend"
