"value" "city" "type"
"60" 21.3 "Kyoto" "hand-made"
"61" 18.1 "Tokyo" "hand-made"
"62" 22.4 "Kyoto" "hand-made"
"63" 22.3 "Tokyo" "hand-made"
"64" 21.9 "Kyoto" "hand-made"
"65" 20.2 "Tokyo" "hand-made"
"66" 20.3 "Kyoto" "hand-made"
"67" 21.8 "Tokyo" "hand-made"
"68" 20.9 "Kyoto" "hand-made"
"69" 20.7 "Tokyo" "hand-made"
"70" 18.6 "Kyoto" "hand-made"
"71" 17.1 "Tokyo" "hand-made"
"72" 17.9 "Kyoto" "hand-made"
"73" 17.9 "Tokyo" "hand-made"
"74" 23.4 "Kyoto" "hand-made"
"75" 20.8 "Tokyo" "hand-made"
"76" 21 "Kyoto" "hand-made"
"77" 22.2 "Tokyo" "hand-made"
"78" 20.7 "Kyoto" "hand-made"
"79" 20.7 "Tokyo" "hand-made"
"80" 17.3 "Kyoto" "hand-made"
"81" 22.1 "Tokyo" "hand-made"
"82" 18.2 "Kyoto" "hand-made"
"83" 21.8 "Tokyo" "hand-made"
"84" 19.9 "Kyoto" "hand-made"
"85" 21.2 "Tokyo" "hand-made"
"86" 18.7 "Kyoto" "hand-made"
"87" 20.1 "Tokyo" "hand-made"
"88" 22.4 "Kyoto" "hand-made"
"89" 17.5 "Tokyo" "hand-made"
"90" 18.1 "Kyoto" "hand-made"
"91" 19.7 "Tokyo" "hand-made"
"92" 17.7 "Kyoto" "hand-made"
"93" 19.9 "Tokyo" "hand-made"
"94" 19.9 "Kyoto" "hand-made"
"95" 19.5 "Tokyo" "hand-made"
"96" 17.5 "Kyoto" "hand-made"
"97" 18.4 "Tokyo" "hand-made"
"98" 21 "Kyoto" "hand-made"
"99" 18.3 "Tokyo" "hand-made"
"100" 19.3 "Kyoto" "hand-made"
"101" 19.4 "Tokyo" "hand-made"
"102" 18.6 "Kyoto" "hand-made"
"103" 17.1 "Tokyo" "hand-made"
"104" 20.4 "Kyoto" "hand-made"
"105" 20.5 "Tokyo" "hand-made"
"106" 22.1 "Kyoto" "hand-made"
"107" 20.6 "Tokyo" "hand-made"
"108" 20.9 "Kyoto" "hand-made"
"109" 20.3 "Tokyo" "hand-made"
"110" 18.8 "Kyoto" "hand-made"
"111" 20.3 "Tokyo" "hand-made"
"112" 19.3 "Kyoto" "hand-made"
"113" 22.2 "Tokyo" "hand-made"
"114" 19.9 "Kyoto" "hand-made"
"115" 17.5 "Tokyo" "hand-made"
"116" 19.3 "Kyoto" "hand-made"
"117" 19.9 "Tokyo" "hand-made"
"118" 19.6 "Kyoto" "hand-made"
"119" 19.3 "Tokyo" "hand-made"
"120" 19.5 "Kyoto" "hand-made"
"121" 18.5 "Tokyo" "hand-made"
"122" 21.8 "Kyoto" "hand-made"
"123" 18.8 "Tokyo" "hand-made"
"124" 21.4 "Kyoto" "hand-made"
"125" 21.8 "Tokyo" "hand-made"
"126" 18.7 "Kyoto" "hand-made"
"127" 19.3 "Tokyo" "hand-made"
"128" 22 "Kyoto" "hand-made"
"129" 20.4 "Tokyo" "hand-made"
"130" 20 "Kyoto" "hand-made"
"131" 21.9 "Tokyo" "hand-made"
"132" 21.1 "Kyoto" "hand-made"
"133" 20.7 "Tokyo" "hand-made"
"134" 19.6 "Kyoto" "hand-made"
"135" 21.6 "Tokyo" "hand-made"
"136" 20.7 "Kyoto" "hand-made"
"137" 18.6 "Tokyo" "hand-made"
"138" 22.3 "Kyoto" "hand-made"
"139" 19.3 "Tokyo" "hand-made"
"140" 20.3 "Kyoto" "hand-made"
"141" 20.8 "Tokyo" "hand-made"
"142" 20 "Kyoto" "hand-made"
"143" 23.1 "Tokyo" "hand-made"
"144" 20.6 "Kyoto" "hand-made"
"145" 21.4 "Tokyo" "hand-made"
"146" 19.1 "Kyoto" "hand-made"
"147" 19 "Tokyo" "hand-made"
"148" 21.8 "Kyoto" "hand-made"
"149" 21.9 "Tokyo" "hand-made"
"150" 19.5 "Kyoto" "hand-made"
"151" 19.5 "Tokyo" "hand-made"
"152" 21.9 "Kyoto" "hand-made"
"153" 20.5 "Tokyo" "hand-made"
"154" 18.6 "Kyoto" "hand-made"
"155" 21.5 "Tokyo" "hand-made"
"156" 21 "Kyoto" "hand-made"
"157" 21.9 "Tokyo" "hand-made"
"158" 17.4 "Kyoto" "hand-made"
"159" 18.5 "Tokyo" "hand-made"
"160" 20.9 "Kyoto" "hand-made"
"161" 19.2 "Tokyo" "hand-made"
"162" 20.4 "Kyoto" "hand-made"
"163" 19.3 "Tokyo" "hand-made"
"164" 19.8 "Kyoto" "hand-made"
"165" 22 "Tokyo" "hand-made"
"166" 18.6 "Kyoto" "hand-made"
"167" 19.6 "Tokyo" "hand-made"
"168" 21 "Kyoto" "hand-made"
"169" 19.1 "Tokyo" "hand-made"
"170" 18.7 "Kyoto" "hand-made"
"171" 17.7 "Tokyo" "hand-made"
"172" 19.2 "Kyoto" "hand-made"
"173" 19 "Tokyo" "hand-made"
"174" 20.1 "Kyoto" "hand-made"
"175" 21.5 "Tokyo" "hand-made"
"176" 21 "Kyoto" "hand-made"
"177" 20.8 "Tokyo" "hand-made"
"178" 20.4 "Kyoto" "hand-made"
"179" 17.9 "Tokyo" "hand-made"
"180" 19.3 "Kyoto" "hand-made"
"181" 18.2 "Tokyo" "hand-made"
"182" 19.6 "Kyoto" "hand-made"
"183" 19.4 "Tokyo" "hand-made"
"184" 22.6 "Kyoto" "hand-made"
"185" 21.3 "Tokyo" "hand-made"
"186" 16.7 "Kyoto" "hand-made"
"187" 17 "Tokyo" "hand-made"
"188" 19.6 "Kyoto" "hand-made"
"189" 20.7 "Tokyo" "hand-made"
"190" 23.3 "Kyoto" "hand-made"
"191" 20.2 "Tokyo" "hand-made"
"192" 20.1 "Kyoto" "hand-made"
"193" 20.8 "Tokyo" "hand-made"
"194" 19.5 "Kyoto" "hand-made"
"195" 19.7 "Tokyo" "hand-made"
"196" 18.8 "Kyoto" "hand-made"
"197" 21.3 "Tokyo" "hand-made"
"198" 19.9 "Kyoto" "hand-made"
"199" 19.3 "Tokyo" "hand-made"
"200" 19.3 "Kyoto" "hand-made"
"201" 20.1 "Tokyo" "hand-made"
"202" 19 "Kyoto" "hand-made"
"203" 19.5 "Tokyo" "hand-made"
"204" 20.1 "Kyoto" "hand-made"
"205" 19.2 "Tokyo" "hand-made"
"206" 20.4 "Kyoto" "hand-made"
"207" 18.5 "Tokyo" "hand-made"
"208" 21.6 "Kyoto" "hand-made"
"209" 20.1 "Tokyo" "hand-made"
"210" 21.1 "Kyoto" "hand-made"
"211" 21.7 "Tokyo" "hand-made"
"212" 19.5 "Kyoto" "hand-made"
"213" 20.3 "Tokyo" "hand-made"
"214" 19.2 "Kyoto" "hand-made"
"215" 18.7 "Tokyo" "hand-made"
"216" 18.3 "Kyoto" "hand-made"
"217" 22.1 "Tokyo" "hand-made"
"218" 19.5 "Kyoto" "hand-made"
"219" 19.4 "Tokyo" "hand-made"
"220" 19.3 "Kyoto" "hand-made"
"221" 22.6 "Tokyo" "hand-made"
"222" 19.6 "Kyoto" "hand-made"
"223" 19.4 "Tokyo" "hand-made"
"224" 23.4 "Kyoto" "hand-made"
"225" 17.4 "Tokyo" "hand-made"
"226" 22 "Kyoto" "hand-made"
"227" 19.1 "Tokyo" "hand-made"
"228" 21.1 "Kyoto" "hand-made"
"229" 19.4 "Tokyo" "hand-made"
"230" 19 "Kyoto" "hand-made"
"231" 18.7 "Tokyo" "hand-made"
"232" 21.1 "Kyoto" "hand-made"
"233" 18.1 "Tokyo" "hand-made"
"234" 20.4 "Kyoto" "hand-made"
"235" 21.3 "Tokyo" "hand-made"
"236" 19.5 "Kyoto" "hand-made"
"237" 20.5 "Tokyo" "hand-made"
"238" 21 "Kyoto" "hand-made"
"239" 19.4 "Tokyo" "hand-made"
"240" 19.7 "Kyoto" "hand-made"
"241" 21.9 "Tokyo" "hand-made"
"242" 22.8 "Kyoto" "hand-made"
"243" 20.1 "Tokyo" "hand-made"
"244" 20.5 "Kyoto" "hand-made"
"245" 17.1 "Tokyo" "hand-made"
"246" 21.6 "Kyoto" "hand-made"
"247" 16.6 "Tokyo" "hand-made"
"248" 20.1 "Kyoto" "hand-made"
"249" 18.3 "Tokyo" "hand-made"
"250" 18.5 "Kyoto" "hand-made"
"251" 20.1 "Tokyo" "hand-made"
"252" 22.2 "Kyoto" "hand-made"
"253" 19.1 "Tokyo" "hand-made"
"254" 18.7 "Kyoto" "hand-made"
"255" 21.2 "Tokyo" "hand-made"
"256" 19.6 "Kyoto" "hand-made"
"257" 21 "Tokyo" "hand-made"
"258" 21.3 "Kyoto" "hand-made"
"259" 19.3 "Tokyo" "hand-made"
"260" 20.1 "Kyoto" "hand-made"
"261" 20.8 "Tokyo" "hand-made"
"262" 19.2 "Kyoto" "hand-made"
"263" 19.3 "Tokyo" "hand-made"
"264" 21.6 "Kyoto" "hand-made"
"265" 5 "Tokyo" "ready-to-use"
"266" 6.9 "Kyoto" "ready-to-use"
"267" 5.1 "Tokyo" "ready-to-use"
"268" 5.8 "Kyoto" "ready-to-use"
"269" 6.4 "Tokyo" "ready-to-use"
"270" 2.8 "Kyoto" "ready-to-use"
"271" 3 "Tokyo" "ready-to-use"
"272" 6.3 "Kyoto" "ready-to-use"
"273" 6.5 "Tokyo" "ready-to-use"
"274" 5.4 "Kyoto" "ready-to-use"
"275" 5.7 "Tokyo" "ready-to-use"
"276" 6.1 "Kyoto" "ready-to-use"
"277" 5.8 "Tokyo" "ready-to-use"
"278" 6 "Kyoto" "ready-to-use"
"279" 5.5 "Tokyo" "ready-to-use"
"280" 5.4 "Kyoto" "ready-to-use"
"281" 5.2 "Tokyo" "ready-to-use"
"282" 5.9 "Kyoto" "ready-to-use"
"283" 4.6 "Tokyo" "ready-to-use"
"284" 4.9 "Kyoto" "ready-to-use"
"285" 6.6 "Tokyo" "ready-to-use"
"286" 6.2 "Kyoto" "ready-to-use"
"287" 4.7 "Tokyo" "ready-to-use"
"288" 5.4 "Kyoto" "ready-to-use"
"289" 6.1 "Tokyo" "ready-to-use"
"290" 5.7 "Kyoto" "ready-to-use"
"291" 5.7 "Tokyo" "ready-to-use"
"292" 5.4 "Kyoto" "ready-to-use"
"293" 4.6 "Tokyo" "ready-to-use"
"294" 7.2 "Kyoto" "ready-to-use"
"295" 7.1 "Tokyo" "ready-to-use"
"296" 3.6 "Kyoto" "ready-to-use"
"297" 5 "Tokyo" "ready-to-use"
"298" 5.7 "Kyoto" "ready-to-use"
"299" 3.8 "Tokyo" "ready-to-use"
"300" 4 "Kyoto" "ready-to-use"
"301" 5.6 "Tokyo" "ready-to-use"
"302" 6.8 "Kyoto" "ready-to-use"
"303" 4.8 "Tokyo" "ready-to-use"
"304" 7.1 "Kyoto" "ready-to-use"
"305" 4.5 "Tokyo" "ready-to-use"
"306" 6.8 "Kyoto" "ready-to-use"
"307" 6.8 "Tokyo" "ready-to-use"
"308" 4.9 "Kyoto" "ready-to-use"
"309" 5.7 "Tokyo" "ready-to-use"
"310" 6.5 "Kyoto" "ready-to-use"
"311" 5.5 "Tokyo" "ready-to-use"
"312" 4.5 "Kyoto" "ready-to-use"
"313" 7.2 "Tokyo" "ready-to-use"
"314" 4.3 "Kyoto" "ready-to-use"
"315" 5.9 "Tokyo" "ready-to-use"
"316" 5.6 "Kyoto" "ready-to-use"
"317" 5.7 "Tokyo" "ready-to-use"
"318" 5.6 "Kyoto" "ready-to-use"
"319" 4.5 "Tokyo" "ready-to-use"
"320" 4.2 "Kyoto" "ready-to-use"
"321" 3.4 "Tokyo" "ready-to-use"
"322" 4.3 "Kyoto" "ready-to-use"
"323" 1.5 "Tokyo" "ready-to-use"
"324" 6.6 "Kyoto" "ready-to-use"
"325" 4.1 "Tokyo" "ready-to-use"
"326" 4.9 "Kyoto" "ready-to-use"
"327" 1.9 "Tokyo" "ready-to-use"
"328" 5.5 "Kyoto" "ready-to-use"
"329" 5.1 "Tokyo" "ready-to-use"
"330" 8 "Kyoto" "ready-to-use"
"331" 5.9 "Tokyo" "ready-to-use"
"332" 6.9 "Kyoto" "ready-to-use"
"333" 6.4 "Tokyo" "ready-to-use"
"334" 7.3 "Kyoto" "ready-to-use"
"335" 4.9 "Tokyo" "ready-to-use"
"336" 5 "Kyoto" "ready-to-use"
"337" 5.9 "Tokyo" "ready-to-use"
"338" 6.4 "Kyoto" "ready-to-use"
"339" 4.1 "Tokyo" "ready-to-use"
"340" 6.2 "Kyoto" "ready-to-use"
"341" 5.4 "Tokyo" "ready-to-use"
"342" 2.4 "Kyoto" "ready-to-use"
"343" 1.8 "Tokyo" "ready-to-use"
"344" 1.8 "Kyoto" "ready-to-use"
"345" 6 "Tokyo" "ready-to-use"
"346" 4.9 "Kyoto" "ready-to-use"
"347" 4 "Tokyo" "ready-to-use"
"348" 3.5 "Kyoto" "ready-to-use"
"349" 4 "Tokyo" "ready-to-use"
"350" 5.4 "Kyoto" "ready-to-use"
"351" 6.6 "Tokyo" "ready-to-use"
"352" 4.6 "Kyoto" "ready-to-use"
"353" 5.3 "Tokyo" "ready-to-use"
"354" 5.3 "Kyoto" "ready-to-use"
"355" 5.3 "Tokyo" "ready-to-use"
"356" 7.7 "Kyoto" "ready-to-use"
"357" 6.4 "Tokyo" "ready-to-use"
"358" 4.6 "Kyoto" "ready-to-use"
"359" 3.5 "Tokyo" "ready-to-use"
"360" 8.1 "Kyoto" "ready-to-use"
"361" 7 "Tokyo" "ready-to-use"
"362" 4.3 "Kyoto" "ready-to-use"
"363" 6 "Tokyo" "ready-to-use"
"364" 3.9 "Kyoto" "ready-to-use"
"365" 5 "Tokyo" "ready-to-use"
"366" 4.9 "Kyoto" "ready-to-use"
"367" 4.8 "Tokyo" "ready-to-use"
"368" 5.6 "Kyoto" "ready-to-use"
"369" 5.2 "Tokyo" "ready-to-use"
"370" 4.4 "Kyoto" "ready-to-use"
"371" 4.8 "Tokyo" "ready-to-use"
"372" 3.7 "Kyoto" "ready-to-use"
"373" 7 "Tokyo" "ready-to-use"
"374" 4.2 "Kyoto" "ready-to-use"
"375" 6.1 "Tokyo" "ready-to-use"
"376" 5.2 "Kyoto" "ready-to-use"
"377" 5.2 "Tokyo" "ready-to-use"
"378" 5.8 "Kyoto" "ready-to-use"
"379" 5.2 "Tokyo" "ready-to-use"
"380" 3.1 "Kyoto" "ready-to-use"
"381" 6.9 "Tokyo" "ready-to-use"
"382" 5.9 "Kyoto" "ready-to-use"
"383" 5.7 "Tokyo" "ready-to-use"
"384" 4.6 "Kyoto" "ready-to-use"
"385" 4.5 "Tokyo" "ready-to-use"
"386" 7.1 "Kyoto" "ready-to-use"
"387" 4.6 "Tokyo" "ready-to-use"
"388" 5.7 "Kyoto" "ready-to-use"
"389" 3.8 "Tokyo" "ready-to-use"
"390" 6.2 "Kyoto" "ready-to-use"
"391" 4.9 "Tokyo" "ready-to-use"
"392" 3.8 "Kyoto" "ready-to-use"
"393" 4.7 "Tokyo" "ready-to-use"
"394" 5.1 "Kyoto" "ready-to-use"
"395" 3.9 "Tokyo" "ready-to-use"
"396" 3 "Kyoto" "ready-to-use"
"397" 6.2 "Tokyo" "ready-to-use"
"398" 5.8 "Kyoto" "ready-to-use"
"399" 5 "Tokyo" "ready-to-use"
"400" 3.2 "Kyoto" "ready-to-use"
"401" 1.4 "Tokyo" "ready-to-use"
"402" 4.4 "Kyoto" "ready-to-use"
"403" 5.8 "Tokyo" "ready-to-use"
"404" 4.2 "Kyoto" "ready-to-use"
"405" 2.5 "Tokyo" "ready-to-use"
"406" 6.7 "Kyoto" "ready-to-use"
"407" 5.2 "Tokyo" "ready-to-use"
"408" 3.6 "Kyoto" "ready-to-use"
"409" 4.8 "Tokyo" "ready-to-use"
"410" 5.7 "Kyoto" "ready-to-use"
"411" 3.5 "Tokyo" "ready-to-use"
"412" 6.2 "Kyoto" "ready-to-use"
"413" 4.6 "Tokyo" "ready-to-use"
"414" 7.3 "Kyoto" "ready-to-use"
"415" 6.5 "Tokyo" "ready-to-use"
"416" 4.2 "Kyoto" "ready-to-use"
"417" 4.1 "Tokyo" "ready-to-use"
"418" 2.8 "Kyoto" "ready-to-use"
"419" 6.6 "Tokyo" "ready-to-use"
"420" 4.5 "Kyoto" "ready-to-use"
"421" 4.5 "Tokyo" "ready-to-use"
"422" 7.3 "Kyoto" "ready-to-use"
"423" 5 "Tokyo" "ready-to-use"
"424" 5.9 "Kyoto" "ready-to-use"
"425" 3.5 "Tokyo" "ready-to-use"
"426" 5.7 "Kyoto" "ready-to-use"
"427" 3 "Tokyo" "ready-to-use"
"428" 4.4 "Kyoto" "ready-to-use"
"429" 4.1 "Tokyo" "ready-to-use"
"430" 4.8 "Kyoto" "ready-to-use"
"431" 4.3 "Tokyo" "ready-to-use"
"432" 5.3 "Kyoto" "ready-to-use"
"433" 7 "Tokyo" "ready-to-use"
"434" 4.5 "Kyoto" "ready-to-use"
"435" 5.1 "Tokyo" "ready-to-use"
"436" 3 "Kyoto" "ready-to-use"
"437" 5.1 "Tokyo" "ready-to-use"
"438" 3.9 "Kyoto" "ready-to-use"
"439" 6.6 "Tokyo" "ready-to-use"
"440" 5.9 "Kyoto" "ready-to-use"
"441" 5 "Tokyo" "ready-to-use"
"442" 5.3 "Kyoto" "ready-to-use"
"443" 5.5 "Tokyo" "ready-to-use"
"444" 6.2 "Kyoto" "ready-to-use"
"445" 4.8 "Tokyo" "ready-to-use"
"446" 5.1 "Kyoto" "ready-to-use"
"447" 7.5 "Tokyo" "ready-to-use"
"448" 4.3 "Kyoto" "ready-to-use"
"449" 7.1 "Tokyo" "ready-to-use"
"450" 5.1 "Kyoto" "ready-to-use"
"451" 5.7 "Tokyo" "ready-to-use"
"452" 6.3 "Kyoto" "ready-to-use"
"453" 5.6 "Tokyo" "ready-to-use"
"454" 6.3 "Kyoto" "ready-to-use"
"455" 4.9 "Tokyo" "ready-to-use"
"456" 4.8 "Kyoto" "ready-to-use"
"457" 7.6 "Tokyo" "ready-to-use"
"458" 1.7 "Kyoto" "ready-to-use"
"459" 3.8 "Tokyo" "ready-to-use"
"460" 5.2 "Kyoto" "ready-to-use"
"461" 2.3 "Tokyo" "ready-to-use"
"462" 4.4 "Kyoto" "ready-to-use"
"463" 5.2 "Tokyo" "ready-to-use"
"464" 6 "Kyoto" "ready-to-use"
"465" 6.1 "Tokyo" "ready-to-use"
"466" 3.3 "Kyoto" "ready-to-use"
"467" 6.1 "Tokyo" "ready-to-use"
"468" 4.3 "Kyoto" "ready-to-use"
"469" 6.2 "Tokyo" "ready-to-use"
"470" 6.1 "Kyoto" "ready-to-use"
"471" 2.3 "Tokyo" "ready-to-use"
"472" 6.1 "Kyoto" "ready-to-use"
"473" 4.3 "Tokyo" "ready-to-use"
"474" 5.7 "Kyoto" "ready-to-use"
"475" 3.6 "Tokyo" "ready-to-use"
"476" 5.1 "Kyoto" "ready-to-use"
"477" 4.6 "Tokyo" "ready-to-use"
"478" 2.4 "Kyoto" "ready-to-use"
"479" 3.4 "Tokyo" "ready-to-use"
"480" 7.4 "Kyoto" "ready-to-use"
"481" 3.5 "Tokyo" "ready-to-use"
"482" 4.3 "Kyoto" "ready-to-use"
"483" 5.4 "Tokyo" "ready-to-use"
"484" 6.9 "Kyoto" "ready-to-use"
"485" 4.2 "Tokyo" "ready-to-use"
"486" 2.4 "Kyoto" "ready-to-use"
"487" 8 "Tokyo" "ready-to-use"
"488" 3.5 "Kyoto" "ready-to-use"
"489" 4 "Tokyo" "ready-to-use"
"490" 3.6 "Kyoto" "ready-to-use"
"491" 4.6 "Tokyo" "ready-to-use"
"492" 5 "Kyoto" "ready-to-use"
"493" 7 "Tokyo" "ready-to-use"
"494" 6.2 "Kyoto" "ready-to-use"
"495" 4.7 "Tokyo" "ready-to-use"
"496" 4.3 "Kyoto" "ready-to-use"
"497" 7.3 "Tokyo" "ready-to-use"
"498" 3.5 "Kyoto" "ready-to-use"
"499" 7.2 "Tokyo" "ready-to-use"
"500" 6.1 "Kyoto" "ready-to-use"
"501" 3.1 "Tokyo" "ready-to-use"
"502" 5.4 "Kyoto" "ready-to-use"
"503" 3.5 "Tokyo" "ready-to-use"
"504" 6.5 "Kyoto" "ready-to-use"
"505" 6.5 "Tokyo" "ready-to-use"
"506" 2.9 "Kyoto" "ready-to-use"
"507" 6.2 "Tokyo" "ready-to-use"
"508" 4.2 "Kyoto" "ready-to-use"
"509" 1.5 "Tokyo" "ready-to-use"
"510" 6.5 "Kyoto" "ready-to-use"
"511" 7.9 "Tokyo" "ready-to-use"
"512" 5.3 "Kyoto" "ready-to-use"
"513" 5 "Tokyo" "ready-to-use"
"514" 5.9 "Kyoto" "ready-to-use"
"515" 4.3 "Tokyo" "ready-to-use"
"516" 7.3 "Kyoto" "ready-to-use"
"517" 4.1 "Tokyo" "ready-to-use"
"518" 4.2 "Kyoto" "ready-to-use"
"519" 5.6 "Tokyo" "ready-to-use"
"520" 2.3 "Kyoto" "ready-to-use"
"521" 5.4 "Tokyo" "ready-to-use"
"522" 5.1 "Kyoto" "ready-to-use"
"523" 2.5 "Tokyo" "ready-to-use"
"524" 3.5 "Kyoto" "ready-to-use"
"525" 5.5 "Tokyo" "ready-to-use"
"526" 4.9 "Kyoto" "ready-to-use"
"527" 4.8 "Tokyo" "ready-to-use"
"528" 6.1 "Kyoto" "ready-to-use"
