"price" "l" "ncolors" "q"
"80" 1806.12 5.83 3 "medium"
"81" 5218.94 8.22 4 "high"
"82" 1411.19 4.75 2 "medium"
"83" 2229.2 8.75 3 "medium"
"84" 1767.3 6.82 3 "medium"
"85" 2385.58 8.18 4 "medium"
"86" 1929.65 7.81 3 "medium"
"87" 4850.61 8.14 4 "high"
"88" 1895.1 7.46 3 "medium"
"89" 5112.65 8.07 3 "high"
"90" 1503.11 6.03 2 "medium"
"91" 2181 7.09 4 "medium"
"92" 3861.56 5.83 3 "high"
"93" 5322.97 8.57 5 "high"
"94" 5601.85 8.98 4 "high"
"95" 4325.44 6.99 3 "high"
"96" 2394.25 8.7 2 "medium"
"97" 3934.41 6.55 3 "high"
"98" 6289.71 10.26 3 "high"
"99" 2052.2 7.08 3 "medium"
"100" 5004.35 8.31 3 "high"
"101" 5000.43 8.16 2 "high"
"102" 1635.57 6.06 3 "medium"
"103" 2305.7 8.12 5 "medium"
"104" 2150.05 6.27 4 "medium"
"105" 1707.44 7.05 3 "medium"
"106" 1579 4.78 4 "medium"
"107" 1864.26 5.79 2 "medium"
"108" 2268.84 7.95 3 "medium"
"109" 1838 7.71 4 "medium"
"110" 964.55 2.95 4 "medium"
"111" 2273.38 8.14 3 "medium"
"112" 5058.81 8.06 3 "high"
"113" 5301.91 8.26 2 "high"
"114" 1999.18 7.66 3 "medium"
"115" 3998.9 6.31 2 "high"
"116" 1984.63 7.89 2 "medium"
"117" 2003.25 6.78 2 "medium"
"118" 1755.39 6.56 3 "medium"
"119" 1777.81 6.88 3 "medium"
"120" 4598.31 7.12 3 "high"
"121" 4418 6.98 3 "high"
"122" 1899.58 6.4 3 "medium"
"123" 4489.82 7.31 3 "high"
"124" 3783.65 5.98 2 "high"
"125" 1806.82 6.52 3 "medium"
"126" 4359.77 6.93 2 "high"
"127" 1747.94 7.15 1 "medium"
"128" 4742.35 7.32 3 "high"
"129" 1780.36 6.79 3 "medium"
"130" 1236.35 4.52 3 "medium"
"131" 2149.94 7.56 4 "medium"
"132" 1197.54 4.54 3 "medium"
"133" 4174.27 6.19 2 "high"
"134" 2043.98 7.37 3 "medium"
"135" 5070.92 7.8 3 "high"
"136" 1724 6.33 3 "medium"
"137" 2067.31 7.54 2 "medium"
"138" 4824.49 7.45 2 "high"
"139" 1987.77 7.09 3 "medium"
"140" 2661.44 9.36 2 "medium"
"141" 3945.82 6.61 3 "high"
"142" 1626.03 5.96 3 "medium"
"143" 5050.85 7.81 2 "high"
"144" 1796.4 6.62 3 "medium"
"145" 5273.09 8.31 4 "high"
"146" 5194.79 8.32 3 "high"
"147" 1530.35 5.16 3 "medium"
"148" 5040.56 7.86 4 "high"
"149" 2226.51 7.64 3 "medium"
"150" 1588.65 5.39 4 "medium"
"151" 4825.75 7.57 4 "high"
"152" 1981.52 7.37 3 "medium"
"153" 1809.62 6.76 4 "medium"
"154" 1950.82 7.15 3 "medium"
"155" 5224.84 8.13 4 "high"
"156" 1288.16 4.89 2 "medium"
"157" 1439.72 4.66 2 "medium"
"158" 5435.72 8.24 3 "high"
"159" 4145.29 6.85 4 "high"
"160" 2649.03 9.9 2 "medium"
"161" 5539.3 8.43 5 "high"
"162" 1777.93 6.62 2 "medium"
"163" 3802.19 5.97 2 "high"
"164" 4444.89 6.89 2 "high"
"165" 5009.69 8.03 2 "high"
"166" 4802.17 7.62 4 "high"
"167" 4008.54 6.28 3 "high"
"168" 1877.69 7.3 4 "medium"
"169" 3783.29 5.75 3 "high"
"170" 3526.77 5.87 3 "high"
"171" 4927.01 7.85 4 "high"
"172" 5451.35 8.42 2 "high"
"173" 2517.69 9.4 3 "medium"
"174" 5906.29 9.41 2 "high"
"175" 6180.72 9.28 3 "high"
"176" 1657.42 5.83 3 "medium"
"177" 3662.19 5.8 3 "high"
"178" 2399.56 8.11 4 "medium"
"179" 2038.82 7.01 3 "medium"
"180" 4602.52 7.39 4 "high"
"181" 1412.12 5.41 4 "medium"
"182" 4339.23 7.13 3 "high"
"183" 1752.58 6.7 4 "medium"
"184" 5835.92 9.07 3 "high"
"185" 1972.05 7.83 2 "medium"
"186" 2362.59 9.32 3 "medium"
"187" 2290.72 8.81 4 "medium"
"188" 2106.66 8.42 3 "medium"
"189" 1793.63 7.39 3 "medium"
"190" 4089.41 6.58 3 "high"
"191" 6144.94 9.68 4 "high"
"192" 796.58 1.9 3 "medium"
"193" 2232.54 8.78 2 "medium"
"194" 3565.8 5.69 5 "high"
"195" 5244.12 7.71 3 "high"
"196" 2518.01 9.17 3 "medium"
"197" 2367.33 9.06 3 "medium"
"198" 1774.92 6.57 3 "medium"
"199" 1585.69 6.16 3 "medium"
"200" 4663.62 7.78 2 "high"
"201" 4464.28 6.84 3 "high"
"202" 2123.26 7.47 3 "medium"
"203" 4340.09 6.35 2 "high"
"204" 4077.63 6.22 2 "high"
"205" 4151.55 6.8 1 "high"
"206" 5284.64 8.56 4 "high"
"207" 1799.2 6.83 3 "medium"
"208" 5326.62 8.36 2 "high"
"209" 1706.71 6.11 3 "medium"
"210" 5602.83 8.84 1 "high"
"211" 4920.26 7.5 5 "high"
"212" 5169.32 8.03 4 "high"
"213" 5165.01 7.86 3 "high"
"214" 4761.21 7.3 2 "high"
"215" 4842.78 7.44 3 "high"
"216" 4168.34 6.48 3 "high"
"217" 2157.8 7.43 3 "medium"
"218" 5001.79 7.9 2 "high"
"219" 1991.91 7.75 3 "medium"
"220" 3824.28 6.06 3 "high"
"221" 4540.17 7.22 3 "high"
"222" 1868.82 8.62 4 "medium"
"223" 3885.23 6.13 3 "high"
"224" 5618.03 9.41 4 "high"
"225" 1953.28 7.5 2 "medium"
"226" 4059.49 6.32 4 "high"
"227" 2098.32 6.87 5 "medium"
"228" 1462.31 6.09 3 "medium"
"229" 5213.65 8.06 3 "high"
"230" 4604.53 6.92 3 "high"
"231" 5208.4 8.19 4 "high"
"232" 2140.39 7.89 3 "medium"
"233" 1924.56 7.55 3 "medium"
"234" 4403.34 7.18 2 "high"
"235" 1895.39 6.73 4 "medium"
"236" 1780.6 6.52 3 "medium"
"237" 5158.36 8.31 3 "high"
"238" 1847.04 6.38 2 "medium"
"239" 4297.15 6.48 2 "high"
"240" 2249.77 7.83 5 "medium"
"241" 4461.77 7.08 3 "high"
"242" 4362.88 6.95 4 "high"
"243" 5065.79 7.97 2 "high"
"244" 4509.78 7.12 3 "high"
"245" 4633.39 6.81 4 "high"
"246" 4646.24 7.83 3 "high"
"247" 2162.05 8 3 "medium"
"248" 5951.15 9.5 3 "high"
