"Anno" "Numero"
"1594" 1594 18
"1595" 1595 21
"1596" 1596 14
"1597" 1597 21
"1598" 1598 17
"1599" 1599 19
"1600" 1600 13
"1601" 1601 14
"1602" 1602 16
"1603" 1603 19
"1604" 1604 16
"1605" 1605 17
"1606" 1606 17
"1607" 1607 22
"1608" 1608 17
"1609" 1609 16
"1610" 1610 24
"1611" 1611 18
"1612" 1612 22
"1613" 1613 18
"1614" 1614 16
"1615" 1615 15
"1616" 1616 18
"1617" 1617 14
"1618" 1618 17
"1619" 1619 13
"1620" 1620 13
"1621" 1621 17
"1622" 1622 22
"1623" 1623 15
"1624" 1624 16
"1625" 1625 20
"1626" 1626 21
"1627" 1627 18
"1628" 1628 21
"1629" 1629 19
"1630" 1630 16
"1631" 1631 15
"1632" 1632 23
"1633" 1633 19
"1634" 1634 15
"1635" 1635 16
"1636" 1636 18
"1637" 1637 18
"1638" 1638 15
"1639" 1639 17
"1640" 1640 13
"1641" 1641 17
"1642" 1642 21
"1643" 1643 19
"1644" 1644 12
"1645" 1645 19
"1646" 1646 10
"1647" 1647 10
"1648" 1648 23
"1649" 1649 15
"1650" 1650 18
"1651" 1651 19
"1652" 1652 19
"1653" 1653 15
"1654" 1654 16
"1655" 1655 25
"1656" 1656 18
"1657" 1657 20
"1658" 1658 24
"1659" 1659 17
"1660" 1660 18
"1661" 1661 20
"1662" 1662 21
"1663" 1663 15
"1664" 1664 20
"1665" 1665 21
"1666" 1666 17
"1667" 1667 15
"1668" 1668 20
"1669" 1669 12
"1670" 1670 18
"1671" 1671 18
"1672" 1672 18
"1673" 1673 15
"1674" 1674 17
"1675" 1675 13
"1676" 1676 16
"1677" 1677 15
"1678" 1678 12
"1679" 1679 14
"1680" 1680 11
"1681" 1681 17
"1682" 1682 10
"1683" 1683 15
"1684" 1684 18
"1685" 1685 13
"1686" 1686 19
"1687" 1687 21
"1688" 1688 13
"1689" 1689 20
"1690" 1690 12
"1691" 1691 11
"1692" 1692 13
"1693" 1693 16
"1694" 1694 17
"1695" 1695 22
"1696" 1696 19
"1697" 1697 20
"1698" 1698 13
"1699" 1699 20
"1700" 1700 17
"1701" 1701 15
"1702" 1702 17
"1703" 1703 16
"1704" 1704 19
"1705" 1705 16
"1706" 1706 17
"1707" 1707 15
"1708" 1708 16
"1709" 1709 13
"1710" 1710 21
"1711" 1711 20
"1712" 1712 14
"1713" 1713 11
"1714" 1714 14
"1715" 1715 16
"1716" 1716 13
"1717" 1717 13
"1718" 1718 19
"1719" 1719 16
"1720" 1720 17
"1721" 1721 11
"1722" 1722 15
"1723" 1723 16
"1724" 1724 20
"1725" 1725 13
"1726" 1726 16
"1727" 1727 17
"1728" 1728 16
"1729" 1729 19
"1730" 1730 16
"1731" 1731 15
"1732" 1732 14
"1733" 1733 12
"1734" 1734 16
"1735" 1735 13
"1736" 1736 13
"1737" 1737 17
"1738" 1738 16
"1739" 1739 15
"1740" 1740 20
"1741" 1741 19
"1742" 1742 19
"1743" 1743 15
"1744" 1744 22
"1745" 1745 15
"1746" 1746 14
"1747" 1747 9
"1748" 1748 20
"1749" 1749 15
"1750" 1750 20
"1751" 1751 19
"1752" 1752 13
"1753" 1753 20
"1754" 1754 14
"1755" 1755 20
"1756" 1756 14
"1757" 1757 16
"1758" 1758 13
"1759" 1759 21
"1760" 1760 17
"1761" 1761 17
"1762" 1762 15
"1763" 1763 13
"1764" 1764 19
"1765" 1765 15
"1766" 1766 17
"1767" 1767 18
"1768" 1768 15
"1769" 1769 9
"1770" 1770 9
"1771" 1771 11
"1772" 1772 16
"1773" 1773 15
"1774" 1774 14
"1775" 1775 14
"1776" 1776 20
"1777" 1777 12
"1778" 1778 17
"1779" 1779 16
"1780" 1780 11
"1781" 1781 18
"1782" 1782 14
"1783" 1783 13
"1784" 1784 16
"1785" 1785 10
"1786" 1786 13
"1787" 1787 13
"1788" 1788 12
"1789" 1789 14
"1790" 1790 11
"1791" 1791 10
"1792" 1792 11
"1793" 1793 16
"1794" 1794 10
"1795" 1795 8
"1796" 1796 14
"1797" 1797 11
"1798" 1798 12
"1799" 1799 12
"1800" 1800 11
"1801" 1801 11
"1802" 1802 15
"1803" 1803 4
"1804" 1804 10
"1805" 1805 12
"1806" 1806 9
"1807" 1807 6
"1808" 1808 11
"1809" 1809 11
"1810" 1810 14
"1811" 1811 9
"1812" 1812 7
"1813" 1813 8
"1814" 1814 5
"1815" 1815 11
"1816" 1816 15
"1817" 1817 14
"1818" 1818 11
"1819" 1819 18
"1820" 1820 16
"1821" 1821 17
"1822" 1822 19
"1823" 1823 18
"1824" 1824 15
"1825" 1825 16
"1826" 1826 14
"1827" 1827 21
"1828" 1828 14
"1829" 1829 13
"1830" 1830 16
"1831" 1831 15
"1832" 1832 18
"1833" 1833 10
"1834" 1834 13
"1835" 1835 17
"1836" 1836 14
"1837" 1837 13
"1838" 1838 17
"1839" 1839 14
"1840" 1840 18
"1841" 1841 19
"1842" 1842 15
"1843" 1843 14
"1844" 1844 11
"1845" 1845 15
"1846" 1846 14
"1847" 1847 18
"1848" 1848 15
"1849" 1849 11
"1850" 1850 15
"1851" 1851 15
"1852" 1852 15
"1853" 1853 15
"1854" 1854 17
"1855" 1855 19
"1856" 1856 13
"1857" 1857 19
"1858" 1858 13
"1859" 1859 21
"1860" 1860 17
"1861" 1861 9
"1862" 1862 14
"1863" 1863 14
"1864" 1864 18
"1865" 1865 14
"1866" 1866 13
"1867" 1867 19
"1868" 1868 13
"1869" 1869 18
"1870" 1870 14
"1871" 1871 13
"1872" 1872 16
"1873" 1873 14
"1874" 1874 13
"1875" 1875 17
"1876" 1876 16
"1877" 1877 12
"1878" 1878 16
"1879" 1879 16
"1880" 1880 16
"1881" 1881 18
"1882" 1882 22
"1883" 1883 19
"1884" 1884 16
"1885" 1885 18
"1886" 1886 21
"1887" 1887 17
"1888" 1888 15
"1889" 1889 14
"1890" 1890 16
"1891" 1891 13
"1892" 1892 16
"1893" 1893 17
"1894" 1894 15
"1895" 1895 12
"1896" 1896 20
"1897" 1897 12
"1898" 1898 14
"1899" 1899 20
