"Anno" "Tipo"
"113" 2000.89668905945 "sedicinoni"
"114" 2002.13109924259 "quattroterzi"
"115" 2001.33879830416 "sedicinoni"
"116" 2005.44571683225 "sedicinoni"
"117" 2000.49317246755 "quattroterzi"
"118" 2002.64057976231 "sedicinoni"
"119" 2001.91463812724 "sedicinoni"
"120" 2005.37656879178 "sedicinoni"
"121" 2007.61338873014 "sedicinoni"
"122" 2004.57350834204 "sedicinoni"
"123" 2005.26970229242 "sedicinoni"
"124" 2005.00112486502 "sedicinoni"
"125" 2002.94745315673 "sedicinoni"
"126" 2005.1699160604 "sedicinoni"
"127" 1999.53452262274 "quattroterzi"
"128" 2007.80055308266 "sedicinoni"
"129" 1998.36663879797 "quattroterzi"
"130" 2008.38402331048 "sedicinoni"
"131" 2000.10808683314 "quattroterzi"
"132" 2001.17292048173 "sedicinoni"
"133" 2006.14435149034 "sedicinoni"
"134" 2000.33350556304 "sedicinoni"
"135" 2001.17911004616 "quattroterzi"
"136" 2006.76049606205 "sedicinoni"
"137" 2006.30545956388 "sedicinoni"
"138" 2000.73346880161 "sedicinoni"
"139" 2005.64205851491 "sedicinoni"
"140" 2002.2926318376 "sedicinoni"
"141" 1999.79933501558 "quattroterzi"
"142" 2003.58190228487 "quattroterzi"
"143" 1999.20598744285 "quattroterzi"
"144" 2004.75058893873 "sedicinoni"
"145" 1999.91822405866 "quattroterzi"
"146" 2007.87981315570 "sedicinoni"
"147" 2006.21033629313 "sedicinoni"
"148" 2000.50338818161 "sedicinoni"
"149" 2009.853069805 "sedicinoni"
"150" 2005.35242309775 "sedicinoni"
"151" 2002.78544938059 "quattroterzi"
"152" 2000.54993755523 "quattroterzi"
"153" 2001.26445464936 "quattroterzi"
"154" 2003.8225415328 "sedicinoni"
"155" 2000.44545068583 "quattroterzi"
"156" 2006.47231599064 "sedicinoni"
"157" 2002.06191830161 "sedicinoni"
"158" 2004.95517306170 "sedicinoni"
"159" 2008.37610256167 "sedicinoni"
"160" 1999.71231390832 "quattroterzi"
"161" 2008.84145869183 "sedicinoni"
"162" 2004.43312338894 "sedicinoni"
"163" 2007.51913621641 "sedicinoni"
"164" 1999.31723284317 "quattroterzi"
"165" 2000.77318296350 "quattroterzi"
"166" 2003.53173175295 "sedicinoni"
"167" 2000.46904808675 "quattroterzi"
"168" 2004.73218542053 "sedicinoni"
"169" 2006.78438961871 "sedicinoni"
"170" 2007.29917128336 "sedicinoni"
"171" 2007.3466689571 "sedicinoni"
"172" 2006.60696883891 "sedicinoni"
"173" 1999.43727383822 "quattroterzi"
"174" 2002.13800720185 "quattroterzi"
"175" 2003.89711642430 "sedicinoni"
"176" 2003.52069611136 "sedicinoni"
"177" 2000.04154585584 "sedicinoni"
"178" 2002.70349839344 "sedicinoni"
"179" 2000.32609409215 "sedicinoni"
"180" 2007.70374167489 "sedicinoni"
"181" 1998.09772271142 "quattroterzi"
"182" 2008.54637969752 "sedicinoni"
"183" 2006.94434752897 "sedicinoni"
"184" 2000.51442556245 "quattroterzi"
"185" 2005.04041402467 "sedicinoni"
"186" 2002.65522336762 "sedicinoni"
"187" 2005.96950793284 "sedicinoni"
"188" 2005.18199688014 "sedicinoni"
"189" 2005.58145225175 "sedicinoni"
"190" 2005.87997120398 "sedicinoni"
"191" 2000.97053327449 "quattroterzi"
"192" 2003.34962074938 "sedicinoni"
"193" 2002.68720353829 "sedicinoni"
"194" 2005.81813125546 "sedicinoni"
"195" 2004.52430864273 "sedicinoni"
"196" 1999.35128831067 "quattroterzi"
"197" 2006.03532712430 "sedicinoni"
"198" 2001.85144947296 "quattroterzi"
