"Long" "Lat" "DO"
"250" 14.534 42.4756 5.83
"251" 14.5044 42.376 6.06
"252" 14.4322 42.4051 5.82
"253" 14.5969 42.5302 6.03
"254" 14.6825 42.5188 5.93
"255" 14.6365 42.5248 5.91
"256" 14.6589 42.5112 6.04
"257" 14.7077 42.4033 5.87
"258" 14.7496 42.491 5.76
"259" 14.6446 42.5237 6.01
"260" 14.7476 42.4723 5.86
"261" 14.7064 42.5024 5.92
"262" 14.6567 42.5195 5.91
"263" 14.6716 42.5284 5.98
"264" 14.4343 42.4992 6.17
"265" 14.6649 42.406 5.98
"266" 14.6793 42.5176 5.98
"267" 14.4138 42.4015 5.85
"268" 14.6512 42.5184 5.94
"269" 14.6814 42.5205 5.85
"270" 14.5969 42.4287 5.85
"271" 14.4901 42.3795 5.86
"272" 14.7117 42.4733 6.04
"273" 14.6499 42.4078 5.99
"274" 14.5738 42.454 5.9
"275" 14.5238 42.3941 5.98
"276" 14.5982 42.4365 5.83
"277" 14.5404 42.4674 5.82
"278" 14.7929 42.4668 5.95
"279" 14.7368 42.4985 5.94
"280" 14.6251 42.4393 5.69
"281" 14.7634 42.4955 5.91
"282" 14.6065 42.4533 5.93
"283" 14.7425 42.4844 5.95
"284" 14.46 42.3928 5.74
"285" 14.6886 42.5104 5.86
"286" 14.5965 42.5233 5.7
"287" 14.6241 42.4341 6.05
"288" 14.6398 42.4558 6.04
"289" 14.3652 42.4307 5.74
"290" 14.5267 42.3673 5.85
"291" 14.4881 42.4609 5.73
"292" 14.6021 42.529 5.86
"293" 14.3829 42.4323 5.79
"294" 14.5345 42.4444 5.8
"295" 14.4577 42.3916 5.95
"296" 14.7584 42.4739 5.89
"297" 14.6197 42.5344 5.86
"298" 14.6886 42.4122 5.88
"299" 14.4203 42.4054 5.96
"300" 14.6039 42.5156 5.72
"301" 14.578 42.4664 6.08
"302" 14.6938 42.4123 5.93
"303" 14.4818 42.4977 5.87
"304" 14.5019 42.3785 5.85
"305" 14.3785 42.4214 5.91
"306" 14.4744 42.481 5.73
"307" 14.5108 42.4569 5.93
"308" 14.7465 42.4882 5.95
"309" 14.6215 42.4325 5.92
"310" 14.4632 42.402 5.94
"311" 14.4156 42.4098 5.88
"312" 14.6746 42.52 6.01
"313" 14.5435 42.4726 5.83
"314" 14.3442 42.4197 5.86
"315" 14.7248 42.4975 5.68
"316" 14.4509 42.4044 5.97
"317" 14.6002 42.4482 5.95
"318" 14.652 42.4246 6.01
"319" 14.7189 42.4909 5.98
"320" 14.5465 42.4691 5.86
"321" 14.6471 42.4378 5.77
"322" 14.5687 42.4491 5.88
"323" 14.5661 42.4468 5.83
"324" 14.4596 42.4848 5.98
"325" 14.4903 42.4711 6.03
"326" 14.625 42.5234 6.14
"327" 14.6206 42.5367 5.92
"328" 14.7294 42.4724 5.81
"329" 14.4403 42.4077 5.78
"330" 14.6448 42.5365 5.77
"331" 14.6547 42.5226 5.89
"332" 14.512 42.3763 5.74
"333" 14.6293 42.5193 5.83
"334" 14.5295 42.5429 6.06
"335" 14.4559 42.3734 6
"336" 14.6319 42.4254 5.9
"337" 14.4849 42.4695 5.7
"338" 14.7362 42.4921 5.62
"339" 14.5736 42.5397 5.89
"340" 14.5828 42.453 5.76
"341" 14.3834 42.4195 5.85
"342" 14.7227 42.4814 5.73
"343" 14.5338 42.3621 5.84
"344" 14.4581 42.4935 5.73
"345" 14.5043 42.4721 5.9
"346" 14.6002 42.4355 6.02
"347" 14.6308 42.5135 5.92
"348" 14.7072 42.4987 5.91
"349" 14.6681 42.5255 5.7
"350" 14.6891 42.4968 6.12
"351" 14.6709 42.5182 6.03
"352" 14.5785 42.4468 5.88
"353" 14.7397 42.4826 5.87
"354" 14.6774 42.5007 5.7
"355" 14.6689 42.4991 5.83
"356" 14.7064 42.5005 5.86
"357" 14.559 42.4637 5.82
"358" 14.6533 42.5035 5.82
"359" 14.7544 42.4836 5.93
"360" 14.5865 42.4454 5.99
"361" 14.5541 42.4557 6.05
"362" 14.4064 42.4178 5.95
"363" 14.6965 42.5176 5.9
"364" 14.6188 42.5441 5.8
"365" 14.7164 42.5008 5.88
"366" 14.634 42.5383 5.8
"367" 14.7071 42.3874 6.07
"368" 14.7701 42.4691 6.06
"369" 14.659 42.5293 5.92
"370" 14.634 42.5191 5.86
"371" 14.6879 42.4822 5.96
"372" 14.6934 42.5012 5.94
"373" 14.4048 42.4178 5.82
"374" 14.5913 42.4378 5.96
"375" 14.7083 42.4943 5.91
"376" 14.6802 42.5136 5.69
"377" 14.5955 42.4559 5.92
"378" 14.7554 42.4868 6.06
"379" 14.5706 42.4363 5.9
"380" 14.6496 42.5068 5.96
"381" 14.7206 42.5071 5.86
"382" 14.5695 42.4466 5.83
"383" 14.7324 42.5159 5.95
"384" 14.621 42.4378 5.82
"385" 14.5915 42.5382 5.74
"386" 14.6945 42.5126 5.78
"387" 14.3686 42.427 5.87
"388" 14.3775 42.4041 5.73
"389" 14.7504 42.4956 5.79
"390" 14.6847 42.5144 6.01
"391" 14.6505 42.5075 5.9
"392" 14.6325 42.4219 5.98
"393" 14.6251 42.5173 5.95
"394" 14.3807 42.4474 5.8
"395" 14.5013 42.4833 5.93
"396" 14.5803 42.4198 5.8
"397" 14.6545 42.5167 5.96
"398" 14.3549 42.4734 5.9
"399" 14.557 42.4587 5.86
"400" 14.4558 42.3913 5.97
"401" 14.6875 42.5359 5.77
"402" 14.5393 42.4629 5.93
"403" 14.4524 42.3991 5.92
"404" 14.6618 42.5269 5.96
"405" 14.5645 42.544 5.82
"406" 14.6307 42.4232 5.97
"407" 14.6421 42.5255 5.84
"408" 14.6917 42.5128 5.93
"409" 14.3238 42.4517 6.07
"410" 14.4848 42.3883 5.99
"411" 14.5769 42.4398 5.82
"412" 14.6743 42.5083 5.94
"413" 14.3804 42.4262 5.94
"414" 14.6522 42.512 5.87
"415" 14.5901 42.4258 6.06
"416" 14.4436 42.4139 5.83
"417" 14.6327 42.4131 5.9
"418" 14.5881 42.5316 5.98
"419" 14.7461 42.4942 5.91
"420" 14.5615 42.4451 6.12
"421" 14.5313 42.4599 5.77
"422" 14.447 42.4202 5.74
"423" 14.7035 42.5007 5.99
"424" 14.4475 42.3777 5.82
"425" 14.5463 42.4642 5.87
"426" 14.6338 42.5221 6.05
"427" 14.6031 42.4125 5.8
"428" 14.5385 42.4441 6
"429" 14.6038 42.5244 5.99
"430" 14.6196 42.5149 5.87
"431" 14.6907 42.5023 5.8
"432" 14.4115 42.4199 5.91
"433" 14.6463 42.4292 6.02
"434" 14.7974 42.4645 5.8
"435" 14.4281 42.386 5.95
"436" 14.3157 42.4644 5.87
"437" 14.7255 42.5074 5.82
"438" 14.6971 42.5121 5.77
"439" 14.7609 42.4713 5.81
"440" 14.7665 42.4791 5.95
"441" 14.5296 42.4686 5.89
"442" 14.3406 42.4261 5.91
"443" 14.5381 42.4638 5.84
"444" 14.7206 42.5172 5.77
"445" 14.3355 42.4256 5.91
"446" 14.6758 42.5216 5.93
"447" 14.5681 42.4595 5.83
"448" 14.7656 42.4738 5.91
"449" 14.6034 42.4415 5.99
"450" 14.5138 42.4618 5.89
"451" 14.6882 42.5066 5.95
"452" 14.298 42.4369 5.93
"453" 14.7148 42.496 5.92
"454" 14.6415 42.5483 5.88
"455" 14.6136 42.4306 5.94
"456" 14.6804 42.4887 5.94
"457" 14.6901 42.5021 5.93
"458" 14.7149 42.501 5.86
"459" 14.5008 42.4634 5.89
"460" 14.456 42.4848 5.82
"461" 14.6758 42.5297 6.06
"462" 14.3896 42.4048 5.82
"463" 14.5973 42.4484 5.99
"464" 14.6733 42.538 5.81
"465" 14.5581 42.4517 5.81
"466" 14.6083 42.5399 5.9
"467" 14.4459 42.4106 5.94
"468" 14.621 42.5404 5.83
"469" 14.7378 42.48 5.89
"470" 14.7228 42.5119 5.88
"471" 14.7421 42.4812 5.85
"472" 14.6922 42.5174 5.93
"473" 14.4236 42.4067 5.89
"474" 14.7108 42.4902 5.92
"475" 14.794 42.4735 6
"476" 14.6955 42.5002 5.72
"477" 14.7017 42.5169 5.93
"478" 14.6365 42.5167 6.01
"479" 14.5269 42.562 5.9
"480" 14.6328 42.415 5.88
"481" 14.6533 42.5052 5.95
"482" 14.5857 42.4498 5.96
"483" 14.5784 42.5381 5.89
"484" 14.3828 42.4289 6.04
"485" 14.7699 42.4727 5.94
"486" 14.5589 42.44 5.92
"487" 14.6236 42.4205 5.84
"488" 14.4412 42.4165 5.81
"489" 14.6604 42.527 5.69
"490" 14.7289 42.4991 5.91
"491" 14.6586 42.4264 5.85
"492" 14.406 42.4142 6.01
"493" 14.4873 42.4651 5.96
"494" 14.4522 42.4054 5.94
"495" 14.5523 42.4406 6.06
"496" 14.525 42.46 6.07
"497" 14.5853 42.4334 5.81
"498" 14.5565 42.4569 5.94
"499" 14.6779 42.5009 5.84
"500" 14.3516 42.4474 5.96
"501" 14.3781 42.422 6
"502" 14.6605 42.5329 5.87
"503" 14.5978 42.4608 6.13
"504" 14.6699 42.5255 5.85
"505" 14.7223 42.4901 5.85
"506" 14.7381 42.4888 5.94
"507" 14.4374 42.4081 5.94
"508" 14.5793 42.4461 6.06
"509" 14.4298 42.407 5.84
"510" 14.2936 42.4515 5.98
"511" 14.6522 42.4128 5.94
"512" 14.6104 42.4632 5.84
"513" 14.7411 42.5062 5.96
"514" 14.6489 42.5182 5.88
"515" 14.6788 42.5021 5.93
"516" 14.6601 42.5006 6.13
"517" 14.3718 42.4409 5.69
"518" 14.528 42.4695 6.07
"519" 14.756 42.4888 5.92
"520" 14.5845 42.541 5.75
"521" 14.6993 42.5019 5.89
"522" 14.608 42.4431 5.9
"523" 14.5843 42.446 5.76
"524" 14.699 42.4903 6.06
"525" 14.4205 42.4245 5.76
"526" 14.357 42.4272 5.85
"527" 14.7327 42.4877 6.05
"528" 14.5702 42.5377 5.97
"529" 14.5195 42.3724 5.88
"530" 14.4193 42.4189 5.91
"531" 14.5863 42.441 6.02
"532" 14.5608 42.4404 5.82
"533" 14.5941 42.4382 5.9
"534" 14.4808 42.3884 6.01
"535" 14.6327 42.4328 5.91
"536" 14.6106 42.4381 5.98
"537" 14.3024 42.4563 5.94
"538" 14.5227 42.4634 5.94
"539" 14.6564 42.4212 5.6
"540" 14.6713 42.4132 5.97
"541" 14.3805 42.4364 5.8
"542" 14.5715 42.4405 6
"543" 14.7198 42.4932 6.01
"544" 14.6626 42.4958 5.95
"545" 14.4815 42.4019 5.96
"546" 14.6656 42.3934 5.73
"547" 14.5211 42.4508 5.88
"548" 14.3956 42.4167 5.71
"549" 14.6512 42.5053 5.85
"550" 14.6269 42.5133 5.97
"551" 14.7096 42.4954 5.79
"552" 14.3595 42.4301 5.99
"553" 14.465 42.3938 5.68
"554" 14.3879 42.416 5.9
"555" 14.5077 42.3923 6.01
"556" 14.7503 42.4887 5.99
"557" 14.536 42.4685 5.89
"558" 14.4215 42.4047 6.03
"559" 14.6918 42.5019 5.84
"560" 14.3631 42.4304 5.69
"561" 14.5345 42.3853 5.61
"562" 14.6934 42.5009 5.87
"563" 14.4521 42.3859 5.86
"564" 14.5813 42.4449 5.91
"565" 14.7594 42.4712 6
"566" 14.3258 42.4277 5.91
"567" 14.6327 42.5166 5.83
"568" 14.6917 42.5156 5.74
"569" 14.7097 42.5106 5.98
"570" 14.746 42.494 5.9
"571" 14.6808 42.5 5.89
"572" 14.5903 42.5409 5.93
"573" 14.6638 42.5189 5.89
"574" 14.5064 42.3805 5.99
"575" 14.5985 42.4647 5.95
"576" 14.5564 42.4485 5.97
"577" 14.6777 42.5035 5.83
"578" 14.3867 42.4173 5.99
"579" 14.4047 42.4193 6.02
"580" 14.3837 42.4309 5.81
"581" 14.7407 42.4755 5.92
"582" 14.6315 42.5185 5.93
"583" 14.5096 42.5534 5.81
"584" 14.7642 42.4741 5.9
"585" 14.53 42.5434 6.17
"586" 14.5805 42.4362 5.78
"587" 14.6002 42.4367 5.85
"588" 14.6908 42.5149 5.91
"589" 14.6142 42.4576 6.01
"590" 14.3612 42.4354 5.93
"591" 14.7026 42.5019 5.71
"592" 14.6641 42.5106 6.01
"593" 14.3751 42.4305 5.87
"594" 14.4914 42.4949 5.93
"595" 14.5858 42.448 5.98
"596" 14.698 42.5133 5.85
"597" 14.7255 42.5032 5.88
"598" 14.4937 42.3978 6.09
"599" 14.705 42.5024 5.99
"600" 14.4273 42.3853 5.9
"601" 14.7067 42.4901 5.86
"602" 14.6717 42.4979 5.94
"603" 14.5985 42.532 5.89
"604" 14.5602 42.4545 5.82
"605" 14.6133 42.4118 5.78
"606" 14.7205 42.5012 5.58
"607" 14.4862 42.3877 6.02
"608" 14.7496 42.5121 5.85
"609" 14.5753 42.4338 5.82
"610" 14.5253 42.4968 6.02
"611" 14.6002 42.4268 5.77
"612" 14.486 42.395 5.84
"613" 14.3829 42.4173 5.72
"614" 14.6857 42.5241 5.82
"615" 14.662 42.5133 5.86
"616" 14.7273 42.495 5.9
"617" 14.5522 42.3748 5.92
"618" 14.5761 42.4606 5.95
"619" 14.423 42.4093 5.97
"620" 14.3806 42.4284 5.82
"621" 14.6228 42.5352 5.85
"622" 14.6567 42.5306 6.02
"623" 14.5922 42.4476 5.97
"624" 14.4366 42.4251 5.81
"625" 14.6597 42.5224 5.85
"626" 14.6884 42.4168 5.83
"627" 14.4362 42.4123 5.9
"628" 14.3931 42.4295 5.74
"629" 14.6993 42.5154 5.84
"630" 14.655 42.5195 5.8
"631" 14.6168 42.4452 5.97
"632" 14.5994 42.4405 5.94
"633" 14.5603 42.4436 5.96
"634" 14.6828 42.5148 6.01
"635" 14.5768 42.4587 5.96
"636" 14.6383 42.5087 5.8
"637" 14.3222 42.4338 5.73
"638" 14.4457 42.3967 5.84
"639" 14.3767 42.4156 5.99
"640" 14.6471 42.5273 5.9
"641" 14.5312 42.4329 5.82
"642" 14.3936 42.4096 5.82
"643" 14.7299 42.5039 5.94
"644" 14.6162 42.4277 6.08
"645" 14.6558 42.5242 5.86
"646" 14.6401 42.5145 5.8
"647" 14.4758 42.4102 5.87
"648" 14.606 42.4396 5.91
"649" 14.3764 42.4207 6.12
"650" 14.7528 42.4785 5.97
"651" 14.6281 42.5174 5.72
"652" 14.3833 42.4254 5.96
"653" 14.3924 42.424 5.83
"654" 14.6332 42.5262 5.86
"655" 14.4092 42.4134 5.91
"656" 14.7053 42.498 5.86
"657" 14.5693 42.4517 5.99
"658" 14.7205 42.4901 5.81
"659" 14.6114 42.4241 5.93
"660" 14.6047 42.4459 5.91
"661" 14.5818 42.5614 5.81
"662" 14.5358 42.4629 5.9
"663" 14.552 42.4633 5.88
"664" 14.7194 42.4962 5.78
"665" 14.5568 42.4439 5.9
"666" 14.4013 42.4341 5.84
"667" 14.5322 42.4567 5.75
"668" 14.3243 42.4383 5.86
"669" 14.7223 42.5013 5.89
"670" 14.6699 42.4956 5.73
"671" 14.504 42.4651 5.78
"672" 14.4931 42.3684 5.78
"673" 14.6486 42.4216 5.97
"674" 14.6366 42.502 5.66
"675" 14.3921 42.4287 5.97
"676" 14.5745 42.465 5.96
"677" 14.4924 42.4635 5.86
"678" 14.5452 42.4463 5.86
"679" 14.702 42.4967 5.86
"680" 14.6508 42.5379 5.77
"681" 14.5882 42.5148 5.9
"682" 14.6206 42.4295 5.97
"683" 14.7335 42.4825 5.91
"684" 14.6569 42.4187 5.89
"685" 14.4492 42.3919 5.91
"686" 14.7723 42.5081 5.86
"687" 14.6158 42.5282 5.82
"688" 14.6134 42.41 5.96
"689" 14.6959 42.5064 5.94
"690" 14.7187 42.3954 5.73
"691" 14.5287 42.4416 5.95
"692" 14.4341 42.3971 5.94
"693" 14.6556 42.5108 5.88
"694" 14.5416 42.559 5.9
"695" 14.3783 42.4181 6.02
"696" 14.5658 42.4551 5.87
"697" 14.6841 42.5165 6.02
"698" 14.4935 42.4614 5.97
"699" 14.5834 42.4401 5.9
"700" 14.4064 42.4168 5.77
"701" 14.6405 42.5302 5.84
"702" 14.4225 42.3959 5.97
"703" 14.4344 42.4041 5.88
"704" 14.5971 42.4393 5.92
"705" 14.5841 42.4614 5.93
"706" 14.5903 42.4426 5.89
"707" 14.4577 42.4062 5.88
"708" 14.524 42.4538 5.99
"709" 14.4362 42.4182 5.92
"710" 14.6765 42.5106 5.88
"711" 14.5827 42.5406 5.89
"712" 14.8054 42.4639 5.77
"713" 14.5946 42.4386 5.86
"714" 14.4216 42.4108 5.79
"715" 14.7219 42.4772 6.02
"716" 14.7556 42.5074 5.82
"717" 14.7146 42.4988 5.83
"718" 14.6224 42.4437 5.83
"719" 14.4902 42.4857 5.96
"720" 14.3715 42.4324 6.04
"721" 14.5024 42.4387 6.11
"722" 14.6874 42.512 5.75
"723" 14.4505 42.4813 6.05
"724" 14.7845 42.4867 6.06
"725" 14.6131 42.4408 5.99
"726" 14.7268 42.496 5.98
"727" 14.5776 42.5376 5.89
"728" 14.6512 42.4122 5.96
"729" 14.8269 42.4598 5.72
"730" 14.6249 42.4404 6.1
"731" 14.6802 42.5454 6.07
"732" 14.6674 42.4083 5.72
"733" 14.6483 42.5158 5.77
"734" 14.647 42.5259 5.85
"735" 14.5301 42.4856 5.79
"736" 14.5769 42.4536 6
"737" 14.5821 42.4427 5.95
"738" 14.6093 42.5254 5.82
"739" 14.5423 42.468 5.93
"740" 14.7682 42.4828 5.88
"741" 14.6218 42.5244 6.09
"742" 14.6 42.4382 5.82
"743" 14.4946 42.3969 5.8
"744" 14.6423 42.5105 5.97
"745" 14.7373 42.5052 5.87
"746" 14.3286 42.4378 5.87
"747" 14.63 42.5271 5.86
"748" 14.4199 42.4063 5.86
"749" 14.3795 42.4079 5.75
"750" 14.4672 42.3914 5.94
"751" 14.6772 42.4075 5.83
"752" 14.5907 42.456 5.8
