"price" "type.food" "area"
"58" 840.44 "Tacos" "Cancun"
"59" 737.63 "Tacos" "Cancun"
"60" 645.79 "Tacos" "Cancun"
"61" 826.21 "Tacos" "Cancun"
"62" 763.98 "Tacos" "Cancun"
"63" 823.92 "Tacos" "Cancun"
"64" 815.71 "Tacos" "Cancun"
"65" 721.21 "Tacos" "Cancun"
"66" 830.65 "Tacos" "Cancun"
"67" 692.85 "Tacos" "Cancun"
"68" 804.68 "Tacos" "Cancun"
"69" 759.38 "Tacos" "Cancun"
"70" 716.91 "Tacos" "Cancun"
"71" 720.24 "Tacos" "Cancun"
"72" 664.92 "Tacos" "Cancun"
"73" 632.56 "Tacos" "Cancun"
"74" 828.28 "Tacos" "Cancun"
"75" 800.75 "Tacos" "Cancun"
"76" 737.93 "Tacos" "Cancun"
"77" 820.77 "Tacos" "Cancun"
"78" 764.43 "Tacos" "Cancun"
"79" 698.2 "Tacos" "Cancun"
"80" 827.87 "Tacos" "Cancun"
"81" 750.96 "Tacos" "Cancun"
"82" 704.29 "Tacos" "Cancun"
"83" 573.55 "Tacos" "Cancun"
"84" 664.62 "Tacos" "Cancun"
"85" 740.52 "Tacos" "Cancun"
"86" 814.05 "Tacos" "Cancun"
"87" 726.4 "Tacos" "Cancun"
"88" 784.48 "Tacos" "Cancun"
"89" 742.29 "Tacos" "Cancun"
"90" 685.45 "Tacos" "Cancun"
"91" 594.48 "Tacos" "Cancun"
"92" 681.83 "Tacos" "Cancun"
"93" 772.15 "Tacos" "Cancun"
"94" 865.22 "Tacos" "Cancun"
"95" 686.97 "Tacos" "Cancun"
"96" 828.87 "Tacos" "Cancun"
"97" 738.41 "Tacos" "Cancun"
"98" 750.12 "Tacos" "Cancun"
"99" 753.34 "Tacos" "Cancun"
"100" 734.71 "Tacos" "Cancun"
"101" 382.48 "Tacos" "Guanajato"
"102" 405.98 "Tacos" "Guanajato"
"103" 279.99 "Tacos" "Guanajato"
"104" 220.3 "Tacos" "Guanajato"
"105" 397.31 "Tacos" "Guanajato"
"106" 448.4 "Tacos" "Guanajato"
"107" 394.58 "Tacos" "Guanajato"
"108" 591.74 "Tacos" "Guanajato"
"109" 454.52 "Tacos" "Guanajato"
"110" 344.5 "Tacos" "Guanajato"
"111" 374.72 "Tacos" "Guanajato"
"112" 562.27 "Tacos" "Guanajato"
"113" 534.21 "Tacos" "Guanajato"
"114" 391.8 "Tacos" "Guanajato"
"115" 581.13 "Tacos" "Guanajato"
"116" 344.11 "Tacos" "Guanajato"
"117" 200.95 "Tacos" "Guanajato"
"118" 509.52 "Tacos" "Guanajato"
"119" 374.21 "Tacos" "Guanajato"
"120" 476.93 "Tacos" "Guanajato"
"121" 419.89 "Tacos" "Guanajato"
"122" 411.89 "Tacos" "Guanajato"
"123" 429.41 "Tacos" "Guanajato"
"124" 309.41 "Tacos" "Guanajato"
"125" 520.88 "Tacos" "Guanajato"
"126" 503.4 "Tacos" "Guanajato"
"127" 522.14 "Tacos" "Guanajato"
"128" 484.52 "Tacos" "Guanajato"
"129" 730.28 "Tacos" "Guanajato"
"130" 402.86 "Tacos" "Guanajato"
"131" 287.99 "Tacos" "Guanajato"
"132" 494.9 "Tacos" "Guanajato"
"133" 290.89 "Tacos" "Guanajato"
"134" 291.15 "Tacos" "Guanajato"
"135" 375.87 "Tacos" "Guanajato"
"136" 479.73 "Tacos" "Guanajato"
"137" 424.31 "Tacos" "Guanajato"
"138" 431.89 "Tacos" "Guanajato"
"139" 558.46 "Tacos" "Guanajato"
"140" 279.89 "Tacos" "Guanajato"
"141" 372.34 "Tacos" "Guanajato"
"142" 559.11 "Tacos" "Guanajato"
"143" 597.62 "Tacos" "Guanajato"
"144" 557.9 "Tacos" "Guanajato"
"145" 397.82 "Tacos" "Guanajato"
"146" 362.21 "Tacos" "Guanajato"
"147" 466.05 "Tacos" "Guanajato"
"148" 492.34 "Tacos" "Guanajato"
"149" 469.6 "Tacos" "Guanajato"
"150" 417.36 "Tacos" "Guanajato"
"151" 519.08 "Fajitas" "MexicoCity"
"152" 391.36 "Fajitas" "MexicoCity"
"153" 498.19 "Fajitas" "MexicoCity"
"154" 393.19 "Fajitas" "MexicoCity"
"155" 422.26 "Fajitas" "MexicoCity"
"156" 629.51 "Fajitas" "MexicoCity"
"157" 465.33 "Fajitas" "MexicoCity"
"158" 375.56 "Fajitas" "MexicoCity"
"159" 240.63 "Fajitas" "MexicoCity"
"160" 298.95 "Fajitas" "MexicoCity"
"161" 545.02 "Fajitas" "MexicoCity"
"162" 334.27 "Fajitas" "MexicoCity"
"163" 299.54 "Fajitas" "MexicoCity"
"164" 372.25 "Fajitas" "MexicoCity"
"165" 433.76 "Fajitas" "MexicoCity"
"166" 463.39 "Fajitas" "MexicoCity"
"167" 379.51 "Fajitas" "MexicoCity"
"168" 493.33 "Fajitas" "MexicoCity"
"169" 498.12 "Fajitas" "MexicoCity"
"170" 524.13 "Fajitas" "MexicoCity"
"171" 513.23 "Fajitas" "MexicoCity"
"172" 418.64 "Fajitas" "MexicoCity"
"173" 510.96 "Fajitas" "MexicoCity"
"174" 376.62 "Fajitas" "MexicoCity"
"175" 549.66 "Fajitas" "MexicoCity"
"176" 557.04 "Fajitas" "MexicoCity"
"177" 409.6 "Fajitas" "MexicoCity"
"178" 502.97 "Fajitas" "MexicoCity"
"179" 313.21 "Fajitas" "MexicoCity"
"180" 387.59 "Fajitas" "MexicoCity"
"181" 405.74 "Fajitas" "MexicoCity"
"182" 615.67 "Fajitas" "MexicoCity"
"183" 449.07 "Fajitas" "MexicoCity"
"184" 464.06 "Fajitas" "MexicoCity"
"185" 458.53 "Fajitas" "MexicoCity"
"186" 499.74 "Fajitas" "MexicoCity"
"187" 427.8 "Fajitas" "MexicoCity"
"188" 438.34 "Fajitas" "MexicoCity"
"189" 444.24 "Fajitas" "MexicoCity"
"190" 494.65 "Fajitas" "MexicoCity"
"191" 403.4 "Fajitas" "MexicoCity"
"192" 414.67 "Fajitas" "MexicoCity"
"193" 412.32 "Fajitas" "MexicoCity"
"194" 481.7 "Fajitas" "MexicoCity"
"195" 395.25 "Fajitas" "MexicoCity"
"196" 285.08 "Fajitas" "MexicoCity"
"197" 486 "Fajitas" "MexicoCity"
"198" 470.53 "Fajitas" "MexicoCity"
"199" 416.49 "Fajitas" "MexicoCity"
"200" 436.67 "Fajitas" "MexicoCity"
"201" 719.15 "Fajitas" "Cancun"
"202" 699.03 "Fajitas" "Cancun"
"203" 761.44 "Fajitas" "Cancun"
"204" 681 "Fajitas" "Cancun"
"205" 743.31 "Fajitas" "Cancun"
"206" 642.56 "Fajitas" "Cancun"
"207" 892.2 "Fajitas" "Cancun"
"208" 701.67 "Fajitas" "Cancun"
"209" 573.49 "Fajitas" "Cancun"
"210" 597.16 "Fajitas" "Cancun"
"211" 782.09 "Fajitas" "Cancun"
"212" 777.7 "Fajitas" "Cancun"
"213" 844.48 "Fajitas" "Cancun"
"214" 775.39 "Fajitas" "Cancun"
"215" 808.91 "Fajitas" "Cancun"
"216" 695.93 "Fajitas" "Cancun"
"217" 757.54 "Fajitas" "Cancun"
"218" 593.68 "Fajitas" "Cancun"
"219" 771.41 "Fajitas" "Cancun"
"220" 476.98 "Fajitas" "Cancun"
"221" 615.15 "Fajitas" "Cancun"
"222" 663.6 "Fajitas" "Cancun"
"223" 772.65 "Fajitas" "Cancun"
"224" 746.52 "Fajitas" "Cancun"
"225" 875.58 "Fajitas" "Cancun"
"226" 697.16 "Fajitas" "Cancun"
"227" 665.67 "Fajitas" "Cancun"
"228" 751.03 "Fajitas" "Cancun"
"229" 597.48 "Fajitas" "Cancun"
"230" 800.66 "Fajitas" "Cancun"
"231" 782.56 "Fajitas" "Cancun"
"232" 722.62 "Fajitas" "Cancun"
"233" 575.08 "Fajitas" "Cancun"
"234" 813.31 "Fajitas" "Cancun"
"235" 669.7 "Fajitas" "Cancun"
"236" 752.95 "Fajitas" "Cancun"
"237" 562.86 "Fajitas" "Cancun"
"238" 770.17 "Fajitas" "Cancun"
"239" 730.25 "Fajitas" "Cancun"
"240" 885.92 "Fajitas" "Cancun"
"241" 841.27 "Fajitas" "Cancun"
"242" 800.17 "Fajitas" "Cancun"
"243" 780.33 "Fajitas" "Cancun"
"244" 808.31 "Fajitas" "Cancun"
"245" 700.21 "Fajitas" "Cancun"
"246" 899.15 "Fajitas" "Cancun"
"247" 657.1 "Fajitas" "Cancun"
"248" 709.1 "Fajitas" "Cancun"
"249" 850.17 "Fajitas" "Cancun"
"250" 660.24 "Fajitas" "Cancun"
"251" 341.41 "Fajitas" "Guanajato"
"252" 448.53 "Fajitas" "Guanajato"
"253" 520.87 "Fajitas" "Guanajato"
"254" 385.83 "Fajitas" "Guanajato"
"255" 561.36 "Fajitas" "Guanajato"
"256" 369.01 "Fajitas" "Guanajato"
"257" 415.14 "Fajitas" "Guanajato"
"258" 349.05 "Fajitas" "Guanajato"
"259" 459.43 "Fajitas" "Guanajato"
"260" 367.48 "Fajitas" "Guanajato"
"261" 377.66 "Fajitas" "Guanajato"
"262" 473.79 "Fajitas" "Guanajato"
"263" 644.01 "Fajitas" "Guanajato"
"264" 353.28 "Fajitas" "Guanajato"
"265" 489.99 "Fajitas" "Guanajato"
"266" 396.9 "Fajitas" "Guanajato"
"267" 566.2 "Fajitas" "Guanajato"
"268" 491.16 "Fajitas" "Guanajato"
"269" 349.41 "Fajitas" "Guanajato"
"270" 237.92 "Fajitas" "Guanajato"
"271" 408.2 "Fajitas" "Guanajato"
"272" 366.88 "Fajitas" "Guanajato"
"273" 381.28 "Fajitas" "Guanajato"
"274" 484.28 "Fajitas" "Guanajato"
"275" 499.96 "Fajitas" "Guanajato"
"276" 451.11 "Fajitas" "Guanajato"
"277" 444.15 "Fajitas" "Guanajato"
"278" 468.74 "Fajitas" "Guanajato"
"279" 365.78 "Fajitas" "Guanajato"
"280" 295.07 "Fajitas" "Guanajato"
"281" 383.64 "Fajitas" "Guanajato"
"282" 540 "Fajitas" "Guanajato"
"283" 329.62 "Fajitas" "Guanajato"
"284" 526.98 "Fajitas" "Guanajato"
"285" 424.4 "Fajitas" "Guanajato"
"286" 490.59 "Fajitas" "Guanajato"
"287" 537.02 "Fajitas" "Guanajato"
"288" 351.18 "Fajitas" "Guanajato"
"289" 321.31 "Fajitas" "Guanajato"
"290" 424.78 "Fajitas" "Guanajato"
"291" 351.53 "Fajitas" "Guanajato"
"292" 534.58 "Fajitas" "Guanajato"
"293" 286.27 "Fajitas" "Guanajato"
"294" 411.53 "Fajitas" "Guanajato"
"295" 405.87 "Fajitas" "Guanajato"
"296" 544.09 "Fajitas" "Guanajato"
"297" 459.77 "Fajitas" "Guanajato"
"298" 463.59 "Fajitas" "Guanajato"
"299" 482.65 "Fajitas" "Guanajato"
"300" 456.8 "Fajitas" "Guanajato"
