"armor.class" "hit.points" "strength" "dexterity" "constitution" "intelligence" "wisdom" "charisma" "size"
"archmage" 12 99 10 14 12 20 15 16 "Medium"
"assassin" 15 78 11 16 14 13 11 10 "Medium"
"astral-dreadnought" 20 297 28 7 25 5 14 18 "Gargantuan"
"aurochs" 11 38 20 10 19 2 12 5 "Large"
"awakened-shrub" 9 10 3 8 11 10 10 6 "Small"
"awakened-tree" 13 59 19 6 15 10 10 7 "Huge"
"axe-beak" 11 19 14 12 12 2 10 5 "Large"
"azer" 17 39 17 12 15 12 13 10 "Medium"
"baboon" 12 3 8 14 11 4 12 6 "Small"
"badger" 10 3 4 11 12 2 12 5 "Tiny"
"balor" 19 262 26 15 22 20 16 22 "Huge"
"bandit" 12 11 11 12 12 10 10 10 "Medium"
"bandit-captain" 15 65 15 16 14 14 11 14 "Medium"
"banshee" 12 58 1 14 10 12 11 17 "Medium"
"barbed-devil" 15 110 16 17 18 12 14 14 "Medium"
"barghest" 17 90 19 15 14 13 12 14 "Large"
"barlgura" 15 68 18 15 16 7 14 9 "Large"
"basilisk" 15 52 16 8 15 2 8 7 "Medium"
"bat" 12 1 2 15 8 2 12 4 "Tiny"
"bearded-devil" 13 52 16 15 15 9 11 11 "Medium"
"behir" 17 168 23 16 18 7 14 12 "Huge"
"belaphoss" 19 262 26 15 22 20 16 22 "Huge"
"berserker" 13 67 16 12 17 9 11 9 "Medium"
"black-bear" 11 19 15 10 14 2 12 7 "Medium"
"black-dragon-wyrmling" 17 33 15 14 13 10 11 13 "Medium"
"black-pudding" 7 85 16 5 16 1 6 1 "Large"
"blink-dog" 13 22 12 17 12 10 13 11 "Medium"
"blood-hawk" 12 7 6 14 10 3 14 5 "Small"
"blue-dragon-wyrmling" 17 52 17 10 15 12 11 15 "Medium"
"boar" 11 11 13 11 12 2 9 5 "Medium"
"bone-devil" 19 142 18 16 18 13 14 16 "Large"
"brass-dragon-wyrmling" 16 16 15 10 13 10 11 13 "Medium"
"bronze-dragon-wyrmling" 17 32 17 10 15 12 11 15 "Medium"
"brown-bear" 11 34 19 10 16 2 13 7 "Large"
"bugbear" 16 27 15 14 13 8 11 9 "Medium"
"bulette" 17 94 19 11 21 2 10 5 "Large"
"bullywug" 15 11 12 12 13 7 10 7 "Medium"
"camel" 9 15 16 8 14 2 8 5 "Large"
"cat" 12 2 3 15 10 3 12 7 "Tiny"
"centaur" 12 45 18 14 14 9 13 11 "Large"
"chain-devil" 16 85 18 15 18 11 12 14 "Medium"
"chimera" 14 114 19 11 19 3 14 10 "Large"
"chuul" 16 93 19 10 16 5 11 5 "Large"
"clay-golem" 14 133 20 9 18 3 8 1 "Large"
"cloaker" 14 78 17 15 12 13 12 14 "Large"
"cloud-giant" 14 200 27 10 22 12 16 16 "Huge"
"cockatrice" 11 27 6 12 12 2 13 5 "Small"
"commoner" 10 4 10 10 10 10 10 10 "Medium"
"constrictor-snake" 12 13 15 14 12 1 10 3 "Large"
"copper-dragon-wyrmling" 16 22 15 12 13 14 11 13 "Medium"
"couatl" 19 97 16 20 17 18 20 18 "Medium"
"cow" 10 15 18 10 14 2 10 4 "Large"
"crab" 11 2 2 11 10 1 8 2 "Tiny"
"crawling-claw" 12 2 13 14 11 5 10 4 "Tiny"
"crocodile" 12 19 15 10 13 2 10 5 "Large"
"cult-fanatic" 13 33 11 14 12 10 13 14 "Medium"
"cultist" 12 9 11 12 10 10 11 10 "Medium"
"cyclops" 14 138 22 11 20 8 6 10 "Huge"
"dao" 18 187 23 12 24 12 13 14 "Large"
"darkmantle" 11 22 16 12 13 2 10 5 "Small"
"death-dog" 12 39 15 14 14 3 13 6 "Medium"
"deep-gnome-svirfneblin" 15 16 15 14 14 12 10 9 "Small"
"deer" 13 4 11 16 11 2 14 5 "Medium"
"deva" 17 136 18 18 18 17 20 20 "Medium"
"devilroot" 15 105 17 11 17 12 14 14 "Medium"
"dire-wolf" 14 37 17 15 15 3 12 7 "Large"
"djinni" 17 161 21 15 22 15 16 20 "Large"
"dolphin" 12 11 14 13 13 6 12 7 "Medium"
"doppelganger" 14 52 11 18 14 11 12 14 "Medium"
"draft-horse" 10 19 18 10 12 2 11 7 "Large"
"dragon-turtle" 20 341 25 10 20 10 12 12 "Gargantuan"
"dretch" 11 18 11 11 12 5 8 3 "Small"
"drider" 19 123 16 16 18 13 14 12 "Large"
"drow" 15 13 10 14 10 11 11 12 "Medium"
"drow-house-captain" 16 162 14 19 15 12 14 13 "Medium"
"drow-inquisitor" 16 143 11 15 14 16 21 20 "Medium"
"drow-mage" 12 45 9 14 10 17 13 12 "Medium"
"druid" 11 27 10 12 13 12 15 11 "Medium"
"dryad" 11 22 10 12 11 14 15 18 "Medium"
"duergar" 16 26 14 11 14 11 10 9 "Medium"
"dust-mephit" 12 17 5 14 10 9 11 10 "Small"
"eagle" 12 3 6 15 10 2 14 7 "Small"
"earth-elemental" 17 126 20 8 20 5 10 5 "Large"
"efreeti" 17 200 22 12 24 16 15 16 "Large"
"elephant" 12 76 22 9 17 3 11 6 "Huge"
"elk" 10 13 16 10 12 2 10 6 "Large"
"erinyes" 18 153 18 16 18 14 14 18 "Medium"
"ettercap" 13 44 14 15 13 7 12 8 "Medium"
"ettin" 12 85 21 8 17 6 10 8 "Large"
"fire-elemental" 13 102 10 17 16 6 10 7 "Large"
"fire-giant" 18 162 25 9 23 10 14 13 "Huge"
"fire-snake" 14 22 12 14 11 7 10 8 "Medium"
"flameskull" 13 40 1 17 14 16 10 11 "Tiny"
"flesh-golem" 9 93 19 9 18 6 10 5 "Medium"
"flind" 16 127 20 10 19 11 13 12 "Medium"
"flying-snake" 14 5 4 18 11 2 12 5 "Tiny"
"flying-sword" 17 17 12 15 11 1 5 1 "Small"
"frog" 11 1 1 13 8 1 8 3 "Tiny"
"froghemoth" 14 184 23 13 20 2 12 5 "Huge"
"frost-giant" 15 138 23 9 21 9 10 12 "Huge"
"galeb-duhr" 16 85 20 14 20 11 12 11 "Medium"
"gargoyle" 15 52 15 11 16 6 11 7 "Medium"
"gauth" 15 67 10 14 16 15 15 13 "Medium"
"gelatinous-cube" 6 84 14 3 20 1 6 1 "Large"
"ghast" 13 36 16 17 10 11 10 8 "Medium"
"ghost" 11 45 7 13 10 10 12 17 "Medium"
"ghoul" 12 22 13 15 10 7 10 6 "Medium"
"giant-ape" 12 157 23 14 18 7 12 7 "Huge"
"giant-badger" 10 13 13 10 15 2 12 5 "Medium"
"giant-bat" 13 22 15 16 11 2 12 6 "Large"
"giant-boar" 12 42 17 10 16 2 7 5 "Large"
"giant-centipede" 13 4 5 14 12 1 7 3 "Small"
"giant-constrictor-snake" 12 60 19 14 12 1 10 3 "Huge"
"giant-crab" 15 13 13 15 11 1 9 3 "Medium"
"giant-crocodile" 14 85 21 9 17 2 10 7 "Huge"
"giant-eagle" 13 26 16 17 13 8 14 10 "Large"
"giant-elk" 14 42 19 16 14 7 14 10 "Huge"
"giant-fire-beetle" 13 4 8 10 12 1 7 3 "Small"
"giant-frog" 11 18 12 13 11 2 10 3 "Medium"
"giant-goat" 11 19 17 11 12 3 12 6 "Large"
"giant-hyena" 12 45 16 14 14 2 12 7 "Large"
"giant-lizard" 12 19 15 12 13 2 10 5 "Large"
"giant-octopus" 11 52 17 13 13 4 10 4 "Large"
"giant-owl" 12 19 13 15 12 8 13 10 "Large"
"giant-poisonous-snake" 14 11 10 18 13 2 10 3 "Medium"
"giant-rat" 12 7 7 15 11 2 10 4 "Small"
"giant-scorpion" 15 52 15 13 15 1 9 3 "Large"
"giant-sea-horse" 13 16 12 15 11 2 12 5 "Large"
"giant-shark" 13 126 23 11 21 1 10 5 "Huge"
"giant-spider" 14 26 14 16 12 2 11 4 "Large"
"giant-toad" 11 39 15 13 13 2 10 3 "Large"
"giant-two-headed-goat" 11 19 17 11 12 3 12 6 "Large"
"giant-vulture" 10 22 15 10 15 6 12 7 "Large"
"giant-wasp" 12 13 10 14 10 1 10 3 "Medium"
"giant-weasel" 13 9 11 16 10 4 12 5 "Medium"
"giant-wolf-spider" 13 11 12 16 13 3 12 4 "Medium"
"gibbering-mouther" 9 67 10 8 16 3 10 6 "Medium"
"glabrezu" 17 157 20 15 21 19 17 16 "Large"
"gladiator" 16 112 18 15 16 10 12 15 "Medium"
"gnoll" 15 22 14 12 11 6 10 7 "Medium"
"gnoll-pack-lord" 15 49 16 14 13 8 11 9 "Medium"
"goat" 10 4 12 10 11 2 10 5 "Medium"
"goblin" 15 7 8 14 10 10 8 8 "Small"
"gold-dragon-wyrmling" 17 60 19 14 17 14 11 16 "Medium"
"gorgon" 19 114 20 11 18 2 12 7 "Large"
"gray-ooze" 8 22 12 6 16 1 6 2 "Medium"
"green-dragon-wyrmling" 17 38 15 12 13 14 11 13 "Medium"
"green-hag" 17 82 18 12 16 13 14 14 "Medium"
"grell" 12 55 15 14 13 12 11 9 "Medium"
"grick" 14 27 14 14 11 3 14 5 "Medium"
"griffon" 12 59 18 15 16 2 13 8 "Large"
"grimlock" 11 11 16 12 12 9 8 6 "Medium"
"guard" 16 11 13 12 12 10 11 10 "Medium"
"guardian-naga" 18 127 19 18 16 16 19 18 "Large"
"gynosphinx" 17 136 18 15 16 18 18 18 "Large"
"half-ogre" 12 30 17 10 14 7 9 10 "Large"
"half-red-dragon-veteran" 18 65 16 13 14 10 11 10 "Medium"
"harpy" 11 38 12 13 12 7 10 13 "Medium"
"hawk" 13 1 5 16 8 2 14 6 "Tiny"
"hell-hound" 15 45 17 12 14 6 13 6 "Medium"
"helmed-horror" 20 60 18 13 16 10 10 10 "Medium"
"hezrou" 16 136 19 17 20 5 12 13 "Large"
"hill-giant" 13 105 21 8 19 5 9 6 "Huge"
"hippogriff" 11 19 17 13 13 2 12 8 "Large"
"hobgoblin" 18 11 13 12 12 10 10 9 "Medium"
"hobgoblin-captain" 17 39 15 14 14 12 10 13 "Medium"
"hobgoblin-iron-shadow" 15 32 14 16 15 14 15 11 "Medium"
"homunculus" 13 5 4 15 11 10 10 7 "Tiny"
"hook-horror" 15 75 18 10 15 6 12 7 "Large"
"horned-devil" 18 178 22 17 21 12 16 17 "Large"
"hunter-shark" 12 45 18 13 15 1 10 4 "Large"
"hydra" 15 172 20 12 20 2 10 7 "Huge"
"hyena" 11 5 11 13 12 2 12 5 "Medium"
"ice-devil" 18 180 21 14 18 18 15 18 "Large"
"ice-mephit" 11 21 7 13 10 9 11 12 "Small"
"imp" 13 10 6 17 13 11 12 14 "Tiny"
"invisible-stalker" 14 104 16 19 14 10 15 11 "Medium"
"iron-golem" 20 210 24 9 20 3 11 1 "Large"
"jackal" 12 3 8 15 11 3 12 6 "Small"
"jackalwere" 12 18 11 15 11 13 11 10 "Medium"
"kenku" 13 13 10 16 10 11 10 10 "Medium"
"killer-whale" 12 90 19 10 13 3 12 7 "Huge"
"knight" 18 52 16 11 14 11 11 15 "Medium"
"kobold" 12 5 7 15 9 8 7 8 "Small"
"kobold-inventor" 12 13 7 15 12 8 7 8 "Small"
"kraken" 18 472 30 11 25 22 18 20 "Gargantuan"
"kuo-toa" 13 18 13 10 11 11 10 8 "Medium"
"kuo-toa-archpriest" 13 97 16 14 16 13 16 14 "Medium"
"kuo-toa-whip" 11 65 14 10 14 12 14 11 "Medium"
"laeral-silverhand" 18 228 13 17 20 20 20 19 "Medium"
"lamia" 13 97 16 13 15 14 15 16 "Large"
"lemure" 7 13 10 5 11 1 11 3 "Medium"
"lich" 17 135 11 16 16 20 14 16 "Medium"
"lion" 12 26 17 15 13 3 12 8 "Large"
"lizard" 10 2 2 11 10 1 8 3 "Tiny"
"lizard-king-queen" 15 78 17 12 15 11 11 15 "Medium"
"lizardfolk" 15 22 15 10 13 7 12 7 "Medium"
"lizardfolk-shaman" 13 27 15 10 13 10 15 8 "Medium"
"mage" 12 40 9 14 11 17 12 11 "Medium"
"magma-mephit" 11 22 8 12 12 7 10 10 "Small"
"magmin" 14 9 7 15 12 8 11 10 "Small"
"mammoth" 13 126 24 9 21 3 11 6 "Huge"
"manticore" 14 68 17 16 17 7 12 8 "Large"
"marilith" 18 189 18 20 20 18 16 20 "Large"
"mastiff" 12 5 13 14 12 3 12 7 "Medium"
"medusa" 15 127 10 15 16 12 13 15 "Medium"
"merfolk" 11 11 10 13 12 11 11 12 "Medium"
"merrow" 13 45 18 10 15 8 10 9 "Large"
"mezzoloth" 18 75 18 11 16 7 10 11 "Medium"
"mimic" 12 58 17 12 15 5 13 8 "Medium"
"mindwitness" 15 75 10 14 14 15 15 10 "Large"
"minotaur" 14 76 18 11 16 6 16 9 "Large"
"minotaur-skeleton" 12 67 18 11 15 6 8 5 "Large"
"moloch" 19 253 26 19 22 21 18 23 "Large"
"mud-mephit" 11 27 8 12 12 9 11 7 "Small"
"mule" 10 11 14 10 13 2 10 5 "Medium"
"mummified-warrior" 8 19 13 6 14 8 6 8 "Medium"
"mummy" 11 58 16 8 15 6 10 12 "Medium"
"mummy-lord" 17 97 18 10 17 11 18 16 "Medium"
"nalfeshnee" 18 184 21 10 22 19 12 15 "Large"
"narzugon" 20 112 20 10 17 16 14 19 "Medium"
"night-hag" 17 112 18 15 16 16 14 16 "Medium"
"nightmare" 13 68 18 15 16 10 13 15 "Large"
"nilbog" 13 7 8 14 10 10 8 15 "Small"
"noble" 15 9 11 12 11 12 14 16 "Medium"
"nothic" 15 45 14 16 16 13 10 8 "Medium"
"nycaloth" 18 123 20 11 19 12 10 15 "Large"
"ochre-jelly" 8 45 15 6 14 2 6 1 "Large"
"octopus" 12 3 4 15 11 3 10 4 "Small"
"ogre" 11 59 19 8 16 5 7 7 "Large"
"ogre-zombie" 8 85 19 6 18 3 6 5 "Large"
"oni" 16 110 19 11 16 14 12 15 "Large"
"orc" 13 15 16 12 16 7 11 10 "Medium"
"orc-eye-of-gruumsh" 16 45 16 12 16 9 13 12 "Medium"
"orcus" 17 405 27 14 25 20 20 25 "Huge"
"orog" 18 42 18 12 18 12 11 12 "Medium"
"otyugh" 14 114 16 11 19 6 13 6 "Large"
"owl" 11 1 3 13 8 2 12 7 "Tiny"
"owlbear" 13 59 20 12 17 3 12 7 "Large"
"panther" 12 13 14 15 10 3 14 7 "Medium"
"pegasus" 12 59 18 15 16 10 15 13 "Large"
"peryton" 13 33 16 12 13 9 12 10 "Medium"
"phase-spider" 13 32 15 15 12 6 10 6 "Large"
"piercer" 15 22 10 13 16 1 7 3 "Medium"
"pit-fiend" 19 300 26 14 24 22 18 24 "Large"
"planetar" 19 200 24 20 24 19 22 25 "Large"
"plesiosaurus" 13 68 18 15 16 2 12 5 "Large"
"poisonous-snake" 13 2 2 16 11 1 10 3 "Tiny"
"polar-bear" 12 42 20 10 16 2 13 7 "Large"
"pony" 10 11 15 10 13 2 11 7 "Medium"
"priest" 13 27 10 10 12 13 16 13 "Medium"
"pseudodragon" 13 7 6 15 13 10 12 10 "Tiny"
"pteranodon" 13 13 12 15 10 2 9 5 "Medium"
"purple-worm" 18 247 28 7 22 1 8 4 "Gargantuan"
"quasit" 13 7 5 17 10 7 10 10 "Tiny"
"quetzalcoatlus" 13 30 15 13 13 2 10 5 "Huge"
"quipper" 13 1 2 16 9 1 7 2 "Tiny"
"rakshasa" 16 110 14 17 18 13 16 20 "Medium"
"rat" 10 1 2 11 9 2 10 4 "Tiny"
"raven" 12 1 2 14 8 2 12 6 "Tiny"
"red-dragon-wyrmling" 17 75 19 10 17 12 11 15 "Medium"
"reef-manta-ray" 12 16 13 12 12 1 12 4 "Large"
"reef-shark" 12 22 14 13 13 1 10 4 "Medium"
"remorhaz" 17 195 24 13 21 4 10 5 "Huge"
"revenant" 13 136 18 14 18 13 16 18 "Medium"
"rhinoceros" 11 45 21 8 15 2 12 6 "Large"
"riding-horse" 10 13 16 10 12 2 11 7 "Large"
"roc" 15 248 28 10 20 3 10 9 "Gargantuan"
"roper" 20 93 18 8 17 7 16 6 "Large"
"rug-of-smothering" 12 33 17 14 10 1 3 1 "Large"
"rust-monster" 14 27 13 12 13 2 13 6 "Medium"
"saber-toothed-tiger" 12 52 18 14 15 3 12 8 "Large"
"sahuagin" 12 22 13 11 12 12 13 9 "Medium"
"salamander" 15 90 18 14 15 11 10 12 "Large"
"satyr" 14 31 12 16 11 12 10 14 "Medium"
"scorpion" 11 1 2 11 8 1 8 2 "Tiny"
"scout" 13 16 11 14 12 11 13 11 "Medium"
"sea-hag" 14 52 16 13 16 12 12 13 "Medium"
"sea-horse" 11 1 1 12 8 1 10 2 "Tiny"
"shadow" 12 16 6 14 13 6 10 8 "Medium"
"shadow-demon" 13 66 1 17 12 14 13 14 "Medium"
"shambling-mound" 15 136 18 8 16 5 10 5 "Large"
"shield-guardian" 17 142 18 8 18 7 10 3 "Large"
"shrieker" 5 13 1 1 10 1 3 1 "Medium"
"sibriex" 19 150 10 3 23 25 24 25 "Huge"
"silver-dragon-wyrmling" 17 45 19 10 17 12 11 15 "Medium"
"skeleton" 13 13 10 14 15 6 8 5 "Medium"
"slithering-tracker" 14 32 16 19 15 10 14 11 "Medium"
"smoke-mephit" 12 22 6 14 12 10 10 11 "Small"
"solar" 21 243 26 22 26 25 25 30 "Large"
"spectator" 14 39 8 14 14 13 14 11 "Medium"
"specter" 12 22 1 14 11 10 10 11 "Medium"
"spider" 12 1 2 14 8 1 10 2 "Tiny"
"spirit-naga" 15 75 18 17 14 16 15 16 "Large"
"sprite" 15 2 3 18 10 14 13 11 "Tiny"
"spy" 12 27 10 15 10 12 14 16 "Medium"
"steam-mephit" 10 21 5 11 10 11 10 12 "Small"
"stirge" 14 2 4 16 11 2 8 6 "Tiny"
"stone-giant" 17 126 23 15 20 10 12 9 "Huge"
"stone-giant-dreamwalker" 18 161 23 14 21 10 8 12 "Huge"
"stone-golem" 17 178 22 9 20 3 11 1 "Large"
"storm-giant" 16 230 29 14 20 16 18 18 "Huge"
"succubus" 15 66 8 17 13 15 12 20 "Medium"
"swarm-of-bats" 12 22 5 15 10 2 12 4 "Medium"
"swarm-of-insects" 12 22 3 13 10 1 7 1 "Medium"
"swarm-of-poisonous-snakes" 14 36 8 18 11 1 10 3 "Medium"
"swarm-of-quippers" 13 28 13 16 9 1 7 2 "Medium"
"swarm-of-rats" 10 24 9 11 9 2 10 3 "Medium"
"swarm-of-ravens" 12 24 6 14 8 3 12 6 "Medium"
"swarm-of-rot-grubs" 8 22 2 7 10 1 2 1 "Medium"
"tanarukk" 14 95 18 13 20 9 9 9 "Medium"
"tarrasque" 25 676 30 11 30 3 11 11 "Gargantuan"
"thug" 11 32 15 11 14 10 10 11 "Medium"
"tiger" 12 37 17 15 14 3 12 8 "Large"
"treant" 16 138 23 8 21 12 16 12 "Huge"
"tribal-warrior" 12 11 13 11 12 8 11 8 "Medium"
"triceratops" 13 95 22 9 17 2 11 5 "Huge"
"troglodyte" 11 13 14 10 14 6 10 6 "Medium"
"troll" 15 84 18 13 20 7 9 7 "Large"
"twig-blight" 13 4 6 13 12 4 8 3 "Small"
"tyrannosaurus-rex" 13 136 25 10 19 2 12 9 "Huge"
"umber-hulk" 18 93 20 13 16 9 10 10 "Large"
"unicorn" 12 67 18 14 15 11 17 16 "Large"
"vampire" 16 144 18 18 18 17 15 18 "Medium"
"vampire-spawn" 15 82 16 16 16 11 10 12 "Medium"
"venerable-shadow" 13 27 6 16 13 6 12 10 "Medium"
"veteran" 17 58 16 13 14 10 11 10 "Medium"
"violet-fungus" 5 18 3 1 10 1 3 1 "Medium"
"vrock" 15 104 17 15 18 8 13 8 "Large"
"vulture" 10 5 7 10 13 2 12 4 "Medium"
"warhorse" 11 19 18 12 13 2 12 7 "Large"
"warhorse-skeleton" 13 22 18 12 15 2 8 5 "Large"
"water-elemental" 14 114 18 14 18 5 10 8 "Large"
"water-weird" 13 58 17 16 13 11 10 10 "Large"
"weasel" 13 1 3 16 8 2 12 3 "Tiny"
"werebear" 10 135 19 10 17 11 12 12 "Medium"
"wereboar" 10 78 17 10 15 10 11 8 "Medium"
"wererat" 12 33 10 15 12 11 10 8 "Medium"
"weretiger" 12 120 17 15 16 10 13 11 "Medium"
"werewolf" 11 58 15 13 14 10 11 10 "Medium"
"white-dragon-wyrmling" 16 32 14 10 14 5 10 11 "Medium"
"wight" 14 45 15 14 16 10 13 15 "Medium"
"wild-dog" 12 5 13 14 12 3 12 7 "Medium"
"wild-dog-alpha" 12 26 17 15 13 3 12 8 "Large"
"will-o--wisp" 19 22 1 28 10 13 14 11 "Tiny"
"winged-kobold" 13 7 7 16 9 8 7 8 "Small"
"winter-wolf" 13 75 18 13 14 7 12 8 "Large"
"wolf" 13 11 12 15 12 3 12 6 "Medium"
"worg" 13 26 16 13 13 7 11 8 "Large"
"wraith" 13 67 6 16 16 12 14 15 "Medium"
"wyvern" 13 110 19 10 16 5 12 6 "Large"
"xorn" 19 73 17 10 22 11 10 11 "Medium"
"yeti" 12 51 18 13 16 8 12 7 "Large"
"young-black-dragon" 18 127 19 14 17 12 11 15 "Large"
"young-blue-dragon" 18 152 21 10 19 14 13 17 "Large"
"young-brass-dragon" 17 110 19 10 17 12 11 15 "Large"
"young-bronze-dragon" 18 142 21 10 19 14 13 17 "Large"
"young-copper-dragon" 17 119 19 12 17 16 13 15 "Large"
"young-gold-dragon" 18 178 23 14 21 16 13 20 "Large"
"young-green-dragon" 18 136 19 12 17 16 13 15 "Large"
"young-red-dragon" 18 178 23 10 21 14 11 19 "Large"
"young-silver-dragon" 18 168 23 10 21 14 11 19 "Large"
"young-white-dragon" 17 133 18 10 18 6 11 12 "Large"
"yuan-ti-abomination" 15 127 19 16 17 17 15 18 "Large"
"yuan-ti-malison" 12 66 16 14 13 14 12 16 "Medium"
"yuan-ti-nightmare-speaker" 14 71 16 14 13 14 12 16 "Medium"
"yuan-ti-pureblood" 11 40 11 12 11 13 12 14 "Medium"
"zariel" 21 580 27 24 28 26 27 30 "Large"
"zombie" 8 22 13 6 16 3 6 5 "Medium"
