"x" "y" "temperature" "year" "park"
"110" 518058.54 5032515.24 31.13 "2022" 0
"111" 516262.62 5037739.73 30.85 "2022" 0
"112" 515283.03 5029903 30.72 "2022" 0
"113" 511038.13 5031535.65 31.38 "2022" 0
"114" 512834.05 5035943.82 30.96 "2022" 1
"115" 510874.87 5032678.51 31.04 "2022" 0
"116" 510874.87 5033984.63 31.12 "2022" 0
"117" 517895.27 5034311.16 31.03 "2022" 0
"118" 515772.82 5032841.78 30.88 "2022" 1
"119" 511527.93 5035454.02 30.46 "2022" 0
"120" 511527.93 5036923.41 30.85 "2022" 0
"121" 518058.54 5037739.73 30.75 "2022" 0
"122" 515609.56 5036270.35 30.87 "2022" 0
"123" 511854.46 5033821.37 31.03 "2022" 0
"124" 516099.36 5031535.65 30.86 "2022" 0
"125" 517732.01 5036596.88 31.32 "2022" 0
"126" 512017.72 5031535.65 31.05 "2022" 0
"127" 514956.5 5030719.33 30.8 "2022" 0
"128" 513976.91 5037249.94 30.83 "2022" 0
