"Area" "Perimeter" "MajorAxisLength" "MinorAxisLength" "Eccentricity" "ConvexArea" "EquivDiameter" "Roundness" "Type"
55544.01 924.18 357.7 198.21 0.83 56204.99 265.94 0.81 "adzuki"
47148.99 857.69 300.28 200.32 0.74 48090.99 245.01 0.8 "black-eyed"
41486.99 815.9 299.06 177.08 0.82 42482.99 229.82 0.79 "black-eyed"
38253.01 754.51 292.32 167.56 0.81 38857 220.7 0.86 "cannellini"
57016.99 903.56 349.82 210.81 0.8 58127 269.42 0.87 "adzuki"
46277.98 846.32 300.65 196.46 0.75 47101.99 242.74 0.8 "black-eyed"
34232.01 744.32 296.97 148.17 0.85 34936 208.77 0.78 "cannellini"
55722.01 897.59 318.92 225.02 0.7 56735.99 266.34 0.87 "adzuki"
59386.99 930.81 361.39 210.65 0.82 59877 274.98 0.87 "adzuki"
35869.02 705.53 264.83 172.86 0.76 36264.99 213.71 0.92 "cannellini"
59338.01 940.69 352.19 215.78 0.81 59999.01 274.86 0.83 "adzuki"
37502.99 766.52 308.16 155.35 0.86 38069.99 218.49 0.79 "cannellini"
56834.01 910.1 341.58 212.38 0.79 57509 269.02 0.87 "adzuki"
53609 893.47 354.74 193.37 0.83 54084.99 261.26 0.83 "adzuki"
37775.99 727.3 283.09 170.47 0.8 38194 219.29 0.89 "cannellini"
54680 899.79 353.58 198.33 0.84 55370.01 263.86 0.86 "adzuki"
34413.99 707.74 276.47 160.52 0.82 34773 209.34 0.86 "cannellini"
55549 914.58 348.47 205.2 0.81 56517.02 265.94 0.85 "adzuki"
51015 859.26 327.87 198.5 0.79 51718 254.86 0.88 "black-eyed"
33263 719.32 271.34 158.57 0.81 34108 205.81 0.81 "cannellini"
38059.99 755.91 304.41 159.35 0.84 38479.99 220.14 0.83 "cannellini"
51106.99 886.65 317.36 206.24 0.77 51978.98 255.09 0.83 "black-eyed"
49966.98 878.74 313.39 203.34 0.75 50787.01 252.22 0.82 "black-eyed"
50978.02 881.56 323.1 201.1 0.78 51805 254.75 0.83 "black-eyed"
59041.01 931.52 359.78 211.33 0.81 60026 274.17 0.86 "adzuki"
50682.99 905.5 314.95 205.45 0.77 51613.01 254.04 0.78 "black-eyed"
51331.99 889.63 330.83 198.64 0.81 52283 255.64 0.81 "black-eyed"
48831.01 871.27 318.95 195.59 0.78 49662 249.33 0.81 "black-eyed"
50486.02 982.67 325.51 198.52 0.79 51525.02 253.53 0.65 "black-eyed"
57786 916.53 331.87 224.94 0.76 59196.02 271.25 0.87 "adzuki"
36584 731.8 293.15 159.44 0.83 37022.98 215.82 0.87 "cannellini"
37971.98 778.57 317.14 153.91 0.85 38615 219.88 0.78 "cannellini"
43122.01 838.19 296.42 185.65 0.77 44074 234.33 0.77 "black-eyed"
54076 893.99 342.74 203.26 0.81 55293.01 262.41 0.86 "adzuki"
58960.99 936.53 363.13 208.2 0.83 59575.99 273.98 0.84 "adzuki"
54343 867.59 303.84 228.01 0.67 54907 263.05 0.92 "adzuki"
34165 693.31 272.14 160.5 0.8 34437 208.56 0.88 "cannellini"
38294.02 771.07 306 160.39 0.86 38844 220.81 0.8 "cannellini"
50954.02 865.77 330.15 198.47 0.81 51704 254.71 0.85 "adzuki"
33517.99 702.95 277.55 154.3 0.82 34022.98 206.58 0.84 "cannellini"
33954 716.75 277.38 156.38 0.84 34419.99 207.92 0.82 "cannellini"
58102.01 907.68 334.8 223.86 0.74 58985.99 271.97 0.89 "adzuki"
38427 756.32 306.54 160.58 0.86 38773 221.2 0.83 "cannellini"
50166 893.85 313.04 204.67 0.75 51209 252.72 0.79 "black-eyed"
52448.02 882.47 336.93 199.03 0.81 53082 258.41 0.84 "adzuki"
56678.99 911.14 355.96 204.9 0.81 57531 268.63 0.85 "adzuki"
38531.99 775.77 316.72 155.32 0.87 39015.02 221.49 0.81 "cannellini"
57907.01 915.33 360.66 206.7 0.83 58998.99 271.54 0.88 "adzuki"
33556 689.28 264.64 161.7 0.8 33892 206.7 0.88 "cannellini"
36458 731.1 283.7 164.92 0.83 36978.99 215.46 0.85 "cannellini"
33407.02 706.23 281.54 152.74 0.83 33989 206.24 0.83 "cannellini"
38470 762.33 304.6 162.01 0.84 38914.01 221.32 0.83 "cannellini"
42011.99 809.8 266.7 202.37 0.66 43087 231.27 0.79 "black-eyed"
49316.98 886.91 310.56 202.46 0.76 50400.02 250.57 0.78 "black-eyed"
59039 930.33 349.8 217.03 0.79 60457.99 274.17 0.85 "adzuki"
46773.99 833.74 305.7 196.13 0.78 47446 244.04 0.84 "black-eyed"
49754.99 868.81 332.09 192.01 0.82 50782.99 251.69 0.83 "black-eyed"
57390.98 921.48 362.56 203.71 0.8 58762.99 270.33 0.85 "adzuki"
47883 873.52 328 186.52 0.81 48753 246.93 0.79 "black-eyed"
47143.01 858.56 296.83 203.06 0.74 47996 244.99 0.79 "black-eyed"
45666 789.77 274.84 211.89 0.64 46074 241.14 0.92 "adzuki"
50575.02 858.55 314.34 205.47 0.75 51389.01 253.77 0.87 "black-eyed"
48637.99 874.05 301.98 205.42 0.73 49596 248.84 0.79 "black-eyed"
37089 759.47 304.38 156.34 0.87 37536.99 217.3 0.83 "cannellini"
35512 740.65 294.18 154.58 0.85 35977.99 212.63 0.82 "cannellini"
36499.98 742.99 295.81 158.52 0.85 37093 215.57 0.83 "cannellini"
47980.99 809.09 291.65 210.04 0.68 48450.99 247.18 0.91 "black-eyed"
50035 846.48 279.44 228.68 0.57 50801.99 252.4 0.88 "black-eyed"
54136.99 905.43 356.39 195.44 0.81 54769.01 262.54 0.84 "adzuki"
34196 690.13 264.93 165.79 0.78 34639 208.68 0.89 "cannellini"
36718.01 727.67 271.17 172.8 0.78 37285 216.22 0.89 "cannellini"
34377 736.46 298.06 148.89 0.87 34990 209.23 0.81 "cannellini"
