"tempo" "tipo" "nazione"
"295" 83 "no guida" "Jap"
"296" 63 "no guida" "Jap"
"297" 131 "no guida" "Jap"
"298" 115 "no guida" "Jap"
"299" 129 "no guida" "Jap"
"300" 132 "no guida" "Jap"
"301" 127 "no guida" "EU"
"302" 132 "no guida" "EU"
"303" 93 "no guida" "EU"
"304" 118 "no guida" "EU"
"305" 150 "no guida" "EU"
"306" 123 "no guida" "EU"
"307" 141 "no guida" "EU"
"308" 131 "no guida" "EU"
"309" 105 "no guida" "EU"
"310" 138 "no guida" "EU"
"311" 167 "no guida" "EU"
"312" 123 "no guida" "EU"
"313" 116 "no guida" "EU"
"314" 114 "no guida" "EU"
"315" 115 "no guida" "EU"
"316" 102 "no guida" "EU"
"317" 109 "no guida" "EU"
"318" 108 "no guida" "EU"
"319" 100 "no guida" "EU"
"320" 114 "no guida" "EU"
"321" 80 "no guida" "USA"
"322" 83 "no guida" "USA"
"323" 101 "no guida" "USA"
"324" 158 "no guida" "USA"
"325" 145 "no guida" "USA"
"326" 106 "no guida" "USA"
"327" 151 "no guida" "USA"
"328" 148 "no guida" "USA"
"329" 207 "no guida" "USA"
"330" 89 "no guida" "USA"
"331" 110 "no guida" "USA"
"332" 162 "no guida" "USA"
"333" 135 "no guida" "USA"
"334" 167 "no guida" "USA"
"335" 155 "no guida" "USA"
"336" 114 "no guida" "USA"
"337" 114 "no guida" "USA"
"338" 122 "no guida" "USA"
"339" 153 "no guida" "USA"
"340" 74 "no guida" "USA"
"341" 110 "no guida" "Jap"
"342" 116 "no guida" "Jap"
"343" 122 "no guida" "Jap"
"344" 150 "no guida" "Jap"
"345" 65 "no guida" "Jap"
"346" 112 "no guida" "Jap"
"347" 111 "no guida" "Jap"
"348" 121 "no guida" "Jap"
"349" 103 "no guida" "Jap"
"350" 153 "no guida" "Jap"
"351" 142 "no guida" "Jap"
"352" 97 "no guida" "Jap"
"353" 158 "no guida" "Jap"
"354" 90 "no guida" "Jap"
"355" 108 "no guida" "Jap"
"356" 107 "no guida" "Jap"
"357" 122 "no guida" "Jap"
"358" 147 "no guida" "Jap"
"359" 87 "no guida" "Jap"
"360" 113 "no guida" "Jap"
