"points" "price" "alcohol" "region"
87.149 19.06 11.568 "EmiliaRomagna"
85.322 25.344 11.815 "Molise"
89.991 40.009 10.078 "Campania"
86.301 42.124 13.242 "Veneto"
93.632 72.505 10.146 "Lombardia"
90.694 42.165 11.957 "Umbria"
86.572 16.537 11.274 "Sardegna"
91.32 60.391 11.927 "EmiliaRomagna"
87.974 28.124 10.235 "EmiliaRomagna"
91.107 50.825 11.133 "FriuliVeneziaGiulia"
91.665 51.581 11.828 "EmiliaRomagna"
87.978 19.626 13.53 "Toscana"
86.556 25.471 11.901 "FriuliVeneziaGiulia"
89.681 33.86 11.389 "FriuliVeneziaGiulia"
88.064 11.505 11.9 "Lombardia"
89.712 34.015 12.88 "Piemonte"
89.439 29.253 11.589 "ValledAosta"
87.975 30.147 12.046 "ValledAosta"
89.707 37.976 13.079 "Campania"
86.078 19.417 12.976 "Molise"
90.015 50.14 10.502 "Liguria"
94.835 74.608 11.246 "Umbria"
87.066 28.027 13.322 "Lombardia"
91.34 24.575 12.843 "Piemonte"
86.945 18.467 13.412 "Calabria"
85.726 6.449 10.76 "Marche"
87.832 63.164 12 "Sicilia"
89.204 26.908 11.196 "Lazio"
90.299 54.923 12.027 "Sardegna"
88.914 26.57 12.134 "FriuliVeneziaGiulia"
88.516 29.222 9.252 "Veneto"
88.946 19.283 13.452 "Molise"
95.971 89.113 12.345 "Lombardia"
91.105 28.561 10.208 "Lombardia"
88.559 9.532 12.598 "Lazio"
88.327 16.593 12.367 "Lombardia"
87.001 31.103 12.129 "TrentinoAltoAdige"
87.856 23.542 11.921 "Sicilia"
84.253 13.722 12.545 "TrentinoAltoAdige"
83.563 15.116 11.603 "Puglia"
90.51 58.79 9.437 "Puglia"
85.047 23.719 11.058 "Toscana"
85.376 14.879 11.632 "Puglia"
92.091 62.804 12.507 "Sardegna"
90.678 64.045 11.742 "Molise"
86.31 10.765 12.346 "FriuliVeneziaGiulia"
89.389 15.16 12.615 "Veneto"
90.24 98.085 12.46 "Calabria"
85.538 35.623 12.643 "Campania"
91.151 30.563 11.522 "Lombardia"
88.612 22.793 12.516 "Piemonte"
87.933 67.855 10.836 "Marche"
84.015 11.535 12.644 "Molise"
88.237 38.101 11.87 "Sicilia"
89.963 78.079 11.209 "Sardegna"
89.806 38.425 10.98 "Liguria"
89.075 28.537 12.434 "Toscana"
88.919 43.157 10.717 "Liguria"
84.887 11.416 9.759 "ValledAosta"
89.805 43.035 10.836 "Lombardia"
85.841 34.845 9.88 "Marche"
90.705 61.753 14.149 "Toscana"
88.426 52.547 12.049 "Veneto"
90.531 144.872 13.639 "Marche"
88.628 31.674 11.857 "Sicilia"
93.078 119.573 11.646 "Marche"
88.896 41.812 9.911 "Campania"
86.818 31.033 12.946 "Marche"
88.41 24.284 12.184 "Toscana"
86.852 10.57 10.825 "Abruzzo"
90.152 73.811 11.743 "Campania"
85.823 27.054 10.099 "Sicilia"
87.504 30.823 11.311 "Liguria"
89.759 33.131 10.324 "Liguria"
87.99 21.475 11.724 "FriuliVeneziaGiulia"
86.252 24.517 11.846 "Umbria"
89.977 26.352 10.781 "ValledAosta"
90.683 31.27 9.953 "Lombardia"
89.677 92.751 11.825 "FriuliVeneziaGiulia"
88.508 33.33 11.154 "Lazio"
86.618 16.874 14.9 "EmiliaRomagna"
90.54 92.692 11.418 "Sicilia"
89.324 132.562 10.55 "Calabria"
87.353 20.152 12.374 "Abruzzo"
87.128 17.171 9.798 "TrentinoAltoAdige"
84.881 9.853 8.846 "FriuliVeneziaGiulia"
87.614 50.267 9.78 "Puglia"
86.349 52.006 11.807 "ValledAosta"
87.123 22.918 11.719 "Lazio"
86.67 19.284 11.851 "Piemonte"
87.625 24.232 12.703 "Lombardia"
90.34 42.576 11.548 "TrentinoAltoAdige"
88.361 35.771 11.211 "FriuliVeneziaGiulia"
90.385 100.998 10.633 "ValledAosta"
88.018 24.218 8.968 "Abruzzo"
89.521 60.019 14.618 "Sardegna"
89.398 38.037 11.646 "EmiliaRomagna"
90.389 41.491 9.686 "Liguria"
90.797 38.526 13.078 "Veneto"
89.724 39.906 9.427 "Piemonte"
88.974 30.11 11.455 "Veneto"
86.674 7.984 9.618 "Veneto"
85.012 14.976 11.32 "Marche"
86.55 17.922 11.272 "Abruzzo"
92.23 60.383 11.865 "EmiliaRomagna"
90.427 41.62 12.002 "EmiliaRomagna"
86.796 23.887 11.95 "Calabria"
92.529 47.996 11.995 "ValledAosta"
85.661 22.284 11.956 "EmiliaRomagna"
88.247 24.83 10.742 "Piemonte"
91.175 51.527 12.972 "Veneto"
89.062 46.898 11.628 "Abruzzo"
89.17 36.736 12.444 "Toscana"
93.517 134.737 11.702 "Liguria"
92.271 89.007 10.837 "Lombardia"
87.718 27.108 12.224 "Lombardia"
87.45 30.994 11.966 "Liguria"
90.662 92.013 11.721 "Campania"
90.064 38.737 10.811 "Calabria"
87.384 21.858 12.514 "ValledAosta"
90.539 80.324 11.9 "Liguria"
88.584 53.749 10.571 "Marche"
85.626 13.821 11.973 "Puglia"
87.431 22.701 11.76 "Molise"
90.181 41.154 12.685 "Lazio"
87.682 16.95 13.036 "Calabria"
91.506 20.723 12.02 "TrentinoAltoAdige"
86.845 16.404 11.352 "Umbria"
86.478 36.166 10.426 "Liguria"
89.557 46.292 11.766 "Abruzzo"
90.153 34.116 11.133 "Umbria"
90.484 64.677 13.377 "Sardegna"
92.453 127.59 13.331 "Lazio"
89.597 38.433 14.399 "Liguria"
85.936 9.954 12.097 "Liguria"
86.819 25.478 14.355 "Molise"
87.895 40.687 11.54 "Puglia"
88.239 45.017 10.345 "Sicilia"
91.285 55.378 13.762 "Veneto"
87.589 40.925 9.359 "Toscana"
87.788 37.881 13.629 "Sardegna"
89.052 21.953 11.203 "Veneto"
89.589 48.094 9.142 "Sardegna"
87.282 20.128 12.338 "Lombardia"
85.369 40.563 10.517 "Puglia"
91.104 94.363 12.057 "Marche"
88.341 48.755 10.749 "Sicilia"
88.471 15.629 10.399 "Basilicata"
85.932 11.21 13.62 "Campania"
92.172 109.8 12.03 "Abruzzo"
83.367 17.247 11.943 "Sicilia"
92.966 119.967 12.078 "Campania"
88.1 37.709 11.162 "Marche"
88.734 37.948 11.873 "ValledAosta"
86.049 9.353 10.16 "Veneto"
85.571 8.553 13.669 "Lombardia"
88.079 32.456 12.179 "Calabria"
86.949 14.864 11.484 "Campania"
88.394 42.623 13.002 "Marche"
88.681 37.126 13.301 "Basilicata"
91.692 77.642 10.278 "EmiliaRomagna"
86.565 18.253 9.581 "Molise"
90.563 54.216 11.432 "Sardegna"
89.586 45.722 10.924 "Molise"
87.752 13.013 11.299 "Toscana"
91.383 84.485 12.147 "FriuliVeneziaGiulia"
88.745 14.736 11.159 "Lazio"
86.666 23.363 13.212 "Campania"
87.149 36.381 10.005 "FriuliVeneziaGiulia"
89.333 91.664 12.85 "Lombardia"
87.591 14.335 11.076 "Toscana"
89.069 22.844 12.258 "Umbria"
87.568 11.447 14.172 "Lazio"
90.079 94.669 11.662 "Puglia"
86.07 21.677 10.625 "TrentinoAltoAdige"
87.512 35.996 13.84 "Calabria"
84.398 46.22 12.182 "Campania"
87.04 77.964 12.747 "Sicilia"
93.775 154.828 12.666 "Toscana"
88.535 31.315 10.044 "Basilicata"
83.854 10.473 10.181 "ValledAosta"
89.07 111.57 12.56 "EmiliaRomagna"
84.316 3.698 11.033 "ValledAosta"
87.849 11.537 13.119 "Lazio"
89.618 51.739 10.617 "FriuliVeneziaGiulia"
88.28 31.197 12.075 "Campania"
91.35 82.418 12.55 "Calabria"
86.919 16.304 11.928 "Veneto"
89.139 39.01 13.19 "Liguria"
86.471 10.189 11.198 "ValledAosta"
87.891 40.537 13.133 "Umbria"
89.769 35.649 14.063 "Lombardia"
92.464 59.504 12.025 "Umbria"
90.371 31.613 11.625 "Lazio"
85.603 19.543 12.063 "Marche"
88.365 28.57 9.23 "Piemonte"
87.277 15.706 12.818 "Molise"
91.568 43.838 13.362 "Molise"
88.171 54.206 11.628 "Molise"
83.937 17.527 10.475 "Marche"
91.083 30.217 11.6 "Piemonte"
90.072 63.932 11.467 "Abruzzo"
86.403 17.524 13.058 "Piemonte"
85.501 19.889 12.083 "Liguria"
87.059 40.888 10.781 "Puglia"
90.43 29.739 11.462 "Calabria"
88.543 39.761 9.678 "Sardegna"
87.134 12.916 13.477 "Abruzzo"
89.39 14.982 10.866 "ValledAosta"
88.521 28.275 11.231 "Puglia"
90.435 59.791 11.581 "Liguria"
86.207 46.885 12.396 "Calabria"
92.68 115.485 12.948 "Piemonte"
86.204 15.764 12.087 "Molise"
84.908 25.409 9.059 "Puglia"
86.396 12.439 11.819 "ValledAosta"
88.123 19.562 11.869 "Lazio"
85.154 11.337 11.527 "TrentinoAltoAdige"
87.003 21.228 12.653 "Toscana"
87.429 65.379 10.64 "Puglia"
92.678 79.798 12.408 "Calabria"
88.43 47.05 12.139 "ValledAosta"
89.219 29.995 14.098 "Marche"
85.446 35.824 14.417 "FriuliVeneziaGiulia"
93.136 98.161 13.355 "Molise"
86.753 29.22 11.406 "EmiliaRomagna"
87.505 32.748 10.567 "Toscana"
90.385 25.049 12.832 "Liguria"
86.998 13.406 12.306 "Umbria"
86.589 33.237 11.875 "Puglia"
91.703 24.05 10.843 "Basilicata"
85.808 11.556 12.218 "Lombardia"
86.726 10.788 10.574 "Basilicata"
88.745 29.034 11.536 "Campania"
85.654 8.523 11.768 "Marche"
89.427 29.966 12.665 "Lombardia"
88.729 10.973 9.722 "Toscana"
91.991 110.837 10.841 "Marche"
86.694 23.527 12.432 "FriuliVeneziaGiulia"
85.906 32.636 11.638 "Sicilia"
90.153 73.158 11.334 "Liguria"
84.535 18.346 11.987 "Toscana"
85.118 24.208 10.901 "TrentinoAltoAdige"
89.259 16.422 11.912 "Piemonte"
90.152 14.342 11.492 "Lazio"
90.3 46.754 13.553 "ValledAosta"
90.329 77.992 10.742 "TrentinoAltoAdige"
87.828 21.229 11.975 "TrentinoAltoAdige"
90.25 61.201 11.683 "Sardegna"
87.644 42.986 10.869 "Umbria"
86.737 36.874 11.907 "Sardegna"
86.71 24.544 9.239 "Liguria"
87.355 23.024 14.326 "Puglia"
91.592 49.901 11.851 "Veneto"
90.731 35.831 10.702 "Liguria"
85.487 11.849 13.157 "Lazio"
91.467 60.868 12.83 "Lombardia"
85.752 25.779 12.735 "Sardegna"
89.834 39.834 11.976 "EmiliaRomagna"
90.749 49.094 13.151 "Toscana"
90.064 36.084 11.631 "ValledAosta"
90.401 29.754 12.649 "Umbria"
92.93 74.952 9.648 "Liguria"
86.208 8.253 14.019 "Piemonte"
89.169 19.093 11.963 "EmiliaRomagna"
88.976 24.324 10.782 "Liguria"
86.156 20.038 12.926 "FriuliVeneziaGiulia"
90.491 48.736 11.475 "Piemonte"
85.731 22.526 12.998 "EmiliaRomagna"
88.916 30.643 14.1 "Toscana"
87.14 24.332 11.878 "EmiliaRomagna"
87.732 27.345 11.783 "Campania"
93.508 83.244 13.633 "Molise"
89.903 56.139 12.194 "ValledAosta"
86.971 9.658 12.019 "Liguria"
91.755 107.575 12.792 "Veneto"
87.711 27.966 11.814 "Marche"
88.302 20.852 11.779 "Molise"
86.242 10.845 10.748 "Toscana"
87.224 13.293 13.415 "ValledAosta"
92.045 88.104 11.094 "Basilicata"
92.958 106.733 14.138 "Liguria"
90.013 17.033 12.539 "Basilicata"
89.143 35.016 12.199 "Campania"
86.866 36.287 12.35 "Liguria"
85.617 17.517 10.306 "Puglia"
85.216 21.78 12.501 "Sicilia"
88.805 22.855 12.17 "Abruzzo"
89.974 31.268 11.123 "Piemonte"
90.398 37.249 12.226 "Lazio"
90.447 23.777 10.975 "Calabria"
89.466 41.688 12.402 "Abruzzo"
87.643 34.229 11.85 "Campania"
87.824 19.336 12.76 "Molise"
89.994 47.39 11.695 "Sardegna"
88.991 68.543 12.905 "Umbria"
90.405 69.437 13.005 "Abruzzo"
87.877 25.98 10.957 "Liguria"
88.246 18.883 11.982 "Abruzzo"
87.11 10.709 10.259 "Veneto"
85.761 11.731 11.322 "Calabria"
88.289 39.108 13.178 "Calabria"
88.98 35.226 12.2 "Calabria"
88.466 19.422 11.36 "Sardegna"
93.285 160.437 12.545 "Lombardia"
84.337 21.184 12.769 "Sicilia"
86.211 16.916 12.189 "Calabria"
88.227 56.013 12.722 "Puglia"
91.778 75.122 10.624 "Calabria"
86.351 14.873 12.306 "Sardegna"
87.353 17.761 12.344 "Campania"
87.992 12.031 11.525 "Lombardia"
89.946 36.849 14.787 "Molise"
88.384 28.171 10.567 "Abruzzo"
85.361 25.804 12.371 "Calabria"
86.02 12.386 10.276 "Sardegna"
86.239 12.273 12.991 "Puglia"
89.05 74.489 11.082 "Marche"
86.08 25.437 13.247 "Campania"
88.048 28.772 11.523 "FriuliVeneziaGiulia"
88.149 40.725 14.022 "Liguria"
88.936 27.625 9.842 "ValledAosta"
91.839 101.35 12.224 "Liguria"
92.009 50.573 10.346 "Molise"
87.415 37.076 11.193 "Marche"
89.391 23.415 13.395 "Lazio"
87.602 45.36 12.19 "Calabria"
87.69 39.636 12.249 "Sicilia"
84.007 8.301 12.322 "Basilicata"
87.134 30.601 9.952 "Marche"
87.231 43.614 10.2 "Umbria"
88.24 28.924 10.767 "Calabria"
89.881 45.326 12 "ValledAosta"
90.246 49.106 10.738 "Piemonte"
87.376 19.097 13.949 "Sardegna"
91.766 68.178 11.116 "Campania"
88.692 43.474 10.899 "Toscana"
88.153 51.38 13.395 "Campania"
90.23 46.298 12.514 "Piemonte"
89.12 38.142 10.865 "ValledAosta"
88.396 23.144 11.477 "EmiliaRomagna"
90.759 112.588 11.058 "Veneto"
88.79 19.322 10.717 "Calabria"
89.759 15.103 12.448 "FriuliVeneziaGiulia"
94.084 122.905 13.312 "Veneto"
90.092 58.319 12.123 "Toscana"
85.981 15.801 12.696 "Piemonte"
89.214 73.302 11.151 "EmiliaRomagna"
92.624 47.286 11.066 "Piemonte"
87.722 31.446 10.244 "Calabria"
91.192 46.052 13.058 "Piemonte"
86.792 23.54 10.9 "Abruzzo"
86.74 22.483 12.083 "FriuliVeneziaGiulia"
88.103 36.351 12.343 "Campania"
89.661 27.688 13.788 "TrentinoAltoAdige"
95.081 81.385 12.881 "Lombardia"
89.4 15.945 11.447 "Molise"
91.342 46.607 12.361 "Molise"
84.669 22.307 11.011 "Sicilia"
81.614 7.234 10.334 "Lazio"
89.615 62.303 12.69 "Veneto"
90.555 47.839 10.303 "TrentinoAltoAdige"
90.234 26.196 11.875 "Lombardia"
