"accel" "gyro" "activity"
0.32 0.28 "sitting"
0.3 0.31 "sitting"
0.39 0.38 "sitting"
0.3 0.26 "sitting"
0.31 0.28 "sitting"
0.38 0.37 "sitting"
0.29 0.19 "sitting"
0.41 0.39 "sitting"
0.32 0.28 "sitting"
0.35 0.34 "sitting"
0.41 0.42 "sitting"
0.34 0.34 "sitting"
0.4 0.33 "sitting"
0.33 0.25 "sitting"
0.36 0.32 "sitting"
0.32 0.29 "sitting"
0.34 0.25 "sitting"
0.33 0.28 "sitting"
0.34 0.34 "sitting"
0.37 0.34 "sitting"
0.37 0.32 "sitting"
0.31 0.35 "sitting"
0.35 0.32 "sitting"
0.38 0.38 "sitting"
0.39 0.39 "sitting"
0.36 0.32 "sitting"
0.37 0.37 "sitting"
0.32 0.28 "sitting"
0.26 0.2 "laying"
0.1 0.14 "laying"
0.21 0.14 "laying"
0.35 0.27 "laying"
0.15 0.17 "laying"
0.17 0.14 "laying"
0.26 0.17 "laying"
0.09 0.07 "laying"
0.35 0.21 "laying"
0.13 0.08 "laying"
0.31 0.2 "laying"
0.14 0.12 "laying"
0.31 0.27 "laying"
0.14 0.1 "laying"
0.29 0.15 "laying"
0.36 0.26 "laying"
0.09 0.12 "laying"
0.06 0.02 "laying"
0.23 0.15 "laying"
0.25 0.22 "laying"
0.22 0.12 "laying"
0.21 0.12 "laying"
0.18 0.08 "laying"
0.21 0.15 "laying"
0.16 0.13 "laying"
0.15 0.09 "laying"
0.21 0.17 "laying"
0.21 0.15 "laying"
0.29 0.16 "laying"
0.22 0.18 "laying"
0.13 0.14 "laying"
0.15 0.07 "laying"
0.06 0.05 "laying"
0.09 0.04 "laying"
0.32 0.13 "laying"
0.31 0.21 "laying"
0.13 0.09 "laying"
0.19 0.15 "laying"
0.21 0.19 "laying"
0.14 0.01 "laying"
0.16 0.04 "laying"
0.28 0.14 "laying"
0.11 0.08 "laying"
0.22 0.06 "laying"
0.21 0.1 "laying"
0.23 0.19 "laying"
0.3 0.26 "laying"
0.21 0.11 "laying"
0.39 0.2 "laying"
0.31 0.23 "laying"
0.29 0.25 "laying"
0.17 0.07 "laying"
0.17 0.11 "laying"
0.22 0.11 "laying"
0.24 0.1 "laying"
0.4 0.29 "laying"
0.18 0.14 "laying"
0.16 0.07 "laying"
0 0.06 "laying"
0.26 0.24 "laying"
0.04 0.05 "laying"
0.3 0.2 "laying"
0.21 0.12 "laying"
0.23 0.14 "laying"
0.21 0.12 "laying"
0.34 0.25 "laying"
0.32 0.17 "laying"
0.18 0.12 "laying"
0.32 0.18 "laying"
0.24 0.17 "laying"
0.27 0.16 "laying"
0.39 0.17 "laying"
0.1 0.11 "laying"
0.36 0.21 "laying"
0.25 0.2 "laying"
0.21 0.15 "laying"
0.32 0.19 "laying"
0.17 0.15 "laying"
0.09 0.03 "laying"
0.18 0.08 "laying"
0.26 0.16 "laying"
0.2 0.22 "laying"
0.25 0.23 "laying"
0.2 0.13 "laying"
0.27 0.22 "laying"
0.41 0.18 "laying"
0.23 0.21 "laying"
0.24 0.15 "laying"
0.1 0.09 "laying"
0.2 0.14 "laying"
0.34 0.17 "laying"
0.1 0.13 "laying"
0.2 0.13 "laying"
0.2 0 "laying"
0.17 0.12 "laying"
0.26 0.15 "laying"
0.15 0.14 "laying"
0.22 0.16 "laying"
0.3 0.15 "laying"
0.08 0.03 "laying"
0.1 0.04 "laying"
0.26 0.25 "laying"
0.23 0.19 "laying"
0.12 0.1 "laying"
0.26 0.15 "laying"
0.3 0.22 "laying"
0.15 0.08 "laying"
0.41 0.21 "laying"
0.22 0.15 "laying"
0.15 0.08 "laying"
0.15 0.17 "laying"
0.15 0.16 "laying"
0.36 0.26 "laying"
0.19 0.11 "laying"
0.13 0.11 "laying"
0.2 0.15 "laying"
0.18 0.17 "laying"
0.3 0.24 "laying"
0.41 0.23 "laying"
0.17 0.13 "laying"
0.09 0.1 "laying"
0.19 0.16 "laying"
0.16 0.06 "laying"
0.19 0.07 "laying"
0.24 0.07 "laying"
0.22 0.17 "laying"
0.13 0.18 "laying"
0.13 0.09 "laying"
0.22 0.13 "laying"
0.14 0.14 "laying"
0.19 0.16 "laying"
0.15 0.08 "laying"
0.23 0.18 "laying"
0.24 0.15 "laying"
0.1 0.17 "laying"
0.19 0.1 "laying"
0.21 0.16 "laying"
0.11 0.14 "laying"
0.27 0.23 "laying"
0.28 0.15 "laying"
0.15 0.08 "laying"
0.21 0.19 "laying"
0.39 0.26 "laying"
0.09 0.14 "laying"
0.32 0.22 "laying"
0.18 0.18 "laying"
0.29 0.21 "laying"
0.21 0.19 "laying"
0.23 0.15 "laying"
0.36 0.24 "laying"
