"M.out" "F.out" "M.ret" "F.ret"
"couple77" 15.43 21.23 17.3 20.17
"couple78" 14.01 14.79 16.85 20.11
"couple79" 13.72 20.43 17.08 21.79
"couple80" 13.03 18.03 15.24 23.28
"couple81" 13.96 15.3 17.76 19.42
"couple82" 16.44 18.24 20.07 20.46
"couple83" 13.04 18.43 16.29 21.35
"couple84" 11.63 17.84 15.94 20.36
"couple85" 14.4 18.31 17.86 20.12
"couple86" 17.9 20.02 17.65 20.88
"couple87" 17.42 21.12 18.68 23.15
"couple88" 13.12 17.51 16.25 20.52
"couple89" 15.78 17.38 20.48 21.03
"couple90" 14.6 18.59 15.92 18.39
"couple91" 14.63 18.85 16.6 22.25
"couple92" 15.44 19.07 17.8 18.91
"couple93" 14.8 17.88 18.46 17.66
"couple94" 14.22 18.65 16.41 20.4
"couple95" 15.22 18.74 20.13 22.85
"couple96" 16 20.93 18.04 19.78
"couple97" 16.48 21.97 17.25 21.18
"couple98" 14.12 18.03 17.57 20.58
"couple99" 15.14 18.61 19.19 21.28
"couple100" 16.76 18.93 16.49 18.7
"couple101" 16.15 13.99 19.61 22.57
"couple102" 12.98 18.15 19.78 21.1
"couple103" 13.89 18.92 16.82 23.96
"couple104" 13.18 19.64 16.61 20.87
"couple105" 16.8 19.26 18.14 19.38
"couple106" 15.18 17.51 17.37 20.08
"couple107" 15.37 19.21 18.21 22.4
"couple108" 11.03 18.81 16.59 22.59
"couple109" 13.55 19.39 16.45 24.08
"couple110" 16.43 20.84 17.14 22.49
"couple111" 16.65 17.65 16.08 19.13
"couple112" 11.79 18 15.6 20.95
"couple113" 14.61 19.46 16.45 20.37
"couple114" 13.03 16.76 15.81 20.69
"couple115" 15.62 19.14 16.48 22.35
"couple116" 12.68 15.15 17.19 21.71
"couple117" 15.14 18.67 16.77 20.21
"couple118" 17.72 22.14 16.85 23.09
"couple119" 16.72 19.52 16.01 17.87
"couple120" 16.27 16.31 17.84 19.06
"couple121" 14.5 19.09 16.44 20.53
"couple122" 13.44 17.96 17.12 20.75
"couple123" 15.51 16.78 16.06 18.84
"couple124" 14.27 15.13 18.8 21.2
"couple125" 14.42 19.03 16.67 19.61
"couple126" 16.09 19.11 17.75 19.56
"couple127" 13.1 19.83 16.84 21.28
"couple128" 15.01 17.01 16.54 20.73
"couple129" 13.26 17.7 15.97 20.09
"couple130" 13.46 16.89 19.37 20.25
"couple131" 14.4 19.67 15.09 21.18
"couple132" 10.75 22.21 17.28 22.92
"couple133" 15.2 17.6 16.41 20.89
"couple134" 16 19.19 16.94 21.77
"couple135" 14.04 18.83 16.73 22.37
"couple136" 15.02 20.83 18.48 22.3
"couple137" 14.45 19.57 15.91 20.91
"couple138" 15.01 18.36 16.36 22.07
"couple139" 14.16 19.36 17.36 20.83
"couple140" 13.08 17.11 16.59 17.96
"couple141" 15.81 19.45 15.76 21.23
"couple142" 16.33 18.71 18.6 19.31
"couple143" 16.76 19.81 18.04 21.6
"couple144" 13.05 21.33 14.56 24.09
"couple145" 13.95 17.51 15.79 20.98
"couple146" 15.49 18.86 18.27 17.38
"couple147" 11.96 17.01 18.43 24.25
"couple148" 16.92 17.6 16.98 20.36
"couple149" 13.74 18.38 16.51 23.06
"couple150" 14.16 17.53 19.24 21.2
"couple151" 13.27 18.31 18.97 22.7
"couple152" 14.2 20.02 13.49 19.92
"couple153" 16.07 18.88 18.01 19.8
"couple154" 16.29 21.13 15.66 20.62
"couple155" 15.53 19.58 20.01 19.66
"couple156" 14.24 16.93 15.33 19.26
"couple157" 14.76 19.19 18.43 20.42
"couple158" 13.34 17.72 20.25 23.59
"couple159" 12.33 20.95 17.27 22.83
"couple160" 16.88 17.72 14.98 17.95
"couple161" 12.98 18.5 18.43 23.6
"couple162" 14.07 19.03 17.44 22.41
"couple163" 15.22 20.75 17.85 22.88
"couple164" 14.41 19 14.26 19.33
"couple165" 14.99 18.63 17.98 19.83
"couple166" 14.61 14.94 16.16 20.65
"couple167" 15.12 17.28 17.76 19.51
"couple168" 14.7 18.5 18.2 22.69
"couple169" 11.79 17.63 15.13 22.21
"couple170" 15.21 18.89 16.78 19.17
"couple171" 16.96 22.16 16.2 21.55
"couple172" 13.6 17.83 16.77 19.94
"couple173" 15.72 22.53 17.65 23.12
"couple174" 15.44 17.2 16.32 20.16
"couple175" 14.7 14.9 19.79 19.86
"couple176" 13.94 17.71 18.68 24.95
"couple177" 12.8 18.67 17.86 19.78
"couple178" 13.27 17.46 17.53 20.62
"couple179" 14.38 20.87 16.84 20.95
"couple180" 16.17 21.88 13.46 21.59
"couple181" 12.75 17.49 15.97 22.48
"couple182" 12.1 19.62 15.65 20.91
"couple183" 15.94 17.71 18.73 22.53
"couple184" 12.84 16.4 17.87 24.53
"couple185" 13.73 22.86 12.38 19.72
"couple186" 14 19.21 17.92 22.81
"couple187" 16.36 19.03 19.34 20.16
"couple188" 15.64 19.52 16.56 20.76
"couple189" 13.06 19.83 16.13 20.12
"couple190" 14.15 18.39 15.02 20.89
"couple191" 15.73 19.04 16.21 17.86
"couple192" 13.78 16.98 16.3 21.59
"couple193" 13.35 19.02 17.43 22.12
"couple194" 16.46 19.47 15.93 20.55
"couple195" 13.89 18.74 17.62 22.38
"couple196" 14.92 18.9 18.66 19.5
"couple197" 12.07 20.43 16.19 20.12
"couple198" 14.55 19.59 17.71 22.93
"couple199" 16.59 19.84 18.66 20.36
"couple200" 15.27 18.95 16.59 22.45
"couple201" 14.08 20.85 15.2 19.66
"couple202" 14.78 17.25 19.19 21.26
"couple203" 13.1 18.12 19.43 23.23
"couple204" 13.17 19.72 16.54 17.44
"couple205" 15.13 17.63 15.95 21.04
"couple206" 13.5 19.34 17.62 24.98
"couple207" 14.26 20.97 17.7 22.01
"couple208" 13.83 16.09 19.08 21.23
"couple209" 14.02 19.08 16.9 20.91
"couple210" 13.23 19.93 18.43 23.63
"couple211" 12.43 18.39 19.52 22.18
"couple212" 12.67 18.93 18.87 20.93
"couple213" 17.15 21.21 18.22 19.49
"couple214" 15.78 19.17 16.81 19.9
"couple215" 14.59 18.39 16.98 18.93
"couple216" 13.99 17.23 16.96 20.69
"couple217" 15.15 20.04 16.52 20
"couple218" 13.62 17.93 16.21 21.6
"couple219" 13.87 19.88 14.72 21.09
"couple220" 13.77 18.92 14.43 21.4
"couple221" 14.76 19.57 17.56 20.63
"couple222" 13.75 19.82 17.05 22.7
"couple223" 17.13 18.4 16.68 22.33
"couple224" 14.62 20.47 16.47 20.17
"couple225" 14.89 17.94 17.16 20.76
"couple226" 16.29 20.04 16.97 21.12
"couple227" 14.11 20.75 17.72 24.58
"couple228" 15.11 21.66 15.85 24.2
"couple229" 13.09 19.61 17.79 20.09
"couple230" 15.64 16.54 18.01 21.28
"couple231" 15.91 19.04 16.85 19.84
"couple232" 13.35 20.96 17.61 23.66
