"google" "apple" "gain"
"148" 1.39 0.601 1
"149" 1.77 -0.385 1
"150" 3.13 -0.611 0
"151" -7.06 -1.055 0
"152" 7.22 -2.82 1
"153" -3.44 -3.746 0
"154" 12.01 0.749 1
"155" -3.14 0.248 0
"156" -5.76 0.386 0
"157" -1.25 4.16 0
"158" 27.16 -6.17 0
"159" 1.17 1.733 1
"160" -4.96 -0.089 0
"161" 2.86 0.802 1
"162" 4.74 1.188 0
"163" -5.38 -0.654 1
"164" 5.31 -1.476 1
"165" -14.56 -2.337 0
"166" -35.45 -6.824 0
"167" -25.92 -2.615 0
"168" -5.64 0.614 1
"169" 47.27 5.893 1
"170" 8.22 3.199 1
"171" -8.27 0.366 1
"172" -11.87 -0.525 0
"173" -18.26 -4.991 0
"174" 15.35 4.575 1
"175" -7.86 -1.951 0
"176" -8.09 -1.089 1
"178" 14.92 3.011 1
"179" -0.47 -2.139 1
"180" 7.67 2.397 1
"181" 4.22 1.624 1
"182" -2.83 1.089 1
"183" 12.6 0.961 1
"184" 0.45 0.129 1
"185" 6.15 -2.466 1
"186" -10.75 -0.465 1
"187" 6.06 1.743 1
"188" -13.78 -1.793 0
"189" 0.09 0.911 1
"190" 1.62 0.673 1
"191" -14.76 -0.287 0
"192" -15.9 -2.248 0
"193" -1.64 -3.347 0
"194" 15.76 1.228 1
"195" 3.63 -0.713 1
"196" 14.99 0.792 1
"197" 14.69 0.396 1
"198" -0.04 0.525 0
"199" -1.64 -0.525 0
"200" -3 -1.268 1
"201" 4.24 2.595 1
"202" 5.19 -0.515 1
"203" 6.74 0.188 0
"204" -2.76 -1.565 0
"205" 12.61 1.634 1
"206" 2.3 -0.812 1
"207" 4.63 0.683 1
"208" -19.95 2.02 0
"209" -8.2 -0.01 1
"210" 9.34 1.723 1
"211" 38.19 3.546 1
"212" 11.79 -3.763 1
"213" 1.7 -0.723 0
"214" 4.1 4.675 1
"215" 7.93 1.248 1
"216" -7.46 -1.02 0
"217" 10.35 1.664 1
"218" 1.08 1.377 0
"219" 6.49 -0.565 1
"220" 5.36 -0.557 1
"221" 0.93 0.139 0
"222" -6.83 -0.487 0
"223" 3.49 -3.779 1
"224" 6.99 -0.656 1
"225" -8.72 -0.388 0
"226" -16.46 -3.362 0
"227" 10.35 1.83 1
"228" -4.44 -0.487 1
"229" 14.03 3.581 1
"230" -0.07 1.482 0
"231" 17.06 0.517 1
"232" -0.3 -1.542 0
"233" -7.07 1.124 0
"234" -0.37 -0.845 0
"236" 2.71 -0.219 1
"237" -9.12 0.487 0
"238" 20.94 -0.955 1
"239" -5.94 -1.054 0
"240" -9.65 -1.074 0
"241" 11.01 3.809 1
"242" -6.22 -0.746 0
"243" 2.15 -0.05 1
"244" -12.59 -2.596 0
"245" -2.51 0.547 1
"246" -9.62 -2.974 0
"247" 12.12 -0.696 1
"248" -2.45 -1.979 0
"249" 16.5 0.845 1
"250" -6.76 -2.347 0
"251" -12.98 -2.934 0
"252" 3.95 1.293 1
"253" 6.33 -0.099 1
"254" 1.38 1.373 0
"255" -2.67 -0.577 1
"257" 16.4 -1.203 1
"258" 11.72 1.91 1
"259" -3.66 -1.412 0
"260" -12.29 -2.049 0
