"t1" "t2" "type"
"56" 43.8 15.46 "tourist"
"57" 32.87 15.76 "tourist"
"58" 41.95 13.34 "tourist"
"59" 46.41 14.76 "tourist"
"60" 53.26 13.77 "tourist"
"61" 40.77 15.56 "tourist"
"62" 49.87 10.75 "tourist"
"63" 49.06 14.34 "tourist"
"64" 43.24 13.97 "tourist"
"65" 48.37 15.49 "tourist"
"66" 44.59 19.99 "tourist"
"67" 54.31 15.89 "tourist"
"68" 44.94 19.42 "tourist"
"69" 52.46 17.94 "tourist"
"70" 45.62 16.01 "tourist"
"71" 50.02 12.11 "tourist"
"72" 36.2 14.43 "tourist"
"73" 41.66 19.67 "tourist"
"74" 35.51 16.04 "tourist"
"75" 49.35 14.93 "tourist"
"76" 46.77 13.53 "tourist"
"77" 50.39 13.54 "tourist"
"78" 46.16 11.75 "tourist"
"79" 45.11 15.28 "tourist"
"80" 49.6 16.53 "tourist"
"81" 36.86 11.66 "tourist"
"82" 32.19 14.88 "tourist"
"83" 50.7 18.72 "tourist"
"84" 48.15 19.49 "tourist"
"85" 46.21 15.73 "tourist"
"86" 52.14 21.17 "tourist"
"87" 42 15.74 "tourist"
"88" 43.34 17.4 "tourist"
"89" 47.14 10.74 "tourist"
"90" 45.28 13.4 "tourist"
"91" 48.95 5.7 "tourist"
"92" 47.28 10.71 "tourist"
"93" 47.53 7.07 "tourist"
"94" 48.13 15.92 "tourist"
"95" 34.72 17.23 "tourist"
"96" 53.61 19.67 "tourist"
"97" 42.7 20.35 "tourist"
"98" 43.25 16.24 "tourist"
"99" 42.61 13.61 "tourist"
"100" 36.12 16.13 "tourist"
"101" 43.2 12.58 "tourist"
"102" 34.6 15.78 "tourist"
"103" 55.81 14.96 "tourist"
"104" 50.71 16.79 "tourist"
"105" 42.16 14.17 "tourist"
"106" 41.35 17.79 "tourist"
"107" 47.6 17.88 "tourist"
"108" 46.02 12.25 "tourist"
"109" 24.17 18.54 "tourist"
"110" 44.14 15.11 "tourist"
"111" 48.78 14.24 "tourist"
"112" 43.52 21.71 "tourist"
"113" 45.55 18.96 "tourist"
"114" 42.99 18.64 "tourist"
"115" 43.91 14.96 "tourist"
"116" 39.54 14.76 "tourist"
"117" 42.03 9.89 "tourist"
"118" 49.23 20.27 "tourist"
"119" 38.32 14.96 "tourist"
"120" 49.81 19.42 "tourist"
"121" 50.39 15.26 "tourist"
"122" 37.05 11.52 "tourist"
"123" 37.18 10.25 "tourist"
"124" 31.95 17.78 "tourist"
"125" 40.49 19.79 "tourist"
"126" 41.85 12.35 "tourist"
"127" 45.77 9.75 "tourist"
"128" 49.18 11.75 "tourist"
"129" 37.65 15.28 "tourist"
"130" 57.83 16.64 "tourist"
"131" 50.46 20.29 "tourist"
"132" 52.07 13.73 "tourist"
"133" 31.62 8.61 "tourist"
"134" 41.05 12.71 "tourist"
"135" 50.46 15.9 "tourist"
"136" 46.29 14.76 "tourist"
"137" 52.42 17.66 "tourist"
"138" 30.8 13.78 "tourist"
"139" 50.04 13.51 "tourist"
"140" 51.76 16.68 "tourist"
"141" 30.84 11.57 "tourist"
"142" 45.15 16.7 "tourist"
"143" 46.71 16.23 "tourist"
"144" 47.19 13.21 "tourist"
"145" 41.77 8.82 "tourist"
"146" 57.2 16.45 "tourist"
"147" 50.17 15.77 "tourist"
"148" 49.63 14.72 "tourist"
"149" 48.18 18.09 "tourist"
"150" 40.4 18.31 "tourist"
"151" 50.62 16.51 "tourist"
"152" 63.73 17.13 "tourist"
"153" 42.49 17.55 "tourist"
"154" 36.72 15.36 "tourist"
"155" 52.4 15.77 "tourist"
"156" 39.43 16.32 "tourist"
"157" 48.98 17.33 "tourist"
"158" 47.21 16.71 "tourist"
"159" 41.17 18.55 "tourist"
"160" 46.53 15.97 "tourist"
"161" 57.65 18.5 "tourist"
"162" 42.72 15.81 "tourist"
"163" 42.47 10.37 "tourist"
"164" 50.65 21.57 "tourist"
"165" 40.99 15.92 "tourist"
"166" 43.57 18.5 "tourist"
"167" 38.67 17.82 "tourist"
"168" 48.54 13.22 "tourist"
"169" 42.01 14.2 "tourist"
"170" 43.87 15.56 "tourist"
"171" 47.27 12.67 "tourist"
"172" 43.08 14.92 "tourist"
"173" 48.03 12.7 "tourist"
"174" 59.73 16.47 "tourist"
"175" 44.19 15.47 "tourist"
"176" 48.02 13.27 "tourist"
"177" 58.41 13.93 "tourist"
"178" 47.24 15.77 "tourist"
"179" 35.2 8.99 "tourist"
"180" 45.7 13.48 "tourist"
"181" 44.66 14.82 "tourist"
"182" 48.06 13.24 "tourist"
"183" 40.83 15.43 "tourist"
"184" 46.2 13.71 "tourist"
"185" 45.14 20.29 "tourist"
"186" 53.58 13.08 "tourist"
"187" 44.8 17.73 "tourist"
"188" 35.51 18.56 "tourist"
"189" 39.06 15.9 "tourist"
"190" 49.21 13.51 "tourist"
"191" 33.77 16.02 "tourist"
"192" 52.29 13.22 "tourist"
"193" 47.55 19.04 "tourist"
"194" 44.86 14.59 "tourist"
"195" 45.6 14.1 "tourist"
"196" 45.59 16.43 "tourist"
"197" 57.15 19.66 "tourist"
"198" 30.17 15.71 "tourist"
"199" 48.04 17.54 "tourist"
"200" 45.53 10.49 "tourist"
"201" 45.49 19.8 "tourist"
"202" 46.73 13.26 "tourist"
"203" 47.46 15.37 "tourist"
"204" 37.54 11.93 "tourist"
"205" 38.51 8.21 "tourist"
"206" 49 14.17 "tourist"
"207" 50.88 14.09 "tourist"
"208" 38.14 14.88 "tourist"
"209" 43.43 14.13 "tourist"
"210" 37.96 16.89 "tourist"
"211" 56.02 11.27 "tourist"
"212" 47.21 18.47 "tourist"
"213" 54.74 13.29 "tourist"
"214" 35.62 13.44 "tourist"
"215" 41.44 17.3 "tourist"
"216" 55.9 16.12 "tourist"
"217" 35.12 17.22 "tourist"
"218" 47.09 15.67 "tourist"
"219" 42.45 12.35 "tourist"
"220" 47.26 13.14 "tourist"
"221" 43.8 12.1 "tourist"
"222" 46.62 13.51 "tourist"
"223" 41.29 17.71 "tourist"
"224" 51.01 15.91 "tourist"
"225" 45.28 16.81 "tourist"
"226" 50.59 19.06 "tourist"
"227" 44.21 12.66 "tourist"
"228" 40.76 14.2 "tourist"
"229" 36.15 11.13 "tourist"
"230" 46.08 18.16 "tourist"
"231" 55.48 13.77 "tourist"
"232" 45.46 18 "tourist"
"233" 43.34 11.05 "tourist"
"234" 53.38 14.24 "tourist"
"235" 46.28 18.75 "tourist"
"236" 34.64 15.49 "tourist"
"237" 48.9 12.36 "tourist"
"238" 54.71 18.65 "tourist"
"239" 39.46 17.92 "tourist"
"240" 45.06 10.41 "tourist"
"241" 43.73 21.73 "tourist"
"242" 52.5 11.75 "tourist"
"243" 48.72 11.76 "tourist"
"244" 42.45 16.08 "tourist"
"245" 40.17 16.8 "tourist"
"246" 47.19 21.41 "tourist"
"247" 41.57 16.78 "tourist"
"248" 48.76 16.69 "tourist"
"249" 42.11 17.92 "tourist"
"250" 43.76 16.81 "tourist"
"251" 39.11 14.61 "tourist"
"252" 46.7 14.16 "tourist"
"253" 36.46 10.65 "tourist"
"254" 43.27 15.73 "tourist"
"255" 52.52 16.27 "tourist"
"256" 47.68 12.46 "tourist"
"257" 49.43 18.63 "tourist"
"258" 45.18 14.3 "tourist"
"259" 42.97 13.65 "tourist"
"260" 40.74 16.04 "tourist"
"261" 39.63 13.25 "tourist"
"262" 41.48 15.6 "tourist"
"263" 45.89 18.81 "tourist"
"264" 38.23 17.78 "tourist"
"265" 47.78 18.63 "tourist"
"266" 58.21 14.12 "tourist"
"267" 49.61 12.81 "tourist"
"268" 41.4 13.4 "tourist"
"269" 41.93 16.36 "tourist"
"270" 46.32 15.3 "tourist"
"271" 36.01 13.5 "tourist"
"272" 47.18 17.65 "tourist"
"273" 39.65 9.22 "tourist"
"274" 40.01 13.79 "tourist"
"275" 41.08 15.81 "tourist"
"276" 45.3 15.41 "tourist"
"277" 45.51 18.41 "tourist"
"278" 47.78 14.7 "tourist"
"279" 54.61 16.39 "tourist"
"280" 46.16 14.14 "tourist"
"281" 45.85 23.13 "tourist"
"282" 43.6 18.23 "tourist"
"283" 46.44 16.23 "tourist"
"284" 40.6 19.09 "tourist"
"285" 45.35 17.37 "tourist"
"286" 38.19 14.43 "tourist"
"287" 56.05 18.75 "tourist"
"288" 52.84 17.24 "tourist"
"289" 46.89 15.19 "tourist"
"290" 53.37 16.38 "tourist"
"291" 41.52 13.7 "tourist"
"292" 39.47 18.52 "tourist"
"293" 41.81 12.29 "tourist"
"294" 60.73 18.9 "tourist"
"295" 57.75 15.63 "tourist"
"296" 38.07 16.26 "tourist"
"297" 38.64 15.62 "tourist"
"298" 51.05 15.85 "tourist"
"299" 45.89 15.69 "tourist"
"300" 45.96 15.58 "tourist"
"301" 50.5 15.06 "tourist"
"302" 33.53 10.77 "tourist"
"303" 43.19 15.45 "tourist"
"304" 54.61 15.27 "tourist"
"305" 44.89 13.68 "tourist"
"306" 51.91 17.35 "tourist"
"307" 35.49 15.48 "resident"
"308" 39.58 13.26 "resident"
"309" 34.71 16.25 "resident"
"310" 38.18 10.31 "resident"
"311" 35.06 18.08 "resident"
"312" 29.55 22.62 "resident"
"313" 38.73 10.97 "resident"
"314" 32.78 19.4 "resident"
"315" 37.35 13.38 "resident"
"316" 35.98 16.86 "resident"
"317" 33.23 19.57 "resident"
"318" 36.1 15.61 "resident"
"319" 37.19 14.62 "resident"
"320" 36.63 12.94 "resident"
"321" 27.37 21.23 "resident"
"322" 29.05 25.3 "resident"
"323" 32.31 19.74 "resident"
"324" 35.77 12.92 "resident"
"325" 31.95 20.22 "resident"
"326" 34.98 14.33 "resident"
"327" 36.9 14.59 "resident"
"328" 30.62 18.33 "resident"
"329" 38.56 11.32 "resident"
"330" 33.1 18.17 "resident"
"331" 41.25 11.45 "resident"
"332" 36.83 20.61 "resident"
"333" 42.38 9.84 "resident"
"334" 36.37 13.76 "resident"
"335" 38.26 11.43 "resident"
"336" 34.53 16.84 "resident"
"337" 36.23 14.96 "resident"
"338" 33.66 17.57 "resident"
"339" 26.95 24.21 "resident"
"340" 30.71 17.45 "resident"
"341" 39.32 9.32 "resident"
"342" 37.95 14.16 "resident"
"343" 34.41 16 "resident"
"344" 36.18 13.13 "resident"
"345" 33.42 12.93 "resident"
"346" 32.57 17.43 "resident"
"347" 33.72 15.69 "resident"
"348" 31.93 15.29 "resident"
"349" 36.02 15.4 "resident"
"350" 32.6 15 "resident"
"351" 31.73 16.07 "resident"
"352" 34.37 13.89 "resident"
"353" 33.51 15.08 "resident"
"354" 39.12 13.45 "resident"
"355" 33.13 13.9 "resident"
"356" 32.06 18.94 "resident"
"357" 38.31 15.5 "resident"
"358" 31.24 19.15 "resident"
"359" 35.34 14.75 "resident"
"360" 37.9 12.09 "resident"
"361" 34.77 15.75 "resident"
"362" 35.39 12.44 "resident"
"363" 33.29 18.99 "resident"
"364" 27.05 22.93 "resident"
"365" 32.61 17.96 "resident"
"366" 34.12 13.75 "resident"
"367" 33.71 15.74 "resident"
"368" 32.97 16.71 "resident"
"369" 30.72 18.72 "resident"
"370" 33.69 14.76 "resident"
"371" 35.63 17.18 "resident"
"372" 33.43 16.33 "resident"
"373" 32.27 17.13 "resident"
"374" 38.61 13.38 "resident"
"375" 35.06 12.54 "resident"
"376" 39.4 10.27 "resident"
"377" 33.73 16.16 "resident"
"378" 33.51 14.63 "resident"
"379" 36.78 13.09 "resident"
"380" 36.38 11.59 "resident"
"381" 33.18 15.04 "resident"
"382" 36.37 19.51 "resident"
"383" 33.18 15.79 "resident"
"384" 26.44 24.75 "resident"
"385" 37.29 15.35 "resident"
"386" 35.03 14.33 "resident"
"387" 38.06 14.85 "resident"
"388" 37.74 11.46 "resident"
"389" 33.38 15.43 "resident"
"390" 37.44 14.56 "resident"
"391" 36.92 14.26 "resident"
"392" 29 22.35 "resident"
"393" 40.7 11.57 "resident"
"394" 31 19.29 "resident"
"395" 36.73 9.63 "resident"
"396" 35.28 16.97 "resident"
"397" 37.9 13.77 "resident"
"398" 32.43 17.44 "resident"
"399" 33.72 15.44 "resident"
"400" 32.72 16.25 "resident"
"401" 30.53 19.16 "resident"
"402" 37.6 12.95 "resident"
"403" 31.09 18.59 "resident"
"404" 31.15 19.97 "resident"
"405" 37.06 17.53 "resident"
"406" 34.19 15.37 "resident"
"407" 31.38 18.11 "resident"
"408" 31.67 14.55 "resident"
"409" 29.06 19.72 "resident"
"410" 35.3 16.2 "resident"
"411" 33.69 17.66 "resident"
"412" 34 15.23 "resident"
"413" 38.3 13.88 "resident"
"414" 39.44 8.25 "resident"
"415" 34.58 14.71 "resident"
"416" 32.7 17.71 "resident"
"417" 32.48 17.05 "resident"
"418" 36.01 12.91 "resident"
"419" 37.01 15.52 "resident"
"420" 29.71 18.63 "resident"
"421" 35.64 10.06 "resident"
"422" 31.42 15.96 "resident"
"423" 32.55 15.52 "resident"
"424" 29.43 20.09 "resident"
"425" 33.27 18.05 "resident"
"426" 39.17 10.99 "resident"
"427" 34.41 14.63 "resident"
"428" 30.64 16.56 "resident"
"429" 33.1 17.79 "resident"
"430" 40.35 11.18 "resident"
"431" 37.29 13.18 "resident"
"432" 32.1 16.57 "resident"
"433" 33.03 15.36 "resident"
"434" 41.54 12.5 "resident"
"435" 40.68 7.97 "resident"
"436" 38.89 12.57 "resident"
"437" 36.35 13.76 "resident"
"438" 35.46 14.95 "resident"
"439" 35.41 12.33 "resident"
"440" 40.64 11.92 "resident"
"441" 31.72 15.14 "resident"
"442" 38.25 10.96 "resident"
"443" 37.36 11.75 "resident"
"444" 31.84 17.59 "resident"
"445" 30.17 21.08 "resident"
"446" 33.04 17.79 "resident"
"447" 36.24 12.56 "resident"
"448" 31.22 17.23 "resident"
"449" 36.01 15.7 "resident"
"450" 33.82 18.71 "resident"
"451" 37.44 13.62 "resident"
"452" 32.09 19.9 "resident"
"453" 33.03 18.53 "resident"
"454" 34.59 16.22 "resident"
"455" 38.51 10.96 "resident"
"456" 34.01 15.72 "resident"
"457" 28.08 17.88 "resident"
"458" 40.19 7.52 "resident"
"459" 32.39 17.75 "resident"
"460" 36.63 12.95 "resident"
"461" 33.21 17.23 "resident"
"462" 42.89 9.54 "resident"
"463" 30.54 16.31 "resident"
"464" 33.88 13.96 "resident"
"465" 39.38 11.84 "resident"
"466" 31.6 15.11 "resident"
"467" 36.99 11.37 "resident"
"468" 35.58 14.39 "resident"
"469" 36.34 13.22 "resident"
"470" 37.04 15 "resident"
"471" 37.47 11.53 "resident"
"472" 34.34 17.27 "resident"
"473" 29.72 20.45 "resident"
"474" 38.51 11.23 "resident"
"475" 34.45 15.06 "resident"
"476" 29.74 20.33 "resident"
"477" 33.6 17.27 "resident"
"478" 30.49 19.32 "resident"
"479" 35.37 21.02 "resident"
"480" 30.43 19.65 "resident"
"481" 37.17 12.33 "resident"
"482" 33.74 14.94 "resident"
"483" 37.44 12.48 "resident"
"484" 37.62 12.26 "resident"
"485" 27.06 21.37 "resident"
"486" 33.34 13.64 "resident"
"487" 38.34 17.18 "resident"
"488" 37.38 12.2 "resident"
"489" 38.89 9.94 "resident"
"490" 31.83 20.53 "resident"
"491" 36.77 15.41 "resident"
"492" 40.55 11.43 "resident"
"493" 35.2 14.07 "resident"
"494" 36.76 15.95 "resident"
"495" 37.03 8.55 "resident"
"496" 33.61 14.06 "resident"
"497" 38.96 9.84 "resident"
"498" 35.72 12.92 "resident"
"499" 38.38 11.9 "resident"
"500" 41.42 12.27 "resident"
"501" 36.89 14.09 "resident"
"502" 31.5 20.2 "resident"
"503" 36.17 12.32 "resident"
"504" 33.33 14.1 "resident"
"505" 35.59 12.29 "resident"
"506" 36.36 11.85 "resident"
"507" 34.85 13.93 "resident"
"508" 31.34 19.54 "resident"
"509" 37.15 15.29 "resident"
"510" 33.9 12.09 "resident"
"511" 33.62 16.28 "resident"
"512" 39.33 12.06 "resident"
"513" 39.28 13.17 "resident"
"514" 39 14.75 "resident"
"515" 39.27 10.73 "resident"
"516" 38.03 14.06 "resident"
"517" 35.06 16.15 "resident"
"518" 31.65 17.87 "resident"
"519" 35.11 15.11 "resident"
"520" 35.29 14.48 "resident"
"521" 30.88 16.9 "resident"
"522" 31.42 17.74 "resident"
"523" 34.51 13.69 "resident"
"524" 33.28 16.8 "resident"
"525" 32.49 17.75 "resident"
"526" 35.89 15.35 "resident"
"527" 29.84 18.97 "resident"
"528" 36.49 9.78 "resident"
"529" 36.24 14.72 "resident"
"530" 33.97 17.99 "resident"
"531" 37.75 12.4 "resident"
"532" 36.14 16.38 "resident"
"533" 35.16 15.51 "resident"
"534" 38.37 8.59 "resident"
"535" 40.63 15.15 "resident"
"536" 34.32 13.75 "resident"
"537" 42.91 8.54 "resident"
"538" 36.07 15.97 "resident"
"539" 35.41 13.17 "resident"
"540" 35.5 13.64 "resident"
"541" 37.39 14.58 "resident"
"542" 39.37 11.5 "resident"
"543" 26.78 21 "resident"
"544" 29.41 21.53 "resident"
"545" 31.24 19.05 "resident"
"546" 32.78 13.85 "resident"
"547" 30.45 17.51 "resident"
"548" 33.21 18.14 "resident"
"549" 36.35 15.73 "resident"
"550" 33.19 15.65 "resident"
"551" 36.52 11.28 "resident"
"552" 31.75 18.03 "resident"
"553" 37 10.81 "resident"
"554" 28.98 21.33 "resident"
"555" 37.12 12.73 "resident"
"556" 32.27 17.14 "resident"
"557" 37.14 15.47 "resident"
"558" 33.43 17.06 "resident"
"559" 33.98 12.33 "resident"
"560" 37.44 14.68 "resident"
"561" 38.56 13.64 "resident"
"562" 36.17 12.73 "resident"
"563" 37.27 13.03 "resident"
"564" 35.41 14.91 "resident"
"565" 39.98 12.66 "resident"
"566" 44.11 7.11 "resident"
"567" 35.85 17.24 "resident"
"568" 41.52 11.23 "resident"
"569" 31.89 17.64 "resident"
"570" 41.4 9.46 "resident"
"571" 30.73 17.96 "resident"
"572" 33.54 19.16 "resident"
"573" 36.24 14.72 "resident"
"574" 34.42 13.96 "resident"
"575" 32.42 15.53 "resident"
"576" 39.38 11.86 "resident"
"577" 35.93 15.6 "resident"
"578" 31.17 20.66 "resident"
"579" 40.53 8.47 "resident"
"580" 37.94 13.87 "resident"
"581" 32.45 16.14 "resident"
"582" 33.31 20.18 "resident"
"583" 35.63 15.1 "resident"
"584" 35.32 16.91 "resident"
"585" 35.65 14.17 "resident"
"586" 35.41 17.95 "resident"
"587" 33.24 17.63 "resident"
"588" 39.32 11.87 "resident"
"589" 35.06 13.18 "resident"
"590" 36.1 15.5 "resident"
"591" 42.27 8.23 "resident"
"592" 30.08 16.95 "resident"
"593" 34.96 14.83 "resident"
"594" 34.9 15.66 "resident"
"595" 37.17 11.3 "resident"
"596" 34.34 15.77 "resident"
"597" 31.7 16.94 "resident"
"598" 29.39 17.47 "resident"
"599" 33.5 16.4 "resident"
"600" 36.46 12.41 "resident"
"601" 31.94 17.41 "resident"
"602" 35.77 15.8 "resident"
"603" 32.03 17.98 "resident"
"604" 38.16 9.23 "resident"
"605" 35.58 16.46 "resident"
"606" 28.86 19.84 "resident"
"607" 35.66 15.01 "resident"
"608" 35.35 15.88 "resident"
"609" 29.8 18.42 "resident"
"610" 32.09 13.19 "resident"
"611" 38.29 9.79 "resident"
"612" 36.85 12.7 "resident"
"613" 36.58 12.29 "resident"
"614" 30 19.12 "resident"
"615" 36.76 13.79 "resident"
"616" 39.4 9.87 "resident"
"617" 34.09 17.08 "resident"
"618" 35.39 16.49 "resident"
"619" 35.94 16.53 "resident"
"620" 35.98 14.57 "resident"
"621" 35.56 12.03 "resident"
"622" 35.13 13.03 "resident"
"623" 28.77 17.86 "resident"
"624" 34.32 14.44 "resident"
"625" 30.28 16.57 "resident"
"626" 36.49 16.57 "resident"
"627" 37.72 14.49 "resident"
"628" 35.78 11.61 "resident"
"629" 30.07 17.11 "resident"
"630" 32.76 16.12 "resident"
"631" 30.52 22.89 "resident"
"632" 35.78 12.29 "resident"
"633" 36.93 13.65 "resident"
"634" 38.63 12.33 "resident"
"635" 42.6 10.56 "resident"
"636" 42.65 10.01 "resident"
"637" 34.36 15.29 "resident"
"638" 33.6 13.38 "resident"
"639" 32.64 13.82 "resident"
"640" 39.83 12.28 "resident"
"641" 37.1 12.98 "resident"
"642" 41.1 7.84 "resident"
"643" 35.77 12.28 "resident"
"644" 37.24 12.71 "resident"
"645" 31.98 17.17 "resident"
"646" 32.39 16.25 "resident"
"647" 35.45 16.82 "resident"
"648" 35.09 13.57 "resident"
"649" 34.9 14.24 "resident"
"650" 35.94 13.56 "resident"
"651" 35.17 11.32 "resident"
"652" 36.33 11.41 "resident"
"653" 35.33 16.48 "resident"
"654" 35.68 15.11 "resident"
"655" 37.85 13.47 "resident"
"656" 36.79 14.41 "resident"
"657" 35.61 16.95 "resident"
"658" 34.75 16.92 "resident"
"659" 38.37 14.74 "resident"
"660" 27.99 20.52 "resident"
"661" 34.82 13.5 "resident"
"662" 33.71 16.63 "resident"
"663" 35.88 12.83 "resident"
"664" 33.47 15.31 "resident"
"665" 33.65 14.98 "resident"
"666" 33.69 16.41 "resident"
"667" 31.54 17.75 "resident"
"668" 33.18 16.31 "resident"
"669" 35.14 20.26 "resident"
"670" 36.31 14.06 "resident"
"671" 37.08 14.08 "resident"
"672" 41.04 10.48 "resident"
"673" 36.56 12.34 "resident"
"674" 36.96 17.93 "resident"
"675" 33.6 14.5 "resident"
"676" 34.24 18 "resident"
"677" 31.91 18.18 "resident"
"678" 35.05 15.37 "resident"
"679" 38.3 11.32 "resident"
"680" 37.58 10.63 "resident"
"681" 33.04 17.47 "resident"
"682" 41.69 13.17 "resident"
"683" 39.43 12.46 "resident"
"684" 30.29 17.53 "resident"
"685" 36.26 13.91 "resident"
"686" 32.81 18.08 "resident"
"687" 31.78 20.3 "resident"
"688" 34.1 15.72 "resident"
"689" 34.27 13.17 "resident"
"690" 36.69 13.66 "resident"
"691" 35.82 13.1 "resident"
"692" 42.3 9.91 "resident"
"693" 36.02 14.45 "resident"
"694" 38.07 14.52 "resident"
"695" 38.79 11.12 "resident"
"696" 35.66 13.22 "resident"
"697" 31.02 17.09 "resident"
"698" 34.81 16.01 "resident"
"699" 32.48 17 "resident"
"700" 40.21 11.99 "resident"
"701" 28.3 20.93 "resident"
"702" 33.44 14.57 "resident"
"703" 34.93 18.19 "resident"
"704" 36.37 17.07 "resident"
"705" 39.31 11.56 "resident"
"706" 37.2 11.61 "resident"
"707" 33.09 13.94 "resident"
"708" 41.37 9.31 "resident"
"709" 37.17 17.21 "resident"
"710" 38.21 9.59 "resident"
"711" 37.43 14.01 "resident"
"712" 40.1 11.58 "resident"
"713" 38.18 11.63 "resident"
"714" 34.54 15.4 "resident"
"715" 34.25 19.88 "resident"
"716" 35.21 15.21 "resident"
"717" 32.23 13.11 "resident"
"718" 34.82 13.19 "resident"
"719" 37.34 13.55 "resident"
"720" 35.03 13.94 "resident"
"721" 34.9 12.33 "resident"
"722" 38.54 12.29 "resident"
"723" 38.75 11.73 "resident"
"724" 32.8 18.48 "resident"
"725" 32.33 15.16 "resident"
"726" 31.6 14.77 "resident"
"727" 35.49 12.11 "resident"
"728" 39.86 11.68 "resident"
"729" 35.34 18.07 "resident"
"730" 35.63 14.12 "resident"
"731" 31.45 21.77 "resident"
"732" 36.39 12.61 "resident"
"733" 35.68 14.64 "resident"
"734" 34.55 14.22 "resident"
"735" 29.66 18.88 "resident"
"736" 37.67 12.97 "resident"
"737" 37.48 13.62 "resident"
"738" 35.59 14.34 "resident"
"739" 30.7 23.9 "resident"
"740" 38.69 11.91 "resident"
"741" 33.06 15.74 "resident"
"742" 42.26 7.85 "resident"
"743" 30.9 14.77 "resident"
"744" 37.16 10.08 "resident"
"745" 40.01 10.54 "resident"
"746" 32.04 16.99 "resident"
"747" 34.41 14.7 "resident"
"748" 33.05 15.96 "resident"
"749" 34.15 13.66 "resident"
"750" 39.77 13.1 "resident"
"751" 31.86 17.67 "resident"
"752" 34.79 14.96 "resident"
"753" 32.98 16.87 "resident"
"754" 38.45 12.93 "resident"
"755" 39.88 12.64 "resident"
"756" 32.82 16.86 "resident"
"757" 35.85 14.87 "resident"
"758" 36.13 14.87 "resident"
"759" 36.13 14.27 "resident"
"760" 31.29 19.88 "resident"
"761" 34.26 16.08 "resident"
"762" 33.54 13.45 "resident"
"763" 38.43 11.01 "resident"
"764" 32.25 20.04 "resident"
"765" 39.51 11.98 "resident"
"766" 30.8 18.96 "resident"
"767" 40.9 7.71 "resident"
"768" 36.06 15.3 "resident"
"769" 31.32 19.48 "resident"
"770" 35.65 11.39 "resident"
"771" 34.36 17.81 "resident"
"772" 36.69 16.19 "resident"
"773" 35.18 11.59 "resident"
"774" 30.02 20.38 "resident"
"775" 35.41 11.55 "resident"
"776" 39 10.56 "resident"
"777" 39.93 7.28 "resident"
"778" 31.15 18.57 "resident"
"779" 32.86 17.01 "resident"
"780" 36.43 11.06 "resident"
"781" 39.53 10.96 "resident"
"782" 37.14 14.04 "resident"
"783" 33.49 18.13 "resident"
"784" 33.58 16.36 "resident"
"785" 40.84 8.98 "resident"
"786" 34.48 15.57 "resident"
"787" 35.06 15.29 "resident"
"788" 34.84 15.73 "resident"
"789" 41.01 7.89 "resident"
"790" 35.05 17.28 "resident"
"791" 36.94 18.31 "resident"
"792" 34.22 19.11 "resident"
"793" 31.49 17.74 "resident"
"794" 40.46 12.29 "resident"
"795" 40.34 9.89 "resident"
"796" 33.56 16.6 "resident"
"797" 34.7 14.36 "resident"
"798" 39.78 10.62 "resident"
"799" 35.2 11.94 "resident"
"800" 33.97 19.52 "resident"
"801" 34.88 14.89 "resident"
"802" 42.4 7.89 "resident"
"803" 37.01 10.92 "resident"
"804" 30.93 16.47 "resident"
"805" 35.44 10.68 "resident"
"806" 35.96 14.14 "resident"
