"Month" "Region.of.origin" "Hotel.5stars" "Hotel.4stars" "Hotel.3stars" "Hotel.2stars" "Hotel.1star" "Residences" "Bed.Breakfast" "Rented.flats"
"41" "May" "FRIULI VENEZIA GIULIA " 130 4024 2136 213 158 977 42 252
"42" "Jun" "FRIULI VENEZIA GIULIA " 131 3426 2183 269 159 940 90 202
"43" "Jul" "FRIULI VENEZIA GIULIA " 89 3468 2033 199 152 742 73 248
"44" "Aug" "FRIULI VENEZIA GIULIA " 60 3534 2429 261 275 703 45 222
"45" "Sept" "FRIULI VENEZIA GIULIA " 147 4701 3002 364 337 861 102 340
"46" "Oct" "FRIULI VENEZIA GIULIA " 219 4599 2836 480 299 852 162 450
"47" "Nov" "FRIULI VENEZIA GIULIA " 86 2979 1725 176 97 608 56 165
"48" "Dec" "FRIULI VENEZIA GIULIA " 138 2585 1445 127 78 480 19 174
"49" "Jan" "LIGURIA" 85 3549 2533 255 313 940 41 335
"50" "Feb" "LIGURIA" 92 3489 2278 290 276 696 39 345
"51" "Mar" "LIGURIA" 79 3977 2444 313 258 904 100 353
"52" "Apr" "LIGURIA" 81 3164 2069 349 173 985 45 288
"53" "May" "LIGURIA" 101 3707 2143 285 239 1066 97 349
"54" "Jun" "LIGURIA" 195 3239 2244 279 206 927 47 316
"55" "Jul" "LIGURIA" 100 2629 1895 267 191 807 29 266
"56" "Aug" "LIGURIA" 66 1917 1164 223 146 802 22 182
"57" "Sept" "LIGURIA" 225 3366 1991 421 216 895 90 308
"58" "Oct" "LIGURIA" 255 4270 2249 320 287 934 91 361
"59" "Nov" "LIGURIA" 130 3858 2337 329 204 1212 49 249
"60" "Dec" "LIGURIA" 153 3448 2039 283 168 974 12 322
"61" "Jan" "EMILIA ROMAGNA" 268 7558 4425 502 437 1410 70 473
"62" "Feb" "EMILIA ROMAGNA" 233 8747 4622 612 547 1643 113 747
"63" "Mar" "EMILIA ROMAGNA" 300 8776 5594 689 552 1618 122 899
"64" "Apr" "EMILIA ROMAGNA" 210 7010 4398 467 408 1629 162 675
"65" "May" "EMILIA ROMAGNA" 366 8281 5801 644 446 2411 129 742
"66" "Jun" "EMILIA ROMAGNA" 393 7534 5122 664 396 1887 158 660
"67" "Jul" "EMILIA ROMAGNA" 282 6550 4488 493 385 1474 118 461
"68" "Aug" "EMILIA ROMAGNA" 154 5773 4160 530 443 1379 75 400
"69" "Sept" "EMILIA ROMAGNA" 399 10513 6148 925 667 1889 212 866
"70" "Oct" "EMILIA ROMAGNA" 532 11752 6521 951 654 1871 231 935
"71" "Nov" "EMILIA ROMAGNA" 361 8301 4699 560 422 1245 107 566
"72" "Dec" "EMILIA ROMAGNA" 336 7072 4140 403 240 1281 83 546
"73" "Jan" "TOSCANA" 375 9739 5449 582 356 1399 113 609
"74" "Feb" "TOSCANA" 337 11163 5753 586 605 1407 70 640
"75" "Mar" "TOSCANA" 434 10315 6211 764 562 1534 84 661
"76" "Apr" "TOSCANA" 249 7354 6133 659 388 1501 138 633
"77" "May" "TOSCANA" 484 9457 6672 767 517 2020 123 844
"78" "Jun" "TOSCANA" 320 9776 5953 801 509 1898 134 732
"79" "Jul" "TOSCANA" 419 8187 4594 690 273 1545 63 687
"80" "Aug" "TOSCANA" 166 7362 6078 767 475 1218 50 591
"81" "Sept" "TOSCANA" 456 12796 8144 1253 735 2027 216 1153
"82" "Oct" "TOSCANA" 530 11896 7551 1324 831 2378 228 1136
"83" "Nov" "TOSCANA" 342 8587 4945 711 390 1916 95 617
"84" "Dec" "TOSCANA" 280 7491 4372 483 288 1419 55 623
"85" "Jan" "UMBRIA" 51 2077 1283 237 199 313 16 79
"86" "Feb" "UMBRIA" 66 2162 1311 240 164 232 24 141
"87" "Mar" "UMBRIA" 30 2177 1471 209 162 214 46 110
"88" "Apr" "UMBRIA" 51 1720 1391 232 97 365 27 142
"89" "May" "UMBRIA" 51 2886 1890 278 183 441 38 181
"90" "Jun" "UMBRIA" 69 2774 1557 229 232 289 64 203
"91" "Jul" "UMBRIA" 63 2130 1587 250 191 221 35 130
"92" "Aug" "UMBRIA" 68 2878 2103 350 280 327 13 215
"93" "Sept" "UMBRIA" 94 3188 2362 379 243 526 36 196
"94" "Oct" "UMBRIA" 190 3591 2610 461 279 594 72 310
"95" "Nov" "UMBRIA" 97 1969 1225 214 96 417 16 123
"96" "Dec" "UMBRIA" 71 1655 1136 151 78 350 12 139
"97" "Jan" "MARCHE" 96 3851 2403 377 236 709 40 262
"98" "Feb" "MARCHE" 83 5088 3151 454 300 851 63 375
"99" "Mar" "MARCHE" 82 4071 2647 511 256 832 76 414
"100" "Apr" "MARCHE" 74 3182 2858 432 310 479 107 318
"101" "May" "MARCHE" 93 4073 3160 366 307 512 110 331
"102" "Jun" "MARCHE" 90 3846 2836 384 257 443 65 379
"103" "Jul" "MARCHE" 104 3515 2957 312 211 482 51 246
"104" "Aug" "MARCHE" 89 4066 3254 435 349 617 36 379
"105" "Sept" "MARCHE" 195 5671 4811 782 535 964 142 678
"106" "Oct" "MARCHE" 247 5173 3953 630 536 801 200 629
"107" "Nov" "MARCHE" 118 3261 2149 359 231 682 89 302
"108" "Dec" "MARCHE" 115 2548 2229 238 155 479 59 320
"109" "Jan" "LAZIO" 870 18938 8213 652 596 4267 181 1902
"110" "Feb" "LAZIO" 851 20759 9463 724 813 4624 155 2056
"111" "Mar" "LAZIO" 927 23930 10725 1185 863 4787 143 1980
"112" "Apr" "LAZIO" 845 19607 8827 851 698 5085 233 1817
"113" "May" "LAZIO" 1336 26124 13078 1267 1041 6847 306 2473
"114" "Jun" "LAZIO" 1263 26840 14337 1415 868 6969 325 2271
"115" "Jul" "LAZIO" 1116 23713 11503 885 682 5998 274 1913
"116" "Aug" "LAZIO" 564 18942 12508 1315 1002 4829 142 1983
"117" "Sept" "LAZIO" 1482 30028 16539 1753 1489 6762 608 2617
"118" "Oct" "LAZIO" 1812 36769 17750 2170 1628 7418 623 3056
"119" "Nov" "LAZIO" 1073 22015 9722 840 536 4424 254 1912
"120" "Dec" "LAZIO" 1009 19551 7794 593 340 4394 103 1851
"121" "Jan" "ABRUZZO" 30 2322 1438 186 178 315 14 252
"122" "Feb" "ABRUZZO" 55 2584 1460 255 149 463 14 443
"123" "Mar" "ABRUZZO" 69 2748 1785 306 193 468 37 329
"124" "Apr" "ABRUZZO" 28 2032 1467 238 179 497 33 259
"125" "May" "ABRUZZO" 78 3222 2050 248 177 668 45 362
"126" "Jun" "ABRUZZO" 73 3058 2265 286 265 614 69 302
"127" "Jul" "ABRUZZO" 55 2684 2339 222 164 506 33 203
"128" "Aug" "ABRUZZO" 59 3256 2457 202 237 454 10 241
"129" "Sept" "ABRUZZO" 165 3506 2789 416 252 648 88 382
"130" "Oct" "ABRUZZO" 142 4159 2898 385 375 913 128 341
"131" "Nov" "ABRUZZO" 50 2539 1508 151 124 344 37 286
"132" "Dec" "ABRUZZO" 111 2261 1464 127 153 367 5 214
"133" "Jan" "MOLISE" 6 632 423 28 49 195 0 23
"134" "Feb" "MOLISE" 10 722 453 29 35 125 7 31
"135" "Mar" "MOLISE" 5 572 514 31 33 90 3 19
"136" "Apr" "MOLISE" 7 450 446 60 34 126 0 66
"137" "May" "MOLISE" 9 695 786 75 45 120 4 111
"138" "Jun" "MOLISE" 12 937 542 115 48 51 1 74
"139" "Jul" "MOLISE" 5 835 536 86 54 98 7 88
"140" "Aug" "MOLISE" 10 1131 503 109 37 85 12 69
"141" "Sept" "MOLISE" 15 1220 767 135 74 86 40 175
"142" "Oct" "MOLISE" 64 1127 890 152 101 175 22 154
"143" "Nov" "MOLISE" 18 780 499 61 30 43 19 30
"144" "Dec" "MOLISE" 14 613 548 96 11 54 4 21
"145" "Jan" "CAMPANIA" 274 9317 6846 949 725 2661 79 1143
"146" "Feb" "CAMPANIA" 228 10416 8312 1020 917 2790 72 1221
"147" "Mar" "CAMPANIA" 253 11240 8169 939 871 3049 66 1144
"148" "Apr" "CAMPANIA" 251 8220 7129 933 1008 2728 124 1098
"149" "May" "CAMPANIA" 331 12862 8766 1287 1079 3149 130 1306
"150" "Jun" "CAMPANIA" 309 10471 8631 1100 772 2510 190 864
"151" "Jul" "CAMPANIA" 275 10961 7663 1173 660 2772 97 774
"152" "Aug" "CAMPANIA" 230 10461 8207 1098 947 2715 84 800
"153" "Sept" "CAMPANIA" 623 15096 10214 1609 1387 3379 259 1417
"154" "Oct" "CAMPANIA" 544 18471 10933 1782 1320 3901 358 1773
"155" "Nov" "CAMPANIA" 331 9611 6855 1014 673 2349 100 979
"156" "Dec" "CAMPANIA" 384 8541 5377 823 542 2232 15 949
"157" "Jan" "PUGLIA" 193 6445 5016 862 522 2925 80 715
"158" "Feb" "PUGLIA" 220 7838 5604 653 611 2893 125 882
"159" "Mar" "PUGLIA" 174 8238 6726 849 758 3108 139 975
"160" "Apr" "PUGLIA" 146 6620 5869 888 870 2218 159 908
"161" "May" "PUGLIA" 244 8891 6377 849 734 2052 200 825
"162" "Jun" "PUGLIA" 154 7690 5596 699 594 2086 239 892
"163" "Jul" "PUGLIA" 167 7262 5576 833 476 1816 164 631
"164" "Aug" "PUGLIA" 174 6482 5686 581 533 1806 57 555
"165" "Sept" "PUGLIA" 338 8998 6577 1031 925 2472 209 1007
"166" "Oct" "PUGLIA" 305 10258 7179 1176 771 2989 283 1311
"167" "Nov" "PUGLIA" 178 6784 5597 599 421 2351 74 683
"168" "Dec" "PUGLIA" 254 6568 4970 485 464 2127 49 447
"169" "Jan" "BASILICATA" 6 732 840 115 42 203 5 203
"170" "Feb" "BASILICATA" 18 931 731 83 94 278 17 231
"171" "Mar" "BASILICATA" 25 1083 1002 72 68 322 5 205
"172" "Apr" "BASILICATA" 20 959 775 99 124 314 11 164
"173" "May" "BASILICATA" 22 1330 1147 108 142 313 10 223
"174" "Jun" "BASILICATA" 19 1180 925 136 54 273 7 220
"175" "Jul" "BASILICATA" 20 1165 1513 178 81 381 8 228
"176" "Aug" "BASILICATA" 20 1161 1149 88 136 320 0 205
"177" "Sept" "BASILICATA" 78 1469 1359 203 104 188 37 231
"178" "Oct" "BASILICATA" 31 1709 1089 200 106 199 54 300
"179" "Nov" "BASILICATA" 24 1037 711 78 49 155 18 202
"180" "Dec" "BASILICATA" 33 730 548 56 54 216 11 93
"181" "Jan" "CALABRIA" 85 2968 2203 340 278 741 15 288
"182" "Feb" "CALABRIA" 44 3034 2632 508 330 777 59 329
"183" "Mar" "CALABRIA" 49 3643 2970 324 341 992 23 375
"184" "Apr" "CALABRIA" 86 2518 2633 333 398 1107 39 247
"185" "May" "CALABRIA" 138 4071 3559 364 399 1085 68 509
"186" "Jun" "CALABRIA" 109 3877 2726 381 292 840 74 443
"187" "Jul" "CALABRIA" 64 3223 2778 346 232 742 30 232
"188" "Aug" "CALABRIA" 36 2236 2166 264 158 647 5 156
"189" "Sept" "CALABRIA" 136 5118 3394 501 515 897 110 609
"190" "Oct" "CALABRIA" 200 5217 4094 594 542 1192 160 612
"191" "Nov" "CALABRIA" 115 3366 2996 308 266 687 69 454
"192" "Dec" "CALABRIA" 159 3268 2463 201 249 659 25 334
"193" "Jan" "SICILIA" 234 6619 5401 686 617 2067 121 1324
"194" "Feb" "SICILIA" 130 7399 5590 785 767 2298 143 1320
"195" "Mar" "SICILIA" 215 8339 6415 771 785 2247 134 1756
"196" "Apr" "SICILIA" 130 5922 5351 870 728 1871 161 1351
"197" "May" "SICILIA" 296 9830 7512 1058 783 2491 224 1768
"198" "Jun" "SICILIA" 234 8665 6635 963 786 2440 193 1433
"199" "Jul" "SICILIA" 181 8340 6157 727 659 2352 125 1257
"200" "Aug" "SICILIA" 177 5237 5213 620 463 2119 29 668
"201" "Sept" "SICILIA" 353 9006 6961 1090 896 2580 232 1447
"202" "Oct" "SICILIA" 363 10861 8780 1185 1080 3216 353 1674
"203" "Nov" "SICILIA" 163 7550 5738 711 632 2095 155 1254
"204" "Dec" "SICILIA" 240 5723 4066 475 519 1832 112 971
"205" "Jan" "SARDEGNA" 82 2839 2342 244 202 957 41 595
"206" "Feb" "SARDEGNA" 47 2772 1877 219 235 1190 62 460
"207" "Mar" "SARDEGNA" 73 3209 2536 232 286 1331 43 539
"208" "Apr" "SARDEGNA" 49 2674 2368 293 258 914 64 484
"209" "May" "SARDEGNA" 94 3331 3074 412 330 820 46 539
"210" "Jun" "SARDEGNA" 87 3194 3093 354 340 1060 46 663
"211" "Jul" "SARDEGNA" 65 3266 2662 317 216 959 32 522
"212" "Aug" "SARDEGNA" 72 2266 2711 213 182 1137 3 476
"213" "Sept" "SARDEGNA" 149 3845 3170 482 428 935 43 755
"214" "Oct" "SARDEGNA" 129 4242 3890 698 565 1077 124 869
"215" "Nov" "SARDEGNA" 81 2752 2098 224 302 839 47 544
"216" "Dec" "SARDEGNA" 105 2941 1948 259 203 1159 30 478
"217" "Jan" "BOLZANO" 19 537 330 44 50 73 13 45
"218" "Feb" "BOLZANO" 31 568 399 64 41 82 7 63
"219" "Mar" "BOLZANO" 25 775 726 59 59 65 9 68
"220" "Apr" "BOLZANO" 18 505 488 63 76 70 10 56
"221" "May" "BOLZANO" 27 610 450 69 54 19 29 207
"222" "Jun" "BOLZANO" 30 660 535 97 61 77 9 185
"223" "Jul" "BOLZANO" 31 642 339 112 42 76 9 158
"224" "Aug" "BOLZANO" 8 531 493 61 52 59 2 140
"225" "Sept" "BOLZANO" 45 1081 723 99 49 76 7 84
"226" "Oct" "BOLZANO" 101 1096 754 153 42 151 23 83
"227" "Nov" "BOLZANO" 28 707 762 98 18 111 2 100
"228" "Dec" "BOLZANO" 34 496 401 42 33 46 0 60
"229" "Jan" "TRENTO" 29 954 597 107 86 134 7 67
"230" "Feb" "TRENTO" 25 1010 706 117 63 118 7 41
"231" "Mar" "TRENTO" 21 1150 870 101 105 172 6 93
"232" "Apr" "TRENTO" 16 803 659 98 77 234 9 35
"233" "May" "TRENTO" 28 1084 744 112 126 368 4 74
"234" "Jun" "TRENTO" 35 1077 729 156 66 289 28 91
"235" "Jul" "TRENTO" 22 848 698 78 89 240 17 84
"236" "Aug" "TRENTO" 7 659 443 88 49 182 4 73
"237" "Sept" "TRENTO" 33 916 750 147 104 348 20 167
"238" "Oct" "TRENTO" 86 1340 1105 173 122 234 70 139
"239" "Nov" "TRENTO" 35 983 740 68 40 175 19 115
"240" "Dec" "TRENTO" 20 776 858 93 64 275 0 122
